dataset,evaluation_revision,interaction,stride,n_conditions,point_delta,stride8_point_delta,stride8_replicate_mean,mean_delta,ci95_low,ci95_high,n_replicates,stride8_seed_count,shot
ksdd2,study,I_TRI,1,12,0.005209636270494884,0.005386284881804537,0.005438191598461812,,,,0,,
ksdd2,study,I_TRI,1,3,0.003467342527349889,0.003543862155150568,0.003530649758806506,,,,0,3,1
ksdd2,study,I_TRI,1,3,0.006769861999933902,0.006888019072343117,0.006879341722319545,,,,0,3,2
ksdd2,study,I_TRI,1,3,0.0043388061479194455,0.004516088836166905,0.004506879747685355,,,,0,3,4
ksdd2,study,I_TRI,1,3,0.006262534406776303,0.006597169463557558,0.006835895165035844,,,,0,3,8
ksdd2,study,I_BAL,1,12,0.0032667876538026996,0.0034269127039986327,0.0034416007101374492,,,,0,,
ksdd2,study,I_BAL,1,3,0.0017787349398583618,0.00179850107552267,0.0017770381227845467,,,,0,3,1
ksdd2,study,I_BAL,1,3,0.004289450337741567,0.004352467669916186,0.004315468393969118,,,,0,3,2
ksdd2,study,I_BAL,1,3,0.0030484551858279327,0.003303638101403994,0.003262636597942701,,,,0,3,4
ksdd2,study,I_BAL,1,3,0.003950510151782938,0.004253043969151678,0.004411259725853431,,,,0,3,8
