config,base,permuted_branch,permutation_index,mean_delta,mean_abs_delta,max_abs_delta,frac_changed_gt_1e-6,defect_mean_abs_delta,defect_mean_delta,defect_n_patches,normal_mean_abs_delta,normal_mean_delta,normal_n_patches
A1_J__perm_C_cross_p00,A1_J,C_cross,00,-0.001444722292944789,0.0042891595512628555,0.09119307994842529,0.6513031208499336,0.006344394292682409,-0.0029669280629605055,3609,0.004278847947716713,-0.0014370845165103674,719271
A1_J__perm_C_cross_p01,A1_J,C_cross,01,-0.0014769246336072683,0.006408751010894775,0.08834236860275269,0.9998312306330235,0.00973006896674633,-0.0049792868085205555,3609,0.006392084527760744,-0.0014593509258702397,719271
A1_J__perm_C_cross_p02,A1_J,C_cross,02,-0.0020068176090717316,0.006186002399772406,0.08691355586051941,0.9407342850818946,0.009277614764869213,-0.005496690049767494,3609,0.00617049029096961,-0.0019893061835318804,719271
A1_J__perm_C_within_p00,A1_J,C_within,00,-0.004925706423819065,0.008390463888645172,0.09729474782943726,0.9992460712704737,0.010623723268508911,-0.006724548991769552,3609,0.0083792544901371,-0.004916680045425892,719271
A1_J__perm_C_within_p01,A1_J,C_within,01,-0.004778097849339247,0.008301681838929653,0.10914435982704163,0.9992695883134131,0.010157324373722076,-0.006377013400197029,3609,0.008292370475828648,-0.004770076833665371,719271
A1_J__perm_C_within_p02,A1_J,C_within,02,-0.004625219386070967,0.008102858439087868,0.08549904823303223,0.9992861885790173,0.010809632018208504,-0.007388438563793898,3609,0.008089277893304825,-0.004611354321241379,719271
BAL_J__perm_C_cross_p00,BAL_J,C_cross,00,-0.0019191708415746689,0.0045419479720294476,0.08219936490058899,0.7208361000442673,0.005961169954389334,-0.0032886110711842775,3609,0.004534826148301363,-0.001912299427203834,719271
BAL_J__perm_C_cross_p01,BAL_J,C_cross,01,-0.0015558184823021293,0.005936256609857082,0.08834236860275269,0.9998436808322266,0.009769996628165245,-0.006438292097300291,3609,0.005917019210755825,-0.0015313196927309036,719271
BAL_J__perm_C_cross_p02,BAL_J,C_cross,02,-0.0021317764185369015,0.005735835060477257,0.08392956852912903,0.9336030876494024,0.009421925991773605,-0.006258925888687372,3609,0.005717339925467968,-0.002111067995429039,719271
BAL_J__perm_C_within_p00,BAL_J,C_within,00,-0.004886122886091471,0.007852758280932903,0.08213275671005249,0.998936199645861,0.01024377066642046,-0.007088726852089167,3609,0.007840759120881557,-0.004875070881098509,719271
BAL_J__perm_C_within_p01,BAL_J,C_within,01,-0.004791676998138428,0.007796446792781353,0.09902042150497437,0.9993968570163789,0.009524217806756496,-0.0067023783922195435,3609,0.007787776179611683,-0.004782090894877911,719271
BAL_J__perm_C_within_p02,BAL_J,C_within,02,-0.0046546137891709805,0.007635138928890228,0.08462989330291748,0.9991644532979195,0.010552148334681988,-0.007863054051995277,3609,0.007620504125952721,-0.004638515878468752,719271
BAL_J__perm_S_cross_p00,BAL_J,S_cross,00,-0.006648569367825985,0.0077205440029501915,0.1498555690050125,0.7003914895971669,0.010312053374946117,-0.009628606960177422,3609,0.00770754087716341,-0.0066336169838905334,719271
BAL_J__perm_S_cross_p01,BAL_J,S_cross,01,-0.009637046605348587,0.011593881994485855,0.157399520277977,0.9999584993359893,0.021410249173641205,-0.020549440756440163,3609,0.011544629000127316,-0.009582292288541794,719271
BAL_J__perm_S_cross_p02,BAL_J,S_cross,02,-0.00846914667636156,0.010393594391644001,0.15776191651821136,0.9247551460823373,0.018312441185116768,-0.017461635172367096,3609,0.010353858582675457,-0.008424026891589165,719271
BAL_J__perm_S_within_p00,BAL_J,S_within,00,-0.025332504883408546,0.02551868185400963,0.19813565909862518,0.9987909473218238,0.026227138936519623,-0.02598317340016365,3609,0.025515135377645493,-0.025329239666461945,719271
BAL_J__perm_S_within_p01,BAL_J,S_within,01,-0.025616927072405815,0.025807766243815422,0.2051137536764145,0.9993401394422311,0.023080723360180855,-0.02291044406592846,3609,0.025821451097726822,-0.025630513206124306,719271
BAL_J__perm_S_within_p02,BAL_J,S_within,02,-0.02600916661322117,0.026188939809799194,0.18034246563911438,0.9991298694112439,0.02295156568288803,-0.022583942860364914,3609,0.02620518207550049,-0.026026355102658272,719271
TRI_J__perm_C_cross_p00,TRI_J,C_cross,00,-0.0015884556341916323,0.004313719924539328,0.08488360792398453,0.717024955732625,0.004952751565724611,-0.002417889190837741,3609,0.004310512915253639,-0.0015842936700209975,719271
TRI_J__perm_C_cross_p01,TRI_J,C_cross,01,-0.0012669673888012767,0.005665764678269625,0.08448902517557144,0.9998409141212926,0.007665947545319796,-0.004547998774796724,3609,0.005655726883560419,-0.001250504283234477,719271
TRI_J__perm_C_cross_p02,TRI_J,C_cross,02,-0.0017766111996024847,0.005438703112304211,0.07115107774734497,0.9295443227091633,0.007299110293388367,-0.0043893735855817795,3609,0.005429368000477552,-0.00176350143738091,719271
TRI_J__perm_C_within_p00,TRI_J,C_within,00,-0.003997498657554388,0.007309389766305685,0.07966899126768112,0.9988988490482514,0.008188244886696339,-0.0050192419439554214,3609,0.007304978556931019,-0.003992372192442417,719271
TRI_J__perm_C_within_p01,TRI_J,C_within,01,-0.003920326940715313,0.007299032062292099,0.080582395195961,0.999334606020363,0.007973574101924896,-0.0050567337311804295,3609,0.007295649033039808,-0.003914625383913517,719271
TRI_J__perm_C_within_p02,TRI_J,C_within,02,-0.003825368359684944,0.0071496195159852505,0.07990334182977676,0.999136786188579,0.00863571371883154,-0.005859305616468191,3609,0.007142161950469017,-0.0038151629269123077,719271
TRI_J__perm_S_cross_p00,TRI_J,S_cross,00,-0.008571413345634937,0.009922453202307224,0.19980740547180176,0.7042925520141655,0.012920009903609753,-0.012202112004160881,3609,0.009907413274049759,-0.008553198538720608,719271
TRI_J__perm_S_cross_p01,TRI_J,S_cross,01,-0.012483401224017143,0.014868405647575855,0.2098660171031952,0.9999626494023904,0.027225347235798836,-0.026220113039016724,3609,0.01480640284717083,-0.012414474971592426,719271
TRI_J__perm_S_cross_p02,TRI_J,S_cross,02,-0.01090710423886776,0.013282980769872665,0.18509110808372498,0.9237439132359451,0.022519895806908607,-0.021577147766947746,3609,0.0132366344332695,-0.010853568091988564,719271
TRI_J__perm_S_within_p00,TRI_J,S_within,00,-0.032390937209129333,0.03260288015007973,0.25618410110473633,0.9988324479858345,0.03351025655865669,-0.03328326344490051,3609,0.032598331570625305,-0.03238645941019058,719271
TRI_J__perm_S_within_p01,TRI_J,S_within,01,-0.032961148768663406,0.033182013779878616,0.27012842893600464,0.999330455953962,0.029629340395331383,-0.02942209132015705,3609,0.033199846744537354,-0.032978903502225876,719271
TRI_J__perm_S_within_p02,TRI_J,S_within,02,-0.033454254269599915,0.03366073593497276,0.24036572873592377,0.9991312527667109,0.03025924228131771,-0.02995995432138443,3609,0.03367780148983002,-0.033471785485744476,719271
