method,pixel_auroc,pixel_ap,image_auroc,image_ap,image_f1_max
B,0.9908848597804845,0.6114883931325998,0.9396990034573928,0.7668419266116615,0.7381974248927039
S,0.994665280347023,0.5768933851145446,0.9398820418954648,0.7471212729545198,0.7234042553191491
C,0.9828463605004465,0.5656962181098995,0.9382346959528167,0.8367680194475579,0.7777777777777777
A1_J,0.9940539280300638,0.673771891272327,0.9617754728492984,0.857824442550395,0.781725888324873
TRI_J,0.9954592702692185,0.6644992542853239,0.9618059792556436,0.8376745924328133,0.7655502392344496
BAL_J,0.995841484309102,0.6732883174201415,0.9669513931258897,0.8601533293277359,0.7800000000000001
DUP_J,0.9931197216573756,0.6636437508535753,0.9511185682326622,0.8345346192931974,0.7632850241545894
DUP_BAL_J,0.9940539280300638,0.673771891272327,0.9617754728492984,0.857824442550395,0.781725888324873
DUP_EXPECTED_J,0.9931197216573756,0.6636437508535753,0.9511185682326622,0.8345346192931974,0.7632850241545894
A1_L,0.994004503781885,0.6816668232556595,0.9536200935529796,0.8574921822356285,0.7826086956521738
DUP_L,0.9928474454175504,0.6664946709964601,0.9490949766117552,0.8303945632494927,0.7592592592592593
TRI_L,0.9958725912696571,0.674051157394613,0.9595179987797438,0.8452350232065743,0.7707317073170732
BAL_L,0.9962590573278635,0.6859087138300011,0.9620805369127516,0.8672551477857068,0.7800000000000001
