dataset,seed,shot,category,group,area_ratio_low,area_ratio_high,n_normal_images,n_abnormal_in_group,descriptive_only
ksdd2,0,1,ksdd2,tiny,0.0,0.001,894,1,True
ksdd2,0,1,ksdd2,small,0.001,0.01,894,37,False
ksdd2,0,1,ksdd2,large,0.01,1.01,894,72,False
ksdd2,0,2,ksdd2,tiny,0.0,0.001,894,1,True
ksdd2,0,2,ksdd2,small,0.001,0.01,894,37,False
ksdd2,0,2,ksdd2,large,0.01,1.01,894,72,False
ksdd2,0,4,ksdd2,tiny,0.0,0.001,894,1,True
ksdd2,0,4,ksdd2,small,0.001,0.01,894,37,False
ksdd2,0,4,ksdd2,large,0.01,1.01,894,72,False
ksdd2,0,8,ksdd2,tiny,0.0,0.001,894,1,True
ksdd2,0,8,ksdd2,small,0.001,0.01,894,37,False
ksdd2,0,8,ksdd2,large,0.01,1.01,894,72,False
ksdd2,1,1,ksdd2,tiny,0.0,0.001,894,1,True
ksdd2,1,1,ksdd2,small,0.001,0.01,894,37,False
ksdd2,1,1,ksdd2,large,0.01,1.01,894,72,False
ksdd2,1,2,ksdd2,tiny,0.0,0.001,894,1,True
ksdd2,1,2,ksdd2,small,0.001,0.01,894,37,False
ksdd2,1,2,ksdd2,large,0.01,1.01,894,72,False
ksdd2,1,4,ksdd2,tiny,0.0,0.001,894,1,True
ksdd2,1,4,ksdd2,small,0.001,0.01,894,37,False
ksdd2,1,4,ksdd2,large,0.01,1.01,894,72,False
ksdd2,1,8,ksdd2,tiny,0.0,0.001,894,1,True
ksdd2,1,8,ksdd2,small,0.001,0.01,894,37,False
ksdd2,1,8,ksdd2,large,0.01,1.01,894,72,False
ksdd2,2,1,ksdd2,tiny,0.0,0.001,894,1,True
ksdd2,2,1,ksdd2,small,0.001,0.01,894,37,False
ksdd2,2,1,ksdd2,large,0.01,1.01,894,72,False
ksdd2,2,2,ksdd2,tiny,0.0,0.001,894,1,True
ksdd2,2,2,ksdd2,small,0.001,0.01,894,37,False
ksdd2,2,2,ksdd2,large,0.01,1.01,894,72,False
ksdd2,2,4,ksdd2,tiny,0.0,0.001,894,1,True
ksdd2,2,4,ksdd2,small,0.001,0.01,894,37,False
ksdd2,2,4,ksdd2,large,0.01,1.01,894,72,False
ksdd2,2,8,ksdd2,tiny,0.0,0.001,894,1,True
ksdd2,2,8,ksdd2,small,0.001,0.01,894,37,False
ksdd2,2,8,ksdd2,large,0.01,1.01,894,72,False
