dataset,seed,shot,contrast,category,point_delta,direction
ksdd2,0,1,A1_L - A1_J,ksdd2,0.001953086304925078,positive
ksdd2,0,1,A1_L - A1_J,__macro__,0.001953086304925078,positive
ksdd2,0,1,TRI_L - TRI_J,ksdd2,0.007811850393320108,positive
ksdd2,0,1,TRI_L - TRI_J,__macro__,0.007811850393320108,positive
ksdd2,0,1,BAL_L - BAL_J,ksdd2,0.004682222917757994,positive
ksdd2,0,1,BAL_L - BAL_J,__macro__,0.004682222917757994,positive
ksdd2,0,1,DUP_L - DUP_J,ksdd2,0.0014525335861430566,positive
ksdd2,0,1,DUP_L - DUP_J,__macro__,0.0014525335861430566,positive
ksdd2,0,1,DUP_J - A1_J,ksdd2,-0.034363568406388656,negative
ksdd2,0,1,DUP_J - A1_J,__macro__,-0.034363568406388656,negative
ksdd2,0,1,TRI_J - DUP_J,ksdd2,-0.008809614973661617,negative
ksdd2,0,1,TRI_J - DUP_J,__macro__,-0.008809614973661617,negative
ksdd2,0,1,TRI_L - DUP_L,ksdd2,-0.0024502981664845658,negative
ksdd2,0,1,TRI_L - DUP_L,__macro__,-0.0024502981664845658,negative
ksdd2,0,1,BAL_J - A1_J,ksdd2,-0.008095829951244582,negative
ksdd2,0,1,BAL_J - A1_J,__macro__,-0.008095829951244582,negative
ksdd2,0,1,BAL_L - A1_L,ksdd2,-0.0053666933384116655,negative
ksdd2,0,1,BAL_L - A1_L,__macro__,-0.0053666933384116655,negative
ksdd2,0,2,A1_L - A1_J,ksdd2,0.004322677752362836,positive
ksdd2,0,2,A1_L - A1_J,__macro__,0.004322677752362836,positive
ksdd2,0,2,TRI_L - TRI_J,ksdd2,0.00920921503475669,positive
ksdd2,0,2,TRI_L - TRI_J,__macro__,0.00920921503475669,positive
ksdd2,0,2,BAL_L - BAL_J,ksdd2,0.009887118480562451,positive
ksdd2,0,2,BAL_L - BAL_J,__macro__,0.009887118480562451,positive
ksdd2,0,2,DUP_L - DUP_J,ksdd2,0.0022320301191582903,positive
ksdd2,0,2,DUP_L - DUP_J,__macro__,0.0022320301191582903,positive
