method,scope,image_index,sample_id,n_pairs,l_correct,j_correct,l_correct_j_wrong,l_wrong_j_correct,both_correct,both_wrong,l_tie,j_tie,l_correct_rate,j_correct_rate,l_correct_j_wrong_rate,l_wrong_j_correct_rate
A1,image,0,grid/test/bent/000.png,1024,1010,1014,1,5,1009,9,0,0,0.986328125,0.990234375,0.0009765625,0.0048828125
A1,image,1,grid/test/bent/001.png,960,937,935,4,2,933,21,0,0,0.9760416666666667,0.9739583333333334,0.004166666666666667,0.0020833333333333333
A1,image,2,grid/test/bent/002.png,960,952,951,2,1,950,7,0,0,0.9916666666666667,0.990625,0.0020833333333333333,0.0010416666666666667
A1,image,3,grid/test/bent/003.png,1920,1808,1816,9,17,1799,95,0,0,0.9416666666666667,0.9458333333333333,0.0046875,0.008854166666666666
A1,image,4,grid/test/bent/004.png,1600,1481,1463,26,8,1455,111,0,0,0.925625,0.914375,0.01625,0.005
A1,image,5,grid/test/bent/005.png,2240,2074,2068,12,6,2062,160,0,0,0.9258928571428572,0.9232142857142858,0.005357142857142857,0.0026785714285714286
A1,image,6,grid/test/bent/006.png,3200,3075,3072,21,18,3054,107,0,0,0.9609375,0.96,0.0065625,0.005625
A1,image,7,grid/test/bent/007.png,1792,1710,1705,11,6,1699,76,0,0,0.9542410714285714,0.9514508928571429,0.006138392857142857,0.0033482142857142855
A1,image,8,grid/test/bent/008.png,1280,1280,1280,0,0,1280,0,0,0,1.0,1.0,0.0,0.0
A1,image,9,grid/test/bent/009.png,3200,3128,3142,1,15,3127,57,0,0,0.9775,0.981875,0.0003125,0.0046875
A1,image,10,grid/test/bent/010.png,3008,2911,2910,5,4,2906,93,0,0,0.9677526595744681,0.9674202127659575,0.0016622340425531915,0.0013297872340425532
A1,image,11,grid/test/bent/011.png,2432,2366,2356,12,2,2354,64,0,0,0.9728618421052632,0.96875,0.004934210526315789,0.0008223684210526315
A1,image,12,grid/test/broken/000.png,1344,1342,1344,0,2,1342,0,0,0,0.9985119047619048,1.0,0.0,0.001488095238095238
A1,image,13,grid/test/broken/001.png,3200,3145,3144,11,10,3134,45,0,0,0.9828125,0.9825,0.0034375,0.003125
A1,image,14,grid/test/broken/002.png,576,571,572,1,2,570,3,0,0,0.9913194444444444,0.9930555555555556,0.001736111111111111,0.003472222222222222
A1,image,15,grid/test/broken/003.png,1856,1827,1831,0,4,1827,25,0,0,0.984375,0.9865301724137931,0.0,0.0021551724137931034
A1,image,16,grid/test/broken/004.png,1216,1193,1196,2,5,1191,18,0,0,0.9810855263157895,0.9835526315789473,0.001644736842105263,0.004111842105263158
A1,image,17,grid/test/broken/005.png,1344,1324,1322,3,1,1321,19,0,0,0.9851190476190477,0.9836309523809523,0.002232142857142857,0.000744047619047619
A1,image,18,grid/test/broken/006.png,1216,1216,1216,0,0,1216,0,0,0,1.0,1.0,0.0,0.0
A1,image,19,grid/test/broken/007.png,1024,1009,1010,0,1,1009,14,0,0,0.9853515625,0.986328125,0.0,0.0009765625
