method,pixel_auroc,pixel_ap,image_auroc,image_ap,image_f1_max
B,0.9329928610590894,0.6464837716467565,0.9721407624633431,0.9936955246399872,0.9625668449197862
S,0.9637432939727705,0.7151684975491426,0.9780058651026392,0.9940760216046056,0.9789473684210526
C,0.9529397798315293,0.749414571474435,0.9828934506353861,0.9959903929737097,0.9738219895287958
A1_J,0.9559513233158194,0.7324624716330406,0.9926686217008798,0.9983385367841925,0.9837837837837837
TRI_J,0.96099595993764,0.7379319158846306,0.9946236559139785,0.998743613300155,0.9841269841269841
BAL_J,0.96444284142587,0.7580839181839087,0.9975562072336266,0.99943148114635,0.989247311827957
DUP_J,0.948866348303257,0.7036224286647035,0.9843597262952101,0.9965157772786966,0.968421052631579
DUP_BAL_J,0.9559513233158194,0.7324624716330406,0.9926686217008798,0.9983385367841925,0.9837837837837837
DUP_EXPECTED_J,0.948866348303257,0.7036224286647035,0.9843597262952101,0.9965157772786966,0.968421052631579
A1_L,0.9595697666720939,0.7407798600290616,0.9941348973607038,0.9986488520199198,0.9837837837837837
DUP_L,0.9505058580390935,0.7049471383481799,0.987781036168133,0.9972525814232166,0.9735449735449735
TRI_L,0.965934491354709,0.7505591421397912,0.9956011730205278,0.9989656403876579,0.989247311827957
BAL_L,0.9701321319017976,0.7742997105971743,0.9970674486803519,0.9993098085641932,0.9893617021276596
