config,base,permuted_branch,permutation_index,mean_delta,mean_abs_delta,max_abs_delta,frac_changed_gt_1e-6,defect_mean_abs_delta,defect_mean_delta,defect_n_patches,normal_mean_abs_delta,normal_mean_delta,normal_n_patches
A1_J__perm_C_within_p00,A1_J,C_within,00,-0.004209398292005062,0.00995717290788889,0.13465434312820435,0.9999666132478633,0.00785454735159874,-0.0028569649439305067,11055,0.010170909576117992,-0.004346876405179501,108753
A1_J__perm_C_within_p01,A1_J,C_within,01,-0.004346160683780909,0.0098764318972826,0.12750309705734253,0.9985393295940171,0.007832519710063934,-0.0031573164742439985,11055,0.010084197856485844,-0.004467010032385588,108753
A1_J__perm_C_within_p02,A1_J,C_within,02,-0.003992700017988682,0.009676262736320496,0.12630516290664673,0.9993489583333334,0.0078058610670268536,-0.0031174547038972378,11055,0.009866394102573395,-0.00408167066052556,108753
BAL_J__perm_C_within_p00,BAL_J,C_within,00,-0.004632206168025732,0.00948750227689743,0.13028505444526672,0.9999666132478633,0.007700659334659576,-0.002826123498380184,11055,0.009669139981269836,-0.004815798252820969,108753
BAL_J__perm_C_within_p01,BAL_J,C_within,01,-0.004672843497246504,0.009448328986763954,0.11804437637329102,0.9984975961538461,0.007517567370086908,-0.003241355298087001,11055,0.009644594974815845,-0.004818357992917299,108753
BAL_J__perm_C_within_p02,BAL_J,C_within,02,-0.004301110282540321,0.009198663756251335,0.12094800174236298,0.9994908520299145,0.007623743731528521,-0.003419228596612811,11055,0.009358758106827736,-0.004390756133943796,108753
BAL_J__perm_S_within_p00,BAL_J,S_within,00,-0.02885892055928707,0.029144955798983574,0.15542587637901306,0.9999833066239316,0.017627673223614693,-0.017031550407409668,11055,0.030315712094306946,-0.030061202123761177,108753
BAL_J__perm_S_within_p01,BAL_J,S_within,01,-0.028408775106072426,0.028704168274998665,0.18532295525074005,0.9976462339743589,0.017985953018069267,-0.01728183962404728,11055,0.029793698340654373,-0.02953985519707203,108753
BAL_J__perm_S_within_p02,BAL_J,S_within,02,-0.028211789205670357,0.028532616794109344,0.1718096286058426,0.9992654914529915,0.018869580700993538,-0.01828722469508648,11055,0.029514886438846588,-0.029220646247267723,108753
TRI_J__perm_C_within_p00,TRI_J,C_within,00,-0.003692659782245755,0.008954408578574657,0.08976955711841583,0.9999332264957265,0.00690268911421299,-0.0019819147419184446,11055,0.009162971749901772,-0.003866561222821474,108753
TRI_J__perm_C_within_p01,TRI_J,C_within,01,-0.0038218963891267776,0.008921930566430092,0.09171965718269348,0.9987730368589743,0.006720428355038166,-0.002463516779243946,11055,0.00914571899920702,-0.003959978464990854,108753
TRI_J__perm_C_within_p02,TRI_J,C_within,02,-0.003440308151766658,0.008749602362513542,0.09016714990139008,0.9995492788461539,0.006862361915409565,-0.0026656389236450195,11055,0.00894144456833601,-0.0035190556664019823,108753
TRI_J__perm_S_within_p00,TRI_J,S_within,00,-0.03699594363570213,0.03730957955121994,0.20934635400772095,0.9999833066239316,0.02297777682542801,-0.022382376715540886,11055,0.038766440004110336,-0.038481444120407104,108753
TRI_J__perm_S_within_p01,TRI_J,S_within,01,-0.03652363270521164,0.03684224560856819,0.24630752205848694,0.9981219951923077,0.023637833073735237,-0.022947214543819427,11055,0.03818449750542641,-0.03790370747447014,108753
TRI_J__perm_S_within_p02,TRI_J,S_within,02,-0.03643268719315529,0.03678998351097107,0.22535687685012817,0.9993406116452992,0.024249939247965813,-0.023636257275938988,11055,0.03806471452116966,-0.037733472883701324,108753
