method,pixel_auroc,pixel_ap,image_auroc,image_ap,image_f1_max
B,0.9273917225851332,0.6315225907828179,0.9973684210526316,0.9991845878136202,0.9836065573770492
S,0.9422993475672341,0.6357775480314677,0.9833333333333333,0.9947189480554978,0.9747899159663865
C,0.9673434066511961,0.5935300873894541,1.0,1.0,1.0
A1_J,0.9554294557083898,0.6838437885867754,1.0,1.0,1.0
TRI_J,0.9546483969147939,0.6910649738957083,0.9973684210526315,0.9992063492063493,0.9915966386554621
BAL_J,0.9615504821609624,0.6962800163885727,0.999122807017544,0.9997267759562843,0.9917355371900827
DUP_J,0.9461151902366837,0.6737039375900687,1.0,1.0,1.0
DUP_BAL_J,0.9554294557083898,0.6838437885867754,1.0,1.0,1.0
DUP_EXPECTED_J,0.9461151902366837,0.6737039375900687,1.0,1.0,1.0
A1_L,0.9535012042636553,0.6709782462072416,1.0,1.0,1.0
DUP_L,0.9440861482872127,0.6628205087595789,1.0,1.0,1.0
TRI_L,0.9534905346523939,0.6793691466434115,0.9964912280701754,0.9989583333333335,0.9915966386554621
BAL_L,0.9603614949301055,0.6871511184796093,0.999122807017544,0.9997267759562843,0.9917355371900827
