config,base,permuted_branch,permutation_index,mean_delta,mean_abs_delta,max_abs_delta,frac_changed_gt_1e-6,defect_mean_abs_delta,defect_mean_delta,defect_n_patches,normal_mean_abs_delta,normal_mean_delta,normal_n_patches
A1_J__perm_C_cross_p00,A1_J,C_cross,00,-0.0022158673964440823,0.005635932087898254,0.09137028455734253,0.9991175640060241,0.012192790396511555,-0.007188917603343725,6605,0.005083442199975252,-0.0017968310276046395,78387
A1_J__perm_C_cross_p01,A1_J,C_cross,01,-0.002559910761192441,0.005977569613605738,0.09223955869674683,0.9993058170180723,0.013111892156302929,-0.00820157490670681,6605,0.005376421846449375,-0.0020845364779233932,78387
A1_J__perm_C_cross_p02,A1_J,C_cross,02,-0.0024304597172886133,0.0059023164212703705,0.09109753370285034,0.9993764118975904,0.012932413257658482,-0.007526860106736422,6605,0.005309951025992632,-0.0020010299049317837,78387
A1_J__perm_C_within_p00,A1_J,C_within,00,-0.017879871651530266,0.018890030682086945,0.1270364224910736,0.9984704442771084,0.02234211564064026,-0.01936398446559906,6605,0.01859915442764759,-0.017754821106791496,78387
A1_J__perm_C_within_p01,A1_J,C_within,01,-0.018812566995620728,0.01978970132768154,0.1254185140132904,0.9987645896084337,0.021696843206882477,-0.018557051196694374,6605,0.01962900161743164,-0.018834097310900688,78387
A1_J__perm_C_within_p02,A1_J,C_within,02,-0.01834803819656372,0.01932237111032009,0.12993082404136658,0.9991763930722891,0.023164546117186546,-0.019837453961372375,6605,0.01899862475693226,-0.018222538754343987,78387
BAL_J__perm_C_cross_p00,BAL_J,C_cross,00,-0.0022867924999445677,0.005131853278726339,0.09021984040737152,0.9992705195783133,0.011636486276984215,-0.007312961388379335,6605,0.004583763424307108,-0.001863280194811523,78387
BAL_J__perm_C_cross_p01,BAL_J,C_cross,01,-0.00271793594583869,0.005490721669048071,0.09109753370285034,0.9994470067771084,0.012807601131498814,-0.008695057593286037,6605,0.0048741912469267845,-0.0022142950911074877,78387
BAL_J__perm_C_cross_p02,BAL_J,C_cross,02,-0.0025755802635103464,0.00538715161383152,0.09109753370285034,0.9994705384036144,0.012868823483586311,-0.008449717424809933,6605,0.00475673470646143,-0.0020806172396987677,78387
BAL_J__perm_C_within_p00,BAL_J,C_within,00,-0.01697261445224285,0.017760301008820534,0.1210060864686966,0.9986469314759037,0.021568628028035164,-0.01913309097290039,6605,0.017439404502511024,-0.016790570691227913,78387
BAL_J__perm_C_within_p01,BAL_J,C_within,01,-0.017868852242827415,0.01860646903514862,0.11993320286273956,0.9987998870481928,0.021329885348677635,-0.018913621082901955,6605,0.018376989290118217,-0.017780818045139313,78387
