method,scope,image_index,sample_id,n_pairs,l_correct,j_correct,l_correct_j_wrong,l_wrong_j_correct,both_correct,both_wrong,l_tie,j_tie,l_correct_rate,j_correct_rate,l_correct_j_wrong_rate,l_wrong_j_correct_rate
A1,image,0,capsule/test/crack/000.png,448,443,443,2,2,441,3,0,0,0.9888392857142857,0.9888392857142857,0.004464285714285714,0.004464285714285714
A1,image,1,capsule/test/crack/001.png,2944,2914,2911,8,5,2906,25,0,0,0.9898097826086957,0.9887907608695652,0.002717391304347826,0.0016983695652173913
A1,image,2,capsule/test/crack/002.png,384,379,376,4,1,375,4,0,0,0.9869791666666666,0.9791666666666666,0.010416666666666666,0.0026041666666666665
A1,image,3,capsule/test/crack/003.png,448,448,448,0,0,448,0,0,0,1.0,1.0,0.0,0.0
A1,image,4,capsule/test/crack/004.png,704,698,695,4,1,694,5,0,0,0.9914772727272727,0.9872159090909091,0.005681818181818182,0.0014204545454545455
A1,image,5,capsule/test/crack/005.png,704,664,651,24,11,640,29,0,0,0.9431818181818182,0.9247159090909091,0.03409090909090909,0.015625
A1,image,6,capsule/test/crack/006.png,960,945,940,5,0,940,15,0,0,0.984375,0.9791666666666666,0.005208333333333333,0.0
A1,image,7,capsule/test/crack/007.png,960,950,948,3,1,947,9,0,0,0.9895833333333334,0.9875,0.003125,0.0010416666666666667
A1,image,8,capsule/test/crack/008.png,704,669,670,10,11,659,24,0,0,0.9502840909090909,0.9517045454545454,0.014204545454545454,0.015625
A1,image,9,capsule/test/crack/009.png,1216,1164,1168,4,8,1160,44,0,0,0.9572368421052632,0.9605263157894737,0.003289473684210526,0.006578947368421052
A1,image,10,capsule/test/crack/010.png,1792,1704,1703,16,15,1688,73,0,0,0.9508928571428571,0.9503348214285714,0.008928571428571428,0.008370535714285714
A1,image,11,capsule/test/crack/011.png,704,703,703,0,0,703,1,0,0,0.9985795454545454,0.9985795454545454,0.0,0.0
A1,image,12,capsule/test/crack/012.png,704,684,680,7,3,677,17,0,0,0.9715909090909091,0.9659090909090909,0.009943181818181818,0.004261363636363636
