method,image_index,sample_id,image_label,region,grid,boundary_count,patch_count,mean,p05,p25,median,p75,p95,min,max
A1_G,0,carpet/test/color/000.png,1,abnormal_normal,32x32,18,946,0.010720517714734309,0.0014162510633468628,0.004802525043487549,0.009399428963661194,0.014578834176063538,0.025745511054992676,0.0,0.048654019832611084
A1_G,0,carpet/test/color/000.png,1,defect,32x32,18,78,0.033457475977066234,0.010192933678627013,0.018058590590953827,0.03579902648925781,0.046538569033145905,0.05702689439058304,0.0043236613273620605,0.06216740608215332
A1_G,0,carpet/test/color/000.png,1,clean_defect,32x32,18,60,0.03427679638067881,0.010203680396080017,0.018819846212863922,0.03585107624530792,0.04978498816490173,0.05702633708715439,0.0043236613273620605,0.061515748500823975
A1_G,0,carpet/test/color/000.png,1,boundary,32x32,18,18,0.03072640796502431,0.0100698858499527,0.014368116855621338,0.034848690032958984,0.043161824345588684,0.0493528217077255,0.005165159702301025,0.06216740608215332
A1_G,1,carpet/test/color/001.png,1,abnormal_normal,32x32,10,993,0.010021448285438023,0.001260066032409668,0.0043678879737854,0.008340626955032349,0.013640552759170532,0.025372308492660513,0.0,0.051318228244781494
A1_G,1,carpet/test/color/001.png,1,defect,32x32,10,31,0.03776677866135874,0.008764445781707764,0.01933303475379944,0.0341871976852417,0.055592864751815796,0.07214704155921936,0.005068302154541016,0.0770731270313263
A1_G,1,carpet/test/color/001.png,1,clean_defect,32x32,10,21,0.046094389188857304,0.018016904592514038,0.02877110242843628,0.04944309592247009,0.06033593416213989,0.0758831799030304,0.006233394145965576,0.0770731270313263
A1_G,1,carpet/test/color/001.png,1,boundary,32x32,10,10,0.020278796553611755,0.007870540022850037,0.013056948781013489,0.016763955354690552,0.023216187953948975,0.04231441169977185,0.005068302154541016,0.05471038818359375
A1_G,2,carpet/test/color/002.png,1,abnormal_normal,32x32,24,978,0.011124436810216532,0.0013997018337249755,0.005122587084770203,0.00943174958229065,0.014968112111091614,0.026822488009929656,0.0,0.0640907883644104
A1_G,2,carpet/test/color/002.png,1,defect,32x32,24,46,0.04129579922427302,0.0043161362409591675,0.020862355828285217,0.042184486985206604,0.06038666516542435,0.0812898650765419,0.001483231782913208,0.09260803461074829
A1_G,2,carpet/test/color/002.png,1,clean_defect,32x32,24,22,0.05652670697732405,0.014351055026054382,0.04826123267412186,0.05860243737697601,0.0693260133266449,0.0899424523115158,0.0018717050552368164,0.09260803461074829
A1_G,2,carpet/test/color/002.png,1,boundary,32x32,24,24,0.027334133783976238,0.003968289494514466,0.014577850699424744,0.023066982626914978,0.03941886126995087,0.05985568165779113,0.001483231782913208,0.06202259659767151
A1_G,3,carpet/test/color/003.png,1,abnormal_normal,32x32,5,1005,0.01046554796138213,0.0013691902160644532,0.00474923849105835,0.008317351341247559,0.014242738485336304,0.025163555145263666,0.0,0.07418641448020935
A1_G,3,carpet/test/color/003.png,1,defect,32x32,5,19,0.055098921060562134,0.02245727777481079,0.03902056813240051,0.05440938472747803,0.07506340742111206,0.07969730496406555,0.01994892954826355,0.0815562903881073
A1_G,3,carpet/test/color/003.png,1,clean_defect,32x32,5,14,0.06061785987445286,0.032149413228034975,0.04138702154159546,0.06815671920776367,0.0788794755935669,0.08021368980407714,0.02273598313331604,0.0815562903881073
A1_G,3,carpet/test/color/003.png,1,boundary,32x32,5,5,0.03964589238166809,0.02247160077095032,0.03256228566169739,0.041412413120269775,0.049896448850631714,0.05350679755210876,0.01994892954826355,0.05440938472747803
A1_G,4,carpet/test/color/004.png,1,abnormal_normal,32x32,12,992,0.010319505397590899,0.0013882935047149659,0.0045387595891952515,0.008291348814964294,0.013959556818008423,0.02599278986454006,0.0,0.058639347553253174
A1_G,4,carpet/test/color/004.png,1,defect,32x32,12,32,0.04038515035063028,0.010340501368045808,0.029770292341709137,0.04278157651424408,0.05274459719657898,0.0617520272731781,0.005756020545959473,0.0635305643081665
A1_G,4,carpet/test/color/004.png,1,clean_defect,32x32,12,20,0.04246927797794342,0.016361425817012786,0.033707842230796814,0.046113669872283936,0.05199384689331055,0.06295862942934036,0.011228621006011963,0.0635305643081665
A1_G,4,carpet/test/color/004.png,1,boundary,32x32,12,12,0.03691160430510839,0.007680471241474152,0.02051212638616562,0.04203563928604126,0.05500393360853195,0.06048198491334915,0.005756020545959473,0.06078943610191345
A1_G,5,carpet/test/color/005.png,1,abnormal_normal,32x32,9,997,0.010793402088561293,0.0015519082546234131,0.00467371940612793,0.008793741464614868,0.014721572399139404,0.025916779041290278,0.0,0.06138989329338074
A1_G,5,carpet/test/color/005.png,1,defect,32x32,9,27,0.042417423592673406,0.008712422847747803,0.012804403901100159,0.038468003273010254,0.06778717041015625,0.08976689279079438,0.0032407045364379883,0.09114938974380493
A1_G,5,carpet/test/color/005.png,1,clean_defect,32x32,9,18,0.04770246148109436,0.00989028364419937,0.027326785027980804,0.046566516160964966,0.0699174627661705,0.09107083529233932,0.008331835269927979,0.09114938974380493
A1_G,5,carpet/test/color/005.png,1,boundary,32x32,9,9,0.031847347815831505,0.00578460693359375,0.011121690273284912,0.026566922664642334,0.038468003273010254,0.07901355028152465,0.0032407045364379883,0.08675670623779297
A1_G,6,carpet/test/color/006.png,1,abnormal_normal,32x32,8,989,0.010469594908194546,0.0012311816215515136,0.004842221736907959,0.00871974229812622,0.014148116111755371,0.02460815310478209,0.0,0.07242625951766968
A1_G,6,carpet/test/color/006.png,1,defect,32x32,8,35,0.034760378088269914,0.0058005332946777345,0.015921086072921753,0.025143206119537354,0.055580124258995056,0.07221345305442808,0.003533601760864258,0.085124671459198
A1_G,6,carpet/test/color/006.png,1,clean_defect,32x32,8,27,0.03525867506309792,0.006329646706581116,0.016940593719482422,0.02591058611869812,0.055580124258995056,0.07385589480400086,0.003533601760864258,0.085124671459198
