method,pixel_auroc,pixel_ap,image_auroc,image_ap,image_f1_max
B,0.9591026680012056,0.5877067365676365,1.0,0.9999999999999998,1.0
S,0.9531711950440199,0.5799160839926949,1.0,0.9999999999999998,1.0
C,0.9529452076241333,0.6532946757098612,0.9996392496392497,0.9998599439775908,0.9940828402366864
A1_J,0.9657745381121119,0.6378764912211948,1.0,0.9999999999999998,1.0
TRI_J,0.9637815303982498,0.6172975777336821,1.0,0.9999999999999998,1.0
BAL_J,0.9657863786923091,0.6356910767597064,1.0,0.9999999999999998,1.0
DUP_J,0.9635040399844088,0.6189002030883173,1.0,0.9999999999999998,1.0
DUP_BAL_J,0.9657745381121119,0.6378764912211948,1.0,0.9999999999999998,1.0
DUP_EXPECTED_J,0.9635040399844088,0.6189002030883173,1.0,0.9999999999999998,1.0
A1_L,0.9654198742927983,0.6310471479749508,1.0,0.9999999999999998,1.0
DUP_L,0.9632259010005789,0.6144814638352253,1.0,0.9999999999999998,1.0
TRI_L,0.9636117724616358,0.6181919897080583,1.0,0.9999999999999998,1.0
BAL_L,0.965461298418182,0.6340041867843706,1.0,0.9999999999999998,1.0
