method,image_index,sample_id,image_label,region,grid,boundary_count,patch_count,mean,p05,p25,median,p75,p95,min,max
A1_G,0,toothbrush/test/defective/000.png,1,abnormal_normal,32x32,20,981,0.009571467426574195,0.0,0.0017714202404022217,0.0047338008880615234,0.012605518102645874,0.037406712770462036,0.0,0.08428335189819336
A1_G,0,toothbrush/test/defective/000.png,1,defect,32x32,20,43,0.029340019059735677,0.009216195344924927,0.020222067832946777,0.025636672973632812,0.03678123652935028,0.06668318808078762,0.004860043525695801,0.09190160036087036
A1_G,0,toothbrush/test/defective/000.png,1,clean_defect,32x32,20,23,0.02884688973426819,0.01183241903781891,0.020943686366081238,0.02703005075454712,0.03622157871723175,0.04286321103572845,0.005868583917617798,0.06932938098907471
A1_G,0,toothbrush/test/defective/000.png,1,boundary,32x32,20,20,0.029907117784023284,0.0087466299533844,0.01901441067457199,0.02420647442340851,0.036730311810970306,0.07612199038267137,0.004860043525695801,0.09190160036087036
A1_G,1,toothbrush/test/defective/001.png,1,abnormal_normal,32x32,10,1010,0.009193138055282064,0.0,0.0014156028628349304,0.004779219627380371,0.013420931994915009,0.03184672147035596,0.0,0.07969817519187927
A1_G,1,toothbrush/test/defective/001.png,1,defect,32x32,10,14,0.03324821378503527,0.011292059719562531,0.012791931629180908,0.028513744473457336,0.0553387850522995,0.0666540578007698,0.010241329669952393,0.07890543341636658
A1_G,1,toothbrush/test/defective/001.png,1,clean_defect,32x32,10,4,0.04032932221889496,0.012126557528972626,0.012585841119289398,0.03520005941390991,0.06294354051351547,0.07571305483579635,0.012011736631393433,0.07890543341636658
A1_G,1,toothbrush/test/defective/001.png,1,boundary,32x32,10,10,0.030415770411491395,0.010968758165836335,0.013234980404376984,0.028513744473457336,0.043977923691272736,0.059476719796657564,0.010241329669952393,0.06005716323852539
A1_G,2,toothbrush/test/defective/002.png,1,abnormal_normal,32x32,24,991,0.009408974082149964,0.0,0.0013979673385620117,0.0047141313552856445,0.013214468955993652,0.03306084871292114,0.0,0.09417068958282471
A1_G,2,toothbrush/test/defective/002.png,1,defect,32x32,24,33,0.024903581901030106,0.005803489685058594,0.01537206768989563,0.023677438497543335,0.03187945485115051,0.04865289330482483,0.0,0.05692383646965027
A1_G,2,toothbrush/test/defective/002.png,1,clean_defect,32x32,24,9,0.02687656879425049,0.013483148813247681,0.01609209179878235,0.026439547538757324,0.03187945485115051,0.045964223146438596,0.01178005337715149,0.04994496703147888
A1_G,2,toothbrush/test/defective/002.png,1,boundary,32x32,24,24,0.024163711816072464,0.004955066740512848,0.013926908373832703,0.02319282293319702,0.031397975981235504,0.04777103215456009,0.0,0.05692383646965027
A1_G,3,toothbrush/test/defective/003.png,1,abnormal_normal,32x32,17,1003,0.00854082603159835,0.0,0.001623198390007019,0.004858851432800293,0.011597216129302979,0.02871473431587219,0.0,0.07954251766204834
A1_G,3,toothbrush/test/defective/003.png,1,defect,32x32,17,21,0.018373497894832065,0.004251986742019653,0.009764701128005981,0.014113575220108032,0.02454933524131775,0.03852701187133789,0.003727048635482788,0.04982888698577881
A1_G,3,toothbrush/test/defective/003.png,1,clean_defect,32x32,17,4,0.014860153198242188,0.004578152298927307,0.005882814526557922,0.015319645404815674,0.02429698407649994,0.024498865008354187,0.004251986742019653,0.02454933524131775
A1_G,3,toothbrush/test/defective/003.png,1,boundary,32x32,17,17,0.019200167235206154,0.006558459997177124,0.010548770427703857,0.014113575220108032,0.02647826075553894,0.04078738689422606,0.003727048635482788,0.04982888698577881
A1_G,4,toothbrush/test/defective/004.png,1,abnormal_normal,32x32,14,1010,0.009768891777142439,0.0,0.001631811261177063,0.005791425704956055,0.013733901083469391,0.03285340517759323,0.0,0.06636595726013184
A1_G,4,toothbrush/test/defective/004.png,1,defect,32x32,14,14,0.031709183539663045,0.007947123050689698,0.010828450322151184,0.03239975869655609,0.043347761034965515,0.06560930609703064,0.0077710747718811035,0.06741821765899658
A1_G,4,toothbrush/test/defective/004.png,1,clean_defect,32x32,14,0,,,,,,,,
A1_G,4,toothbrush/test/defective/004.png,1,boundary,32x32,14,14,0.031709183539663045,0.007947123050689698,0.010828450322151184,0.03239975869655609,0.043347761034965515,0.06560930609703064,0.0077710747718811035,0.06741821765899658
