config,base,permuted_branch,permutation_index,mean_delta,mean_abs_delta,max_abs_delta,frac_changed_gt_1e-6,defect_mean_abs_delta,defect_mean_delta,defect_n_patches,normal_mean_abs_delta,normal_mean_delta,normal_n_patches
A1_J__perm_C_cross_p00,A1_J,C_cross,00,-0.0009143187780864537,0.005797169636934996,0.11934685707092285,0.9996378311258278,0.00663165096193552,-0.0012197850737720728,4979,0.005769404582679272,-0.0009041553130373359,149645
A1_J__perm_C_cross_p01,A1_J,C_cross,01,-0.0009765528375282884,0.005774651188403368,0.12581756711006165,0.9997413079470199,0.006736061070114374,-0.0013045358937233686,4979,0.00574266305193305,-0.0009656402398832142,149645
A1_J__perm_C_cross_p02,A1_J,C_cross,02,-0.0010042206849902868,0.005816185846924782,0.07628792524337769,0.9997736444536424,0.006769291125237942,-0.0012023613089695573,4979,0.00578447338193655,-0.000997628434561193,149645
A1_J__perm_C_within_p00,A1_J,C_within,00,-0.013627174310386181,0.015496251173317432,0.11095497012138367,0.9989846336920529,0.01582847349345684,-0.011819152161478996,4979,0.015485200099647045,-0.013687331229448318,149645
A1_J__perm_C_within_p01,A1_J,C_within,01,-0.013278959318995476,0.015257589519023895,0.13388997316360474,0.9982150248344371,0.015911031514406204,-0.011810313910245895,4979,0.015235846862196922,-0.0133278239518404,149645
A1_J__perm_C_within_p02,A1_J,C_within,02,-0.013452629558742046,0.015400152653455734,0.1483006477355957,0.9992109892384106,0.015928158536553383,-0.012236311100423336,4979,0.015382585115730762,-0.013493097387254238,149645
BAL_J__perm_C_cross_p00,BAL_J,C_cross,00,-0.0008964176522567868,0.005359725560992956,0.13368600606918335,0.9996507657284768,0.006742620840668678,-0.0019459963077679276,4979,0.005313714034855366,-0.0008614958496764302,149645
BAL_J__perm_C_cross_p01,BAL_J,C_cross,01,-0.000925204309169203,0.0052987197414040565,0.14158856868743896,0.9997801117549668,0.0065170107409358025,-0.001966248033568263,4979,0.0052581848576664925,-0.0008905667345970869,149645
BAL_J__perm_C_cross_p02,BAL_J,C_cross,02,-0.0009678349597379565,0.005360545590519905,0.07480752468109131,0.9997607098509934,0.006481022574007511,-0.0018681553192436695,4979,0.005323265213519335,-0.0009378792601637542,149645
BAL_J__perm_C_within_p00,BAL_J,C_within,00,-0.013030469417572021,0.01461784541606903,0.10943835973739624,0.9989846336920529,0.014431857503950596,-0.011758186854422092,4979,0.0146240359172225,-0.013072799891233444,149645
BAL_J__perm_C_within_p01,BAL_J,C_within,01,-0.012733258306980133,0.014406951144337654,0.13388997316360474,0.9980598096026491,0.015102589502930641,-0.011831321753561497,4979,0.01438380591571331,-0.012763268314301968,149645
BAL_J__perm_C_within_p02,BAL_J,C_within,02,-0.01288811769336462,0.014548835344612598,0.14499127864837646,0.9993015314569537,0.015348879620432854,-0.012511832639575005,4979,0.014522217214107513,-0.012900639325380325,149645
BAL_J__perm_S_cross_p00,BAL_J,S_cross,00,-0.005883779376745224,0.00796846766024828,0.18848258256912231,0.9998318501655629,0.010708020068705082,-0.008791247382760048,4979,0.007877315394580364,-0.005787041503936052,149645
BAL_J__perm_S_cross_p01,BAL_J,S_cross,01,-0.0057970373891294,0.0078952107578516,0.18848258256912231,0.9998641866721855,0.009739920496940613,-0.007793469354510307,4979,0.007833831943571568,-0.0057306126691401005,149645
BAL_J__perm_S_cross_p02,BAL_J,S_cross,02,-0.00681726448237896,0.00865252036601305,0.18848258256912231,0.9998641866721855,0.010428073816001415,-0.00848629605025053,4979,0.008593443781137466,-0.0067617325112223625,149645
BAL_J__perm_S_within_p00,BAL_J,S_within,00,-0.0397748202085495,0.039901286363601685,0.20558756589889526,0.9989005587748344,0.027118993923068047,-0.026919642463326454,4979,0.04032658040523529,-0.040202539414167404,149645
BAL_J__perm_S_within_p01,BAL_J,S_within,01,-0.038372427225112915,0.03849129006266594,0.21060915291309357,0.9979304635761589,0.02643592469394207,-0.026050375774502754,4979,0.038892392069101334,-0.03878241032361984,149645
BAL_J__perm_S_within_p02,BAL_J,S_within,02,-0.037699323147535324,0.03782520443201065,0.16795308887958527,0.9993209333609272,0.02510176971554756,-0.02487771399319172,4979,0.03824855014681816,-0.03812592849135399,149645
TRI_J__perm_C_cross_p00,TRI_J,C_cross,00,-0.0006873839301988482,0.0052202483639121056,0.08912400156259537,0.9995925600165563,0.006261065602302551,-0.0013269942719489336,4979,0.005185618996620178,-0.0006661027437075973,149645
TRI_J__perm_C_cross_p01,TRI_J,C_cross,01,-0.0007372773834504187,0.005145061295479536,0.09439237415790558,0.9997154387417219,0.006070258095860481,-0.0015157944289967418,4979,0.005114279221743345,-0.0007113746250979602,149645
TRI_J__perm_C_cross_p02,TRI_J,C_cross,02,-0.0007606007857248187,0.005173015408217907,0.07625827193260193,0.9996960368377483,0.005995940417051315,-0.00140757008921355,4979,0.005145633593201637,-0.0007390746613964438,149645
TRI_J__perm_C_within_p00,TRI_J,C_within,00,-0.01173638179898262,0.01364878285676241,0.09708748757839203,0.9989264279801324,0.014259543269872665,-0.01107718050479889,4979,0.0136284613981843,-0.01175831537693739,149645
TRI_J__perm_C_within_p01,TRI_J,C_within,01,-0.011433989740908146,0.013464891351759434,0.10074634104967117,0.9981826883278145,0.014700942672789097,-0.010847071185708046,4979,0.013423766009509563,-0.011453518643975258,149645
TRI_J__perm_C_within_p02,TRI_J,C_within,02,-0.011636188253760338,0.013619466684758663,0.131659597158432,0.9993985409768212,0.014990722760558128,-0.011786086484789848,4979,0.0135738430544734,-0.011631200090050697,149645
TRI_J__perm_S_cross_p00,TRI_J,S_cross,00,-0.007467024493962526,0.009957286529242992,0.23475098609924316,0.9998706539735099,0.01338532567024231,-0.010928155854344368,4979,0.00984322838485241,-0.007351865526288748,149645
TRI_J__perm_S_cross_p01,TRI_J,S_cross,01,-0.007503747008740902,0.009996313601732254,0.24232745170593262,0.9998706539735099,0.012377570383250713,-0.009951762855052948,4979,0.009917084127664566,-0.007422296795994043,149645
TRI_J__perm_S_cross_p02,TRI_J,S_cross,02,-0.00872777123004198,0.01090272981673479,0.24232745170593262,0.9998318501655629,0.01313865091651678,-0.010642573237419128,4979,0.010828335769474506,-0.008664063178002834,149645
TRI_J__perm_S_within_p00,TRI_J,S_within,00,-0.04998478665947914,0.05012489855289459,0.2732465863227844,0.9988423530629139,0.03385825827717781,-0.033660583198070526,4979,0.050666119903326035,-0.05052793025970459,149645
TRI_J__perm_S_within_p01,TRI_J,S_within,01,-0.048145756125450134,0.04828230291604996,0.27688878774642944,0.9980145384933775,0.03337489813566208,-0.033008791506290436,4979,0.048778291791677475,-0.048649393022060394,149645
TRI_J__perm_S_within_p02,TRI_J,S_within,02,-0.0472680889070034,0.04741060361266136,0.22279399633407593,0.9994114755794702,0.03090878203511238,-0.030619408935308456,4979,0.04795965179800987,-0.047822024673223495,149645
