method,scope,image_index,sample_id,n_pairs,l_correct,j_correct,l_correct_j_wrong,l_wrong_j_correct,both_correct,both_wrong,l_tie,j_tie,l_correct_rate,j_correct_rate,l_correct_j_wrong_rate,l_wrong_j_correct_rate
A1,image,0,hazelnut/test/crack/000.png,4096,4065,4064,4,3,4061,28,0,0,0.992431640625,0.9921875,0.0009765625,0.000732421875
A1,image,1,hazelnut/test/crack/001.png,4096,4088,4090,0,2,4088,6,0,0,0.998046875,0.99853515625,0.0,0.00048828125
A1,image,2,hazelnut/test/crack/002.png,2944,2939,2907,32,0,2907,5,0,0,0.9983016304347826,0.9874320652173914,0.010869565217391304,0.0
A1,image,3,hazelnut/test/crack/003.png,3392,3324,3279,46,1,3278,67,0,0,0.9799528301886793,0.9666863207547169,0.013561320754716982,0.00029481132075471697
A1,image,4,hazelnut/test/crack/004.png,2624,2624,2623,1,0,2623,0,0,0,1.0,0.9996189024390244,0.00038109756097560977,0.0
A1,image,5,hazelnut/test/crack/005.png,2880,2876,2880,0,4,2876,0,0,0,0.9986111111111111,1.0,0.0,0.001388888888888889
A1,image,6,hazelnut/test/crack/006.png,4096,4090,4091,2,3,4088,3,0,0,0.99853515625,0.998779296875,0.00048828125,0.000732421875
A1,image,7,hazelnut/test/crack/007.png,4096,4072,4071,2,1,4070,23,0,0,0.994140625,0.993896484375,0.00048828125,0.000244140625
A1,image,8,hazelnut/test/crack/008.png,4096,4096,4094,2,0,4094,0,0,0,1.0,0.99951171875,0.00048828125,0.0
A1,image,9,hazelnut/test/crack/009.png,4096,4069,4071,1,3,4068,24,0,0,0.993408203125,0.993896484375,0.000244140625,0.000732421875
A1,image,10,hazelnut/test/crack/010.png,4096,4066,4069,1,4,4065,26,0,0,0.99267578125,0.993408203125,0.000244140625,0.0009765625
A1,image,11,hazelnut/test/crack/011.png,4096,4005,3988,24,7,3981,84,0,0,0.977783203125,0.9736328125,0.005859375,0.001708984375
A1,image,12,hazelnut/test/crack/012.png,3328,3300,3298,6,4,3294,24,0,0,0.9915865384615384,0.9909855769230769,0.0018028846153846155,0.001201923076923077
A1,image,13,hazelnut/test/crack/013.png,3200,3098,3104,11,17,3087,85,0,0,0.968125,0.97,0.0034375,0.0053125
A1,image,14,hazelnut/test/crack/014.png,2304,2304,2304,0,0,2304,0,0,0,1.0,1.0,0.0,0.0
A1,image,15,hazelnut/test/crack/015.png,4096,3935,3935,24,24,3911,137,0,0,0.960693359375,0.960693359375,0.005859375,0.005859375
A1,image,16,hazelnut/test/crack/016.png,4032,4015,4006,11,2,4004,15,0,0,0.9957837301587301,0.9935515873015873,0.002728174603174603,0.000496031746031746
A1,image,17,hazelnut/test/crack/017.png,4096,4094,4094,0,0,4094,2,0,0,0.99951171875,0.99951171875,0.0,0.0
A1,image,18,hazelnut/test/cut/000.png,704,703,695,8,0,695,1,0,0,0.9985795454545454,0.9872159090909091,0.011363636363636364,0.0
A1,image,19,hazelnut/test/cut/001.png,2624,2588,2579,11,2,2577,34,0,0,0.9862804878048781,0.9828506097560976,0.004192073170731708,0.0007621951219512195
A1,image,20,hazelnut/test/cut/002.png,1088,1088,1087,1,0,1087,0,0,0,1.0,0.9990808823529411,0.0009191176470588235,0.0
A1,image,21,hazelnut/test/cut/003.png,1088,1084,1086,0,2,1084,2,0,0,0.9963235294117647,0.9981617647058824,0.0,0.001838235294117647
A1,image,22,hazelnut/test/cut/004.png,2240,2225,2214,11,0,2214,15,0,0,0.9933035714285714,0.9883928571428572,0.004910714285714286,0.0
A1,image,23,hazelnut/test/cut/005.png,1152,1129,1131,1,3,1128,20,0,0,0.9800347222222222,0.9817708333333334,0.0008680555555555555,0.0026041666666666665
A1,image,24,hazelnut/test/cut/006.png,1536,1497,1514,0,17,1497,22,0,0,0.974609375,0.9856770833333334,0.0,0.011067708333333334
A1,image,25,hazelnut/test/cut/007.png,1024,1009,997,12,0,997,15,0,0,0.9853515625,0.9736328125,0.01171875,0.0
A1,image,26,hazelnut/test/cut/008.png,3264,3037,3039,23,25,3014,202,0,0,0.930453431372549,0.9310661764705882,0.0070465686274509805,0.007659313725490196
A1,image,27,hazelnut/test/cut/009.png,1536,1530,1531,0,1,1530,5,0,0,0.99609375,0.9967447916666666,0.0,0.0006510416666666666
A1,image,28,hazelnut/test/cut/010.png,1088,1086,1086,0,0,1086,2,0,0,0.9981617647058824,0.9981617647058824,0.0,0.0
A1,image,29,hazelnut/test/cut/011.png,1152,1140,1141,0,1,1140,11,0,0,0.9895833333333334,0.9904513888888888,0.0,0.0008680555555555555
A1,image,30,hazelnut/test/cut/012.png,1152,1152,1152,0,0,1152,0,0,0,1.0,1.0,0.0,0.0
A1,image,31,hazelnut/test/cut/013.png,1984,1945,1932,13,0,1932,39,0,0,0.9803427419354839,0.9737903225806451,0.00655241935483871,0.0
A1,image,32,hazelnut/test/cut/014.png,896,896,896,0,0,896,0,0,0,1.0,1.0,0.0,0.0
A1,image,33,hazelnut/test/cut/015.png,1472,1457,1466,0,9,1457,6,0,0,0.9898097826086957,0.9959239130434783,0.0,0.006114130434782609
A1,image,34,hazelnut/test/cut/016.png,1472,1465,1469,0,4,1465,3,0,0,0.9952445652173914,0.9979619565217391,0.0,0.002717391304347826
A1,image,35,hazelnut/test/good/000.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,36,hazelnut/test/good/001.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,37,hazelnut/test/good/002.png,0,0,0,0,0,0,0,0,0,,,,
