config,base,permuted_branch,permutation_index,mean_delta,mean_abs_delta,max_abs_delta,frac_changed_gt_1e-6,defect_mean_abs_delta,defect_mean_delta,defect_n_patches,normal_mean_abs_delta,normal_mean_delta,normal_n_patches
A1_J__perm_C_cross_p00,A1_J,C_cross,00,-0.007857197895646095,0.00982450507581234,0.1578086018562317,0.790509033203125,0.027582788839936256,-0.027048928663134575,1110,0.009703373536467552,-0.007726290263235569,162730
A1_J__perm_C_cross_p01,A1_J,C_cross,01,-0.010449332185089588,0.013149691745638847,0.17716249823570251,0.999884033203125,0.028059422969818115,-0.025646939873695374,1110,0.013047991320490837,-0.010345667600631714,162730
A1_J__perm_C_cross_p02,A1_J,C_cross,02,-0.01147959940135479,0.013838877901434898,0.19607526063919067,0.92987060546875,0.026035470888018608,-0.0238453671336174,1110,0.013755683787167072,-0.01139525044709444,162730
A1_J__perm_C_within_p00,A1_J,C_within,00,-0.013521479442715645,0.015434598550200462,0.17531853914260864,0.999053955078125,0.04032883420586586,-0.039817314594984055,1110,0.01526479423046112,-0.013342112302780151,162730
A1_J__perm_C_within_p01,A1_J,C_within,01,-0.013606103137135506,0.015578220598399639,0.18246322870254517,0.999267578125,0.0384540930390358,-0.037606656551361084,1110,0.015422181226313114,-0.013442393392324448,162730
A1_J__perm_C_within_p02,A1_J,C_within,02,-0.013429179787635803,0.015277768485248089,0.16574439406394958,0.9985595703125,0.03942696005105972,-0.038806382566690445,1110,0.015113047324120998,-0.013256079517304897,162730
BAL_J__perm_C_cross_p00,BAL_J,C_cross,00,-0.00761240441352129,0.009420376271009445,0.1632949411869049,0.785394287109375,0.02583436295390129,-0.02527097426354885,1110,0.009308415465056896,-0.007491953670978546,162730
BAL_J__perm_C_cross_p01,BAL_J,C_cross,01,-0.010552061721682549,0.012976139783859253,0.17104260623455048,0.99984130859375,0.02738487906754017,-0.02603374607861042,1110,0.012877857312560081,-0.010446460917592049,162730
BAL_J__perm_C_cross_p02,BAL_J,C_cross,02,-0.011381641030311584,0.013500040397047997,0.19770097732543945,0.92274169921875,0.027212658897042274,-0.026029866188764572,1110,0.013406503945589066,-0.011281725019216537,162730
BAL_J__perm_C_within_p00,BAL_J,C_within,00,-0.013123786076903343,0.014848897233605385,0.1774676889181137,0.998931884765625,0.03694451227784157,-0.03642164170742035,1110,0.014698182232677937,-0.012964868918061256,162730
BAL_J__perm_C_within_p01,BAL_J,C_within,01,-0.013405568897724152,0.015191083773970604,0.175147145986557,0.9990478515625,0.03591886907815933,-0.035251639783382416,1110,0.015049696899950504,-0.013256552629172802,162730
BAL_J__perm_C_within_p02,BAL_J,C_within,02,-0.012951498851180077,0.014639603905379772,0.16340738534927368,0.998895263671875,0.035169605165719986,-0.03452567383646965,1110,0.014499567449092865,-0.012804337777197361,162730
BAL_J__perm_S_cross_p00,BAL_J,S_cross,00,-0.01730465330183506,0.0176000464707613,0.1844637542963028,0.76708984375,0.03212042525410652,-0.03201210871338844,1110,0.017500998452305794,-0.01720432937145233,162730
BAL_J__perm_S_cross_p01,BAL_J,S_cross,01,-0.024193590506911278,0.024793390184640884,0.20255818963050842,0.999969482421875,0.03500039875507355,-0.03446900472044945,1110,0.02472376823425293,-0.024123502895236015,162730
