method,image_index,sample_id,image_label,region,grid,boundary_count,patch_count,mean,p05,p25,median,p75,p95,min,max
A1_G,0,transistor/test/bent_lead/000.png,1,abnormal_normal,32x32,7,1014,0.010721030672626383,0.00016876012086868293,0.003562353551387787,0.007590353488922119,0.015017442405223846,0.03118773102760312,0.0,0.12293064594268799
A1_G,0,transistor/test/bent_lead/000.png,1,defect,32x32,7,10,0.02699120044708252,0.004277394711971283,0.010629825294017792,0.030927926301956177,0.037877775728702545,0.051888163387775396,0.0030736327171325684,0.061681538820266724
A1_G,0,transistor/test/bent_lead/000.png,1,clean_defect,32x32,7,3,0.017209559679031372,0.009832319617271424,0.011959001421928406,0.014617353677749634,0.02116401493549347,0.026401343941688537,0.009300649166107178,0.027710676193237305
A1_G,0,transistor/test/bent_lead/000.png,1,boundary,32x32,7,7,0.031183332204818726,0.0038761407136917118,0.01994691789150238,0.03481820225715637,0.03940805792808533,0.055152621865272505,0.0030736327171325684,0.061681538820266724
A1_G,1,transistor/test/bent_lead/001.png,1,abnormal_normal,32x32,3,1019,0.011845794960607841,0.0004974246025085449,0.004133880138397217,0.009143710136413574,0.015649184584617615,0.03371944129467009,0.0,0.08098456263542175
A1_G,1,transistor/test/bent_lead/001.png,1,defect,32x32,3,5,0.01910952925682068,0.006939911842346191,0.0163041353225708,0.021534383296966553,0.024637609720230103,0.02770565152168274,0.004598855972290039,0.0284726619720459
A1_G,1,transistor/test/bent_lead/001.png,1,clean_defect,32x32,3,2,0.01653575897216797,0.005792546272277832,0.010567307472229004,0.01653575897216797,0.022504210472106934,0.027278971672058103,0.004598855972290039,0.0284726619720459
A1_G,1,transistor/test/bent_lead/001.png,1,boundary,32x32,3,3,0.020825376113255818,0.016827160120010377,0.018919259309768677,0.021534383296966553,0.023085996508598328,0.02432728707790375,0.0163041353225708,0.024637609720230103
A1_G,2,transistor/test/bent_lead/002.png,1,abnormal_normal,32x32,5,1007,0.010589877507892597,0.0,0.00303824245929718,0.007746219635009766,0.0149993896484375,0.029787617921829223,0.0,0.061199456453323364
A1_G,2,transistor/test/bent_lead/002.png,1,defect,32x32,5,17,0.013938881018582512,0.0031121551990509035,0.006680488586425781,0.009432703256607056,0.013659805059432983,0.042140829563140865,0.00289192795753479,0.04989832639694214
A1_G,2,transistor/test/bent_lead/002.png,1,clean_defect,32x32,5,12,0.00873354822397232,0.003043334186077118,0.005845032632350922,0.008177369832992554,0.012012667953968048,0.014725191891193389,0.00289192795753479,0.016027331352233887
A1_G,2,transistor/test/bent_lead/002.png,1,boundary,32x32,5,5,0.026431679725646973,0.008959323167800903,0.009432703256607056,0.023784935474395752,0.04020145535469055,0.04795895218849182,0.008840978145599365,0.04989832639694214
A1_G,3,transistor/test/bent_lead/003.png,1,abnormal_normal,32x32,11,1005,0.010800379158845588,0.0,0.0032741427421569824,0.008168786764144897,0.015696197748184204,0.029509079456329336,0.0,0.05854150652885437
A1_G,3,transistor/test/bent_lead/003.png,1,defect,32x32,11,19,0.018947140166634006,0.005534130334854126,0.008683592081069946,0.015329182147979736,0.027875036001205444,0.035121929645538306,0.0026442110538482666,0.04408356547355652
A1_G,3,transistor/test/bent_lead/003.png,1,clean_defect,32x32,11,8,0.017673898488283157,0.006470054388046265,0.00874224305152893,0.014027029275894165,0.02298567444086075,0.03711108863353728,0.00622597336769104,0.04408356547355652
A1_G,3,transistor/test/bent_lead/003.png,1,boundary,32x32,11,11,0.019873134114525536,0.0042497217655181885,0.010393917560577393,0.018178433179855347,0.03038501739501953,0.03393937647342682,0.0026442110538482666,0.03412619233131409
A1_G,4,transistor/test/bent_lead/004.png,1,abnormal_normal,32x32,7,1014,0.010697102464397513,0.0,0.0035858377814292908,0.008060842752456665,0.015133626759052277,0.02978818714618679,0.0,0.06846117973327637
A1_G,4,transistor/test/bent_lead/004.png,1,defect,32x32,7,10,0.01993277668952942,0.006009697914123535,0.013880938291549683,0.021874815225601196,0.02618119865655899,0.030538289248943327,0.0012970566749572754,0.03063872456550598
A1_G,4,transistor/test/bent_lead/004.png,1,clean_defect,32x32,7,3,0.016534467538197834,0.011875033378601074,0.012296795845031738,0.012823998928070068,0.01891690492630005,0.023791229724884032,0.011769592761993408,0.02500981092453003
A1_G,4,transistor/test/bent_lead/004.png,1,boundary,32x32,7,7,0.021389194897242954,0.006023466587066651,0.018270343542099,0.02426069974899292,0.028493598103523254,0.030571767687797548,0.0012970566749572754,0.03063872456550598
A1_G,5,transistor/test/bent_lead/005.png,1,abnormal_normal,32x32,14,994,0.01119590183378945,0.00011624693870544435,0.004241563379764557,0.00841967761516571,0.014746934175491333,0.03207075893878928,0.0,0.10724097490310669
A1_G,5,transistor/test/bent_lead/005.png,1,defect,32x32,14,30,0.016712419191996255,0.001917882263660431,0.007888875901699066,0.013328567147254944,0.02552367001771927,0.03485171347856521,0.0004629790782928467,0.045339375734329224
A1_G,5,transistor/test/bent_lead/005.png,1,clean_defect,32x32,14,16,0.013180144131183624,0.0053019896149635315,0.00811738520860672,0.009890198707580566,0.018040210008621216,0.02761945128440857,0.0016716420650482178,0.03212350606918335
A1_G,5,transistor/test/bent_lead/005.png,1,boundary,32x32,14,14,0.02074930497578212,0.0016042903065681458,0.008789822459220886,0.01928599178791046,0.032328516244888306,0.039713327586650846,0.0004629790782928467,0.045339375734329224
A1_G,6,transistor/test/bent_lead/006.png,1,abnormal_normal,32x32,25,961,0.010882354706804908,0.0,0.003488779067993164,0.008457005023956299,0.015136152505874634,0.02987372875213623,0.0,0.07994380593299866
A1_G,6,transistor/test/bent_lead/006.png,1,defect,32x32,25,63,0.01212990993545169,0.0021149545907974245,0.005708605051040649,0.011685788631439209,0.016293451189994812,0.025043258070945738,0.0,0.0331401526927948
A1_G,6,transistor/test/bent_lead/006.png,1,clean_defect,32x32,25,38,0.011587063732900117,0.0011322513222694398,0.005688868463039398,0.010911554098129272,0.015792466700077057,0.02414588779211044,0.0,0.0331401526927948
A1_G,6,transistor/test/bent_lead/006.png,1,boundary,32x32,25,25,0.012955036163330078,0.002635419368743897,0.0058002471923828125,0.013087540864944458,0.016530215740203857,0.026587778329849238,0.0021122395992279053,0.028205782175064087
A1_G,7,transistor/test/bent_lead/007.png,1,abnormal_normal,32x32,24,970,0.011489023375756961,0.00021638125181198145,0.004103727638721466,0.009016066789627075,0.015345275402069092,0.03227450549602507,0.0,0.06643575429916382
A1_G,7,transistor/test/bent_lead/007.png,1,defect,32x32,24,54,0.0168114944740578,0.0020274221897125244,0.0082416832447052,0.0134611576795578,0.021525956690311432,0.03885678499937051,0.0,0.07429412007331848
A1_G,7,transistor/test/bent_lead/007.png,1,clean_defect,32x32,24,30,0.016580737630526223,0.0019980967044830322,0.00783633440732956,0.013525426387786865,0.022061549127101898,0.040204666554927784,0.0016160011291503906,0.05831342935562134
A1_G,7,transistor/test/bent_lead/007.png,1,boundary,32x32,24,24,0.017099940528472263,0.003109705448150635,0.009093664586544037,0.0134611576795578,0.020140953361988068,0.034754122793674465,0.0,0.07429412007331848
A1_G,8,transistor/test/bent_lead/008.png,1,abnormal_normal,32x32,30,962,0.011501565823436031,0.0,0.0033394992351531982,0.008070051670074463,0.015705928206443787,0.03477464020252226,0.0,0.0950096845626831
A1_G,8,transistor/test/bent_lead/008.png,1,defect,32x32,30,62,0.015370843391264639,0.0019161462783813478,0.006334476172924042,0.012921527028083801,0.023281902074813843,0.032691405713558185,0.0,0.0745401382446289
A1_G,8,transistor/test/bent_lead/008.png,1,clean_defect,32x32,30,32,0.014767877757549286,0.001828420162200928,0.007003083825111389,0.012963518500328064,0.020380735397338867,0.03097124397754669,0.0,0.04347500205039978
A1_G,8,transistor/test/bent_lead/008.png,1,boundary,32x32,30,30,0.01601400673389435,0.00197293758392334,0.005766332149505615,0.012479186058044434,0.023281902074813843,0.03201581984758376,0.0017017126083374023,0.0745401382446289
A1_G,9,transistor/test/bent_lead/009.png,1,abnormal_normal,32x32,12,1003,0.010945948176940203,0.0,0.003295600414276123,0.008295893669128418,0.015453353524208069,0.031903168559074394,0.0,0.07855600118637085
