config,base,permuted_branch,permutation_index,mean_delta,mean_abs_delta,max_abs_delta,frac_changed_gt_1e-6,defect_mean_abs_delta,defect_mean_delta,defect_n_patches,normal_mean_abs_delta,normal_mean_delta,normal_n_patches
A1_J__perm_C_within_p00,A1_J,C_within,00,-0.0216036606580019,0.02496184967458248,0.20669806003570557,0.9999869791666667,0.026041148230433464,-0.019288407638669014,6679,0.024912787601351738,-0.021708911284804344,146921
A1_J__perm_C_within_p01,A1_J,C_within,01,-0.022341081872582436,0.025425085797905922,0.163467139005661,0.9981380208333334,0.024452529847621918,-0.01860671304166317,6679,0.025469299405813217,-0.022510845214128494,146921
A1_J__perm_C_within_p02,A1_J,C_within,02,-0.02305186353623867,0.026410480961203575,0.20887091755867004,0.9997786458333333,0.027959255501627922,-0.023302612826228142,6679,0.026340074837207794,-0.023040466010570526,146921
BAL_J__perm_C_within_p00,BAL_J,C_within,00,-0.021046647801995277,0.02395903691649437,0.18399924039840698,0.99998046875,0.025589389726519585,-0.019554948434233665,6679,0.02388492040336132,-0.02111446112394333,146921
BAL_J__perm_C_within_p01,BAL_J,C_within,01,-0.02201169542968273,0.02468932420015335,0.17133928835391998,0.9977994791666667,0.024221369996666908,-0.0196064542979002,6679,0.024710599333047867,-0.022121038287878036,146921
BAL_J__perm_C_within_p02,BAL_J,C_within,02,-0.02219327725470066,0.025157196447253227,0.20887091755867004,0.99953125,0.027018431574106216,-0.022915910929441452,6679,0.02507258765399456,-0.022160425782203674,146921
BAL_J__perm_S_within_p00,BAL_J,S_within,00,-0.05017580837011337,0.050309713929891586,0.1861404925584793,1.0,0.04659638553857803,-0.04642421379685402,6679,0.050478510558605194,-0.05034634843468666,146921
BAL_J__perm_S_within_p01,BAL_J,S_within,01,-0.05124495550990105,0.05135119706392288,0.2072346806526184,0.9976888020833333,0.04415673017501831,-0.04385882616043091,6679,0.051678258925676346,-0.051580723375082016,146921
BAL_J__perm_S_within_p02,BAL_J,S_within,02,-0.05091086030006409,0.051019567996263504,0.23398301005363464,0.9992057291666666,0.04979764297604561,-0.04962783679366112,6679,0.05107511579990387,-0.05096918344497681,146921
TRI_J__perm_C_within_p00,TRI_J,C_within,00,-0.01906071975827217,0.022249924018979073,0.15208956599235535,0.9999544270833334,0.023332742974162102,-0.017544938251376152,6679,0.022200701758265495,-0.019129624590277672,146921
TRI_J__perm_C_within_p01,TRI_J,C_within,01,-0.01955425553023815,0.02240503765642643,0.14417138695716858,0.9977408854166666,0.021592941135168076,-0.016936087980866432,6679,0.02244195155799389,-0.01967327482998371,146921
TRI_J__perm_C_within_p02,TRI_J,C_within,02,-0.020327311009168625,0.023513076826930046,0.15085077285766602,0.99953125,0.02480250410735607,-0.02063843607902527,6679,0.02345445565879345,-0.020313169807195663,146921
TRI_J__perm_S_within_p00,TRI_J,S_within,00,-0.06298843026161194,0.0631282776594162,0.2372264862060547,1.0,0.05721316114068031,-0.057072222232818604,6679,0.06339718401432037,-0.0632573813199997,146921
TRI_J__perm_S_within_p01,TRI_J,S_within,01,-0.06430470198392868,0.0644250437617302,0.26483938097953796,0.9976106770833333,0.05499112233519554,-0.0546620674431324,6679,0.06485390663146973,-0.06474306434392929,146921
TRI_J__perm_S_within_p02,TRI_J,S_within,02,-0.06423546373844147,0.06435558944940567,0.31306183338165283,0.9991731770833333,0.062186531722545624,-0.0620657354593277,6679,0.06445419043302536,-0.06433410942554474,146921
