config,base,permuted_branch,permutation_index,mean_delta,mean_abs_delta,max_abs_delta,frac_changed_gt_1e-6,defect_mean_abs_delta,defect_mean_delta,defect_n_patches,normal_mean_abs_delta,normal_mean_delta,normal_n_patches
A1_J__perm_C_within_p00,A1_J,C_within,00,-0.003703751601278782,0.009258965961635113,0.11312094330787659,0.9998747996794872,0.00786680169403553,-0.004021551460027695,3131,0.009296324104070663,-0.003695223480463028,116677
A1_J__perm_C_within_p01,A1_J,C_within,01,-0.0037073094863444567,0.009228518232703209,0.11952224373817444,0.9981386885683761,0.006746452767401934,-0.0013026682427152991,3131,0.009295124560594559,-0.003771836869418621,116677
A1_J__perm_C_within_p02,A1_J,C_within,02,-0.0036799958907067776,0.009355282410979271,0.13622471690177917,0.9993656517094017,0.008044690825045109,-0.004059705417603254,3131,0.0093904510140419,-0.003669806756079197,116677
BAL_J__perm_C_within_p00,BAL_J,C_within,00,-0.0035590871702879667,0.008370806463062763,0.10217151045799255,0.9999165331196581,0.0076181357726454735,-0.005088052246719599,3131,0.008391004055738449,-0.0035180572886019945,116677
BAL_J__perm_C_within_p01,BAL_J,C_within,01,-0.0035445543471723795,0.008314059115946293,0.11952224373817444,0.9984308226495726,0.005992821883410215,-0.0028828114736825228,3131,0.0083763487637043,-0.003562311874702573,116677
BAL_J__perm_C_within_p02,BAL_J,C_within,02,-0.003549085231497884,0.008451945148408413,0.13622471690177917,0.9994324252136753,0.007593523245304823,-0.0049390047788619995,3131,0.008474980480968952,-0.003511787159368396,116677
BAL_J__perm_S_within_p00,BAL_J,S_within,00,-0.027194993570446968,0.027366405352950096,0.16920340061187744,1.0,0.018699046224355698,-0.01849330961704254,3131,0.027598991990089417,-0.027428502216935158,116677
BAL_J__perm_S_within_p01,BAL_J,S_within,01,-0.026955891400575638,0.027148939669132233,0.1531490832567215,0.9980719150641025,0.020372457802295685,-0.020125163719058037,3131,0.027330787852406502,-0.027139196172356606,116677
BAL_J__perm_S_within_p02,BAL_J,S_within,02,-0.026774926111102104,0.026971185579895973,0.15352335572242737,0.9993406116452992,0.020428195595741272,-0.020262982696294785,3131,0.02714676409959793,-0.026949668303132057,116677
TRI_J__perm_C_within_p00,TRI_J,C_within,00,-0.0029042090754956007,0.008191263303160667,0.08579371869564056,0.9998914930555556,0.006981666199862957,-0.004439685493707657,3131,0.008223723620176315,-0.0028630048036575317,116677
TRI_J__perm_C_within_p01,TRI_J,C_within,01,-0.0028698076494038105,0.008096219971776009,0.09131413698196411,0.998313969017094,0.0051818410865962505,-0.002102153841406107,3131,0.008174425922334194,-0.002890407806262374,116677
TRI_J__perm_C_within_p02,TRI_J,C_within,02,-0.002842011395841837,0.008210720494389534,0.09081648290157318,0.9991319444444444,0.006876709405332804,-0.0041748820804059505,3131,0.00824651774019003,-0.0028062439523637295,116677
TRI_J__perm_S_within_p00,TRI_J,S_within,00,-0.03533301129937172,0.03552427142858505,0.22438473999500275,0.9999916533119658,0.024400683119893074,-0.024189116433262825,3131,0.03582276031374931,-0.03563205152750015,116677
TRI_J__perm_S_within_p01,TRI_J,S_within,01,-0.034629352390766144,0.034848589450120926,0.20362862944602966,0.9980886084401709,0.026079952716827393,-0.025823475793004036,3131,0.03508390113711357,-0.03486565500497818,116677
TRI_J__perm_S_within_p02,TRI_J,S_within,02,-0.034684184938669205,0.034895915538072586,0.2035835087299347,0.9989065838675214,0.026310231536626816,-0.026110146194696426,3131,0.03512631729245186,-0.03491427004337311,116677
