method,pixel_auroc,pixel_ap,image_auroc,image_ap,image_f1_max
B,0.9885441701426384,0.48799516300988427,0.9983948635634029,0.9994920791527586,0.9944134078212291
S,0.9921692259528889,0.6198316525943345,0.992776886035313,0.9977132784789032,0.9834254143646408
C,0.9867128314511993,0.6034876642860638,0.9995987158908507,0.9998751560549315,0.9944134078212291
A1_J,0.9916333598034804,0.5725368024026503,0.9995987158908507,0.9998751560549315,0.9944134078212291
TRI_J,0.9924948843499204,0.6029357439808,1.0,1.0,1.0
BAL_J,0.9929945439921746,0.6236497432300205,1.0,1.0,1.0
DUP_J,0.9905696217179485,0.5400538967665359,0.9995987158908507,0.9998751560549315,0.9944134078212291
DUP_BAL_J,0.9916333598034804,0.5725368024026503,0.9995987158908507,0.9998751560549315,0.9944134078212291
DUP_EXPECTED_J,0.9905696217179485,0.5400538967665359,0.9995987158908507,0.9998751560549315,0.9944134078212291
A1_L,0.9917507337032059,0.576912845062991,0.9995987158908507,0.9998751560549315,0.9944134078212291
DUP_L,0.990684588899561,0.5408650317695648,0.9987961476725522,0.9996212280614505,0.9944134078212291
TRI_L,0.9926774066018156,0.6096287701624394,1.0,1.0,1.0
BAL_L,0.9932104409718399,0.6322706584760309,0.9995987158908507,0.9998751560549315,0.9944134078212291
