config,base,permuted_branch,permutation_index,mean_delta,mean_abs_delta,max_abs_delta,frac_changed_gt_1e-6,defect_mean_abs_delta,defect_mean_delta,defect_n_patches,normal_mean_abs_delta,normal_mean_delta,normal_n_patches
A1_J__perm_C_within_p00,A1_J,C_within,00,-0.016258617863059044,0.019214952364563942,0.16583874821662903,0.9999911221590909,0.023097824305295944,-0.020342985168099403,3829,0.019078314304351807,-0.016114890575408936,108811
A1_J__perm_C_within_p01,A1_J,C_within,01,-0.01584811694920063,0.01879524253308773,0.1720985770225525,0.9987393465909091,0.018848242238163948,-0.015695631504058838,3829,0.0187933798879385,-0.015853483229875565,108811
A1_J__perm_C_within_p02,A1_J,C_within,02,-0.014537593349814415,0.017552897334098816,0.17299246788024902,0.99921875,0.02203255705535412,-0.01966398023068905,3829,0.0173952616751194,-0.014357199892401695,108811
BAL_J__perm_C_within_p00,BAL_J,C_within,00,-0.015214881859719753,0.01786034367978573,0.15542244911193848,0.9999644886363637,0.020241372287273407,-0.017520736902952194,3829,0.017776556313037872,-0.01513374038040638,108811
BAL_J__perm_C_within_p01,BAL_J,C_within,01,-0.015308511443436146,0.017948821187019348,0.16362249851226807,0.9984730113636363,0.019726067781448364,-0.016383392736315727,3829,0.01788627915084362,-0.015270687639713287,108811
BAL_J__perm_C_within_p02,BAL_J,C_within,02,-0.013908974826335907,0.016666391864418983,0.16423937678337097,0.9993874289772727,0.021162977442145348,-0.018397724255919456,3829,0.016508158296346664,-0.013751017861068249,108811
BAL_J__perm_S_within_p00,BAL_J,S_within,00,-0.04947389289736748,0.049604471772909164,0.2058430016040802,1.0,0.034340158104896545,-0.034106042236089706,3829,0.05014161393046379,-0.0500146821141243,108811
BAL_J__perm_S_within_p01,BAL_J,S_within,01,-0.04698770120739937,0.04712105914950371,0.21641471982002258,0.9984641335227272,0.027639849111437798,-0.026695139706134796,3829,0.04780659079551697,-0.04770179092884064,108811
BAL_J__perm_S_within_p02,BAL_J,S_within,02,-0.049135517328977585,0.049267057329416275,0.22600498795509338,0.9994584517045455,0.030939729884266853,-0.030723044648766518,3829,0.0499119870364666,-0.049783434718847275,108811
TRI_J__perm_C_within_p00,TRI_J,C_within,00,-0.013902174308896065,0.016568290069699287,0.11749473214149475,0.9999378551136363,0.01766832359135151,-0.014921012334525585,3829,0.01652958057820797,-0.013866323046386242,108811
TRI_J__perm_C_within_p01,TRI_J,C_within,01,-0.013798660598695278,0.01653962768614292,0.13080817461013794,0.9984552556818181,0.01690196432173252,-0.01348189078271389,3829,0.016526876017451286,-0.013809808529913425,108811
TRI_J__perm_C_within_p02,TRI_J,C_within,02,-0.012838983908295631,0.015681162476539612,0.14188408851623535,0.9993075284090909,0.01796056143939495,-0.015175750479102135,3829,0.015600950457155704,-0.012756751850247383,108811
TRI_J__perm_S_within_p00,TRI_J,S_within,00,-0.06264562904834747,0.06280066817998886,0.2534838020801544,0.9999911221590909,0.043779660016298294,-0.04347297176718712,3829,0.0634700134396553,-0.06332029402256012,108811
TRI_J__perm_S_within_p01,TRI_J,S_within,01,-0.05996701866388321,0.060109976679086685,0.28562766313552856,0.9983931107954546,0.0345391146838665,-0.033278051763772964,3829,0.06100980192422867,-0.06090619042515755,108811
TRI_J__perm_S_within_p02,TRI_J,S_within,02,-0.06290286034345627,0.06304226070642471,0.30328333377838135,0.9993607954545455,0.04006979241967201,-0.03984823450446129,3829,0.06385064870119095,-0.06371413916349411,108811
