method,pixel_auroc,pixel_ap,image_auroc,image_ap,image_f1_max
B,0.9929274744374329,0.7322561890030942,0.9939285714285715,0.996951900733142,0.9787234042553192
S,0.9939544418316811,0.7898193927046228,0.9946428571428572,0.9970240712780245,0.9722222222222222
C,0.9838099981527293,0.5389545083660428,0.9753571428571428,0.9865494165568718,0.9361702127659575
A1_J,0.9936217066365288,0.707563928269363,0.9985714285714287,0.9992088342186187,0.9857142857142858
TRI_J,0.9942486726205934,0.7454625004445038,1.0,0.9999999999999998,1.0
BAL_J,0.9942016034527118,0.7269739523730855,1.0,0.9999999999999998,1.0
DUP_J,0.9934590047360102,0.7185580637354451,0.9985714285714286,0.9991920536330472,0.9859154929577464
DUP_BAL_J,0.9936217066365288,0.707563928269363,0.9985714285714287,0.9992088342186187,0.9857142857142858
DUP_EXPECTED_J,0.9934590047360102,0.7185580637354451,0.9985714285714286,0.9991920536330472,0.9859154929577464
A1_L,0.9938744646878606,0.715841204517371,0.9992857142857142,0.9996031746031744,0.9928057553956835
DUP_L,0.9936955881681833,0.7267841965495492,0.9985714285714286,0.9992007601162527,0.9859154929577464
TRI_L,0.994614861451184,0.7589615346881411,1.0,0.9999999999999998,1.0
BAL_L,0.9945324807497014,0.7399815004439045,1.0,0.9999999999999998,1.0
