config,base,permuted_branch,permutation_index,mean_delta,mean_abs_delta,max_abs_delta,frac_changed_gt_1e-6,defect_mean_abs_delta,defect_mean_delta,defect_n_patches,normal_mean_abs_delta,normal_mean_delta,normal_n_patches
A1_J__perm_C_within_p00,A1_J,C_within,00,-0.003984181676059961,0.008506426587700844,0.09506219625473022,0.9998661164314516,0.019219286739826202,-0.0153672955930233,1589,0.008370665833353996,-0.0038399265613406897,125387
A1_J__perm_C_within_p01,A1_J,C_within,01,-0.004440772347152233,0.008808462880551815,0.1541069746017456,0.9985745337701613,0.018491966649889946,-0.01455721165984869,1589,0.008685745298862457,-0.004312568809837103,125387
A1_J__perm_C_within_p02,A1_J,C_within,02,-0.004116381984204054,0.008467738516628742,0.17600595951080322,0.9992518271169355,0.015161748044192791,-0.011693124659359455,1589,0.008382907137274742,-0.00402036402374506,125387
BAL_J__perm_C_within_p00,BAL_J,C_within,00,-0.0039749727584421635,0.007780721876770258,0.09141957759857178,0.9998661164314516,0.01742340251803398,-0.013969697058200836,1589,0.007658523041754961,-0.0038483126554638147,125387
BAL_J__perm_C_within_p01,BAL_J,C_within,01,-0.004275870975106955,0.007937259040772915,0.13578000664710999,0.9982831401209677,0.016467798501253128,-0.012963319197297096,1589,0.0078291529789567,-0.004165777005255222,125387
BAL_J__perm_C_within_p02,BAL_J,C_within,02,-0.004120705649256706,0.007770663592964411,0.17600595951080322,0.9988580519153226,0.014865705743432045,-0.0113721564412117,1589,0.007680750451982021,-0.0040288097225129604,125387
BAL_J__perm_S_within_p00,BAL_J,S_within,00,-0.023145778104662895,0.0233733132481575,0.1804322600364685,0.9999921244959677,0.02651219442486763,-0.02578476257622242,1589,0.023333534598350525,-0.023112332448363304,125387
BAL_J__perm_S_within_p01,BAL_J,S_within,01,-0.022536365315318108,0.022810351103544235,0.18306604027748108,0.9974877142137096,0.025552650913596153,-0.024693330749869347,1589,0.022775601595640182,-0.022509032860398293,125387
BAL_J__perm_S_within_p02,BAL_J,S_within,02,-0.023012124001979828,0.02324860170483589,0.1762155145406723,0.9984564012096774,0.027842406183481216,-0.02724575437605381,1589,0.023190386593341827,-0.022958476096391678,125387
TRI_J__perm_C_within_p00,TRI_J,C_within,00,-0.003126536263152957,0.007240001577883959,0.08379678428173065,0.9998976184475806,0.012732732109725475,-0.00887267291545868,1589,0.007170393131673336,-0.0030537170823663473,125387
TRI_J__perm_C_within_p01,TRI_J,C_within,01,-0.003458826569840312,0.00740131875500083,0.11423724889755249,0.9984327746975806,0.011958845891058445,-0.008037294261157513,1589,0.007343561854213476,-0.0034008047077804804,125387
TRI_J__perm_C_within_p02,TRI_J,C_within,02,-0.00338922836817801,0.007321029435843229,0.11733731627464294,0.9987084173387096,0.01078911405056715,-0.007255203556269407,1589,0.007277078460901976,-0.0033402356784790754,125387
TRI_J__perm_S_within_p00,TRI_J,S_within,00,-0.02971745654940605,0.029957836493849754,0.2405763566493988,0.9999921244959677,0.03443741425871849,-0.0338800847530365,1589,0.029901064932346344,-0.02966470643877983,125387
TRI_J__perm_S_within_p01,TRI_J,S_within,01,-0.028922462835907936,0.029221998527646065,0.22673428058624268,0.9979366179435484,0.03257235139608383,-0.032040465623140335,1589,0.029179532080888748,-0.0288829542696476,125387
TRI_J__perm_S_within_p02,TRI_J,S_within,02,-0.029427971690893173,0.02968553826212883,0.23495405912399292,0.998322517641129,0.035326823592185974,-0.0349501371383667,1589,0.0296140406280756,-0.029357990249991417,125387
