method,image_index,sample_id,image_label,region,grid,boundary_count,patch_count,mean,p05,p25,median,p75,p95,min,max
A1_G,0,leather/test/color/000.png,1,abnormal_normal,32x32,5,1014,0.010088236139135717,0.0009545341134071351,0.003827996551990509,0.008110642433166504,0.014186292886734009,0.02575997561216354,0.0,0.07354611158370972
A1_G,0,leather/test/color/000.png,1,defect,32x32,5,10,0.0015754520893096924,0.0,0.0,0.0007590651512145996,0.003030836582183838,0.004247090220451353,0.0,0.005108535289764404
A1_G,0,leather/test/color/000.png,1,clean_defect,32x32,5,5,0.0011867284774780273,0.0,0.0,0.0,0.0028387904167175293,0.003043639659881592,0.0,0.0030948519706726074
A1_G,0,leather/test/color/000.png,1,boundary,32x32,5,5,0.0019641757011413575,0.0,0.0,0.0015181303024291992,0.0031942129135131836,0.00472567081451416,0.0,0.005108535289764404
A1_G,1,leather/test/color/001.png,1,abnormal_normal,32x32,8,1015,0.010142959749757362,0.0009236216545104981,0.004001542925834656,0.007636964321136475,0.013539731502532959,0.02715939283370971,0.0,0.06883049011230469
A1_G,1,leather/test/color/001.png,1,defect,32x32,8,9,0.007204360432094998,0.0023798227310180666,0.006661713123321533,0.007343769073486328,0.008732199668884277,0.011362117528915404,0.0016843080520629883,0.012094587087631226
A1_G,1,leather/test/color/001.png,1,clean_defect,32x32,8,1,0.007343769073486328,0.007343769073486328,0.007343769073486328,0.007343769073486328,0.007343769073486328,0.007343769073486328,0.007343769073486328,0.007343769073486328
A1_G,1,leather/test/color/001.png,1,boundary,32x32,8,8,0.0071869343519210815,0.0022928833961486815,0.005852058529853821,0.007318079471588135,0.009115003049373627,0.011453676223754882,0.0016843080520629883,0.012094587087631226
A1_G,2,leather/test/color/002.png,1,abnormal_normal,32x32,5,1014,0.01057730888473917,0.0009205415844917298,0.003629811108112335,0.007663413882255554,0.014495857059955597,0.029352828860282877,0.0,0.09114527702331543
A1_G,2,leather/test/color/002.png,1,defect,32x32,5,10,0.0026138275861740112,0.0,0.0,0.0,0.0038187801837921143,0.010525123775005338,0.0,0.011790335178375244
A1_G,2,leather/test/color/002.png,1,clean_defect,32x32,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1_G,2,leather/test/color/002.png,1,boundary,32x32,5,5,0.0052276551723480225,8.324384689331056e-05,0.00041621923446655273,0.004952967166900635,0.00897875428199768,0.011228018999099731,0.0,0.011790335178375244
A1_G,3,leather/test/color/003.png,1,abnormal_normal,32x32,12,1007,0.010248101692805815,0.0008194327354431153,0.0038546472787857056,0.007830411195755005,0.014624640345573425,0.02751226723194122,0.0,0.06995785236358643
A1_G,3,leather/test/color/003.png,1,defect,32x32,12,17,0.004267913453719195,0.0,0.0,0.0,0.008778750896453857,0.016144496202468866,0.0,0.02352812886238098
A1_G,3,leather/test/color/003.png,1,clean_defect,32x32,12,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1_G,3,leather/test/color/003.png,1,boundary,32x32,12,12,0.006046210726102193,0.0,0.0,0.0,0.012740939855575562,0.0184518814086914,0.0,0.02352812886238098
A1_G,4,leather/test/color/004.png,1,abnormal_normal,32x32,10,1007,0.011018380863072264,0.0008690953254699708,0.0038751065731048584,0.008224159479141235,0.0150165855884552,0.03010784983634946,0.0,0.08563685417175293
A1_G,4,leather/test/color/004.png,1,defect,32x32,10,17,0.007075530641219195,0.0,0.0,0.00042569637298583984,0.011177003383636475,0.029556125402450558,0.0,0.03235587477684021
A1_G,4,leather/test/color/004.png,1,clean_defect,32x32,10,7,0.004243501595088414,0.0,0.0,0.00042569637298583984,0.0064201802015304565,0.014753159880638118,0.0,0.016438454389572144
A1_G,4,leather/test/color/004.png,1,boundary,32x32,10,10,0.009057950973510743,0.0,0.0,0.0003212094306945801,0.01595526933670044,0.03078101575374603,0.0,0.03235587477684021
A1_G,5,leather/test/color/005.png,1,abnormal_normal,32x32,6,1017,0.010168832956631041,0.0006323814392089844,0.003693819046020508,0.008175939321517944,0.013895809650421143,0.026778846979141225,0.0,0.0706024169921875
A1_G,5,leather/test/color/005.png,1,defect,32x32,6,7,0.00017423289162772044,0.0,0.0,0.0,0.0002747774124145508,0.0006339192390441893,0.0,0.0006700754165649414
A1_G,5,leather/test/color/005.png,1,clean_defect,32x32,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1_G,5,leather/test/color/005.png,1,boundary,32x32,6,6,0.00020327170689900717,0.0,0.0,0.0,0.00041216611862182617,0.0006399452686309814,0.0,0.0006700754165649414
A1_G,6,leather/test/color/006.png,1,abnormal_normal,32x32,4,1020,0.010518191141240738,0.0006301984190940857,0.003752678632736206,0.007812976837158203,0.014699921011924744,0.02903272807598114,0.0,0.11374971270561218
A1_G,6,leather/test/color/006.png,1,defect,32x32,4,4,0.0005481839179992676,0.0,0.0,0.0,0.0005481839179992676,0.001863825321197509,0.0,0.0021927356719970703
A1_G,6,leather/test/color/006.png,1,clean_defect,32x32,4,0,,,,,,,,
A1_G,6,leather/test/color/006.png,1,boundary,32x32,4,4,0.0005481839179992676,0.0,0.0,0.0,0.0005481839179992676,0.001863825321197509,0.0,0.0021927356719970703
A1_G,7,leather/test/color/007.png,1,abnormal_normal,32x32,9,1014,0.010564562925220242,0.0007105782628059389,0.00370074063539505,0.008001923561096191,0.014466837048530579,0.029229182004928588,0.0,0.05754527449607849
A1_G,7,leather/test/color/007.png,1,defect,32x32,9,10,0.0009610384702682495,0.0,0.0,0.0001160353422164917,0.000667572021484375,0.004220703244209286,0.0,0.005779147148132324
A1_G,7,leather/test/color/007.png,1,clean_defect,32x32,9,1,0.0023159384727478027,0.0023159384727478027,0.0023159384727478027,0.0023159384727478027,0.0023159384727478027,0.0023159384727478027,0.0023159384727478027,0.0023159384727478027
A1_G,7,leather/test/color/007.png,1,boundary,32x32,9,9,0.0008104940255482992,0.0,0.0,0.0,0.0005896985530853271,0.003744900226593016,0.0,0.005779147148132324
A1_G,8,leather/test/color/008.png,1,abnormal_normal,32x32,11,1001,0.009865423093189845,0.0005628764629364014,0.003767848014831543,0.007792234420776367,0.013616353273391724,0.026056379079818726,0.0,0.05661994218826294
A1_G,8,leather/test/color/008.png,1,defect,32x32,11,23,0.012212819379308949,0.0014943242073059083,0.005805522203445435,0.01410481333732605,0.017260491847991943,0.021584370732307432,0.0,0.026184797286987305
A1_G,8,leather/test/color/008.png,1,clean_defect,32x32,11,12,0.01596893121798833,0.005608163774013519,0.014845572412014008,0.01610298454761505,0.019316934049129486,0.02378970384597778,0.001414865255355835,0.026184797286987305
A1_G,8,leather/test/color/008.png,1,boundary,32x32,11,11,0.00811524282802235,0.0011047273874282837,0.0032201558351516724,0.006165742874145508,0.012946203351020813,0.017534375190734863,0.0,0.018682539463043213
A1_G,9,leather/test/color/009.png,1,abnormal_normal,32x32,12,1007,0.010304395231495074,0.0007403224706649781,0.003410324454307556,0.007768392562866211,0.014606356620788574,0.027806377410888653,0.0,0.06445306539535522
A1_G,9,leather/test/color/009.png,1,defect,32x32,12,17,0.0012512785546919879,0.0,0.0,0.0,0.0,0.005871844291687,0.0,0.01857590675354004
A1_G,9,leather/test/color/009.png,1,clean_defect,32x32,12,5,0.000539165735244751,0.0,0.0,0.0,0.0,0.002156662940979003,0.0,0.002695828676223755
A1_G,9,leather/test/color/009.png,1,boundary,32x32,12,12,0.00154799222946167,0.0,0.0,0.0,0.0,0.008359158039093005,0.0,0.01857590675354004
A1_G,10,leather/test/color/010.png,1,abnormal_normal,32x32,5,1018,0.01054689296921953,0.0007316872477531434,0.00394720584154129,0.007703632116317749,0.01460566371679306,0.030194519460201262,0.0,0.067604660987854
A1_G,10,leather/test/color/010.png,1,defect,32x32,5,6,0.003776500622431437,0.0,0.0,0.0,0.0,0.016994252800941467,0.0,0.022659003734588623
