method,scope,image_index,sample_id,n_pairs,l_correct,j_correct,l_correct_j_wrong,l_wrong_j_correct,both_correct,both_wrong,l_tie,j_tie,l_correct_rate,j_correct_rate,l_correct_j_wrong_rate,l_wrong_j_correct_rate
A1,image,0,wood/test/color/000.png,3008,2950,2948,9,7,2941,51,0,0,0.980718085106383,0.9800531914893617,0.0029920212765957447,0.002327127659574468
A1,image,1,wood/test/color/001.png,4096,3956,3965,8,17,3948,123,0,0,0.9658203125,0.968017578125,0.001953125,0.004150390625
A1,image,2,wood/test/color/002.png,3712,3700,3700,0,0,3700,12,0,0,0.9967672413793104,0.9967672413793104,0.0,0.0
A1,image,3,wood/test/color/003.png,2304,2303,2303,0,0,2303,1,0,0,0.9995659722222222,0.9995659722222222,0.0,0.0
A1,image,4,wood/test/color/004.png,3456,3290,3273,20,3,3270,163,0,0,0.9519675925925926,0.9470486111111112,0.005787037037037037,0.0008680555555555555
A1,image,5,wood/test/color/005.png,2560,2513,2511,3,1,2510,46,0,0,0.981640625,0.980859375,0.001171875,0.000390625
A1,image,6,wood/test/color/006.png,4096,3968,3963,17,12,3951,116,0,0,0.96875,0.967529296875,0.004150390625,0.0029296875
A1,image,7,wood/test/color/007.png,3072,2947,2958,3,14,2944,111,0,0,0.9593098958333334,0.962890625,0.0009765625,0.004557291666666667
A1,image,8,wood/test/combined/000.png,4096,3742,3713,59,30,3683,324,0,0,0.91357421875,0.906494140625,0.014404296875,0.00732421875
A1,image,9,wood/test/combined/001.png,3008,2977,2980,1,4,2976,27,0,0,0.9896941489361702,0.9906914893617021,0.0003324468085106383,0.0013297872340425532
A1,image,10,wood/test/combined/002.png,2432,2203,2200,22,19,2181,210,0,0,0.9058388157894737,0.9046052631578947,0.009046052631578948,0.0078125
A1,image,11,wood/test/combined/003.png,4096,4038,4040,4,6,4034,52,0,0,0.98583984375,0.986328125,0.0009765625,0.00146484375
A1,image,12,wood/test/combined/004.png,4096,4085,4075,11,1,4074,10,0,0,0.997314453125,0.994873046875,0.002685546875,0.000244140625
A1,image,13,wood/test/combined/005.png,2752,2733,2731,3,1,2730,18,0,0,0.9930959302325582,0.9923691860465116,0.0010901162790697674,0.0003633720930232558
A1,image,14,wood/test/combined/006.png,4096,4066,4062,7,3,4059,27,0,0,0.99267578125,0.99169921875,0.001708984375,0.000732421875
A1,image,15,wood/test/combined/007.png,4096,3992,3987,19,14,3973,90,0,0,0.974609375,0.973388671875,0.004638671875,0.00341796875
A1,image,16,wood/test/combined/008.png,4096,4033,4029,7,3,4026,60,0,0,0.984619140625,0.983642578125,0.001708984375,0.000732421875
A1,image,17,wood/test/combined/009.png,2048,2045,2042,3,0,2042,3,0,0,0.99853515625,0.9970703125,0.00146484375,0.0
A1,image,18,wood/test/combined/010.png,4096,3981,3967,20,6,3961,109,0,0,0.971923828125,0.968505859375,0.0048828125,0.00146484375
A1,image,19,wood/test/good/000.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,20,wood/test/good/001.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,21,wood/test/good/002.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,22,wood/test/good/003.png,0,0,0,0,0,0,0,0,0,,,,
