method,image_index,sample_id,image_label,region,grid,boundary_count,patch_count,mean,p05,p25,median,p75,p95,min,max
A1_G,0,wood/test/color/000.png,1,abnormal_normal,32x32,29,977,0.012232209911365957,0.0013679385185241702,0.005450814962387085,0.010253310203552246,0.016621649265289307,0.0298838973045349,0.0,0.06507483124732971
A1_G,0,wood/test/color/000.png,1,defect,32x32,29,47,0.01747047203652402,0.004951760172843933,0.01019422709941864,0.016505539417266846,0.023279741406440735,0.03215607702732085,0.0031099319458007812,0.03956437110900879
A1_G,0,wood/test/color/000.png,1,clean_defect,32x32,29,18,0.01583961480193668,0.003775554895401001,0.009251244366168976,0.01530960202217102,0.02108706533908844,0.029721966385841368,0.0031099319458007812,0.03045654296875
A1_G,0,wood/test/color/000.png,1,boundary,32x32,29,29,0.018482728251095475,0.006481271982192994,0.010218709707260132,0.01905900239944458,0.02358749508857727,0.03588174581527709,0.004697978496551514,0.03956437110900879
A1_G,1,wood/test/color/001.png,1,abnormal_normal,32x32,23,957,0.012533585728771883,0.0017189860343933105,0.0060332417488098145,0.01121145486831665,0.017055511474609375,0.028226953744888306,0.0,0.06119811534881592
A1_G,1,wood/test/color/001.png,1,defect,32x32,23,67,0.020014463965572528,0.007078054547309876,0.014946401119232178,0.02095922827720642,0.02484777569770813,0.03265817761421203,0.0019093155860900879,0.038054466247558594
A1_G,1,wood/test/color/001.png,1,clean_defect,32x32,23,44,0.02070193060419776,0.01009805202484131,0.016074612736701965,0.021097585558891296,0.024995923042297363,0.03280041515827179,0.0019093155860900879,0.036284565925598145
A1_G,1,wood/test/color/001.png,1,boundary,32x32,23,23,0.018699310396028603,0.006496024131774902,0.011566221714019775,0.02053922414779663,0.023048028349876404,0.03157093822956085,0.005254030227661133,0.038054466247558594
A1_G,2,wood/test/color/002.png,1,abnormal_normal,32x32,18,966,0.012151117527213403,0.0011546015739440918,0.005350753664970398,0.009860947728157043,0.016057007014751434,0.031393878161907196,0.0,0.06142997741699219
A1_G,2,wood/test/color/002.png,1,defect,32x32,18,58,0.022819966077804565,0.012743276357650758,0.01812027394771576,0.022269457578659058,0.02712838351726532,0.03503862023353577,0.0008637905120849609,0.04419854283332825
A1_G,2,wood/test/color/002.png,1,clean_defect,32x32,18,40,0.02281300723552704,0.015947288274765013,0.017996370792388916,0.020707890391349792,0.026461072266101837,0.035021811723709106,0.010621994733810425,0.04419854283332825
A1_G,2,wood/test/color/002.png,1,boundary,32x32,18,18,0.022835430171754625,0.010358366370201112,0.01999633014202118,0.022605791687965393,0.027553454041481018,0.035226961970329276,0.0008637905120849609,0.03939199447631836
A1_G,3,wood/test/color/003.png,1,abnormal_normal,32x32,27,988,0.01148883162843071,0.0012577027082443237,0.005017504096031189,0.009704306721687317,0.01588473469018936,0.027923141419887536,0.0,0.0764566957950592
A1_G,3,wood/test/color/003.png,1,defect,32x32,27,36,0.013288515309492746,0.005922883749008179,0.008541904389858246,0.011910870671272278,0.016699373722076416,0.02622680366039276,0.003666907548904419,0.031121671199798584
A1_G,3,wood/test/color/003.png,1,clean_defect,32x32,27,9,0.01030581858423021,0.005546164512634277,0.00787210464477539,0.009259670972824097,0.011074036359786987,0.01715840697288513,0.005115628242492676,0.017225652933120728
A1_G,3,wood/test/color/003.png,1,boundary,32x32,27,27,0.014282747551246925,0.006303709745407104,0.00952903926372528,0.013318538665771484,0.017282620072364807,0.029001897573471064,0.003666907548904419,0.031121671199798584
A1_G,4,wood/test/color/004.png,1,abnormal_normal,32x32,22,970,0.011992031489450907,0.0012254133820533753,0.005342379212379456,0.009911924600601196,0.01625216007232666,0.03139476180076599,0.0,0.07848185300827026
A1_G,4,wood/test/color/004.png,1,defect,32x32,22,54,0.017239795790778265,0.004328688979148866,0.013467364013195038,0.01591537892818451,0.020554393529891968,0.032912594079971304,0.0008010268211364746,0.036278486251831055
A1_G,4,wood/test/color/004.png,1,clean_defect,32x32,22,32,0.017443371005356312,0.010106834769248962,0.015162467956542969,0.016216829419136047,0.018348634243011475,0.02893056571483612,0.005510807037353516,0.035168588161468506
A1_G,4,wood/test/color/004.png,1,boundary,32x32,22,22,0.016943686387755653,0.001776514947414398,0.008366122841835022,0.014413118362426758,0.0262954980134964,0.033751660585403444,0.0008010268211364746,0.036278486251831055
A1_G,5,wood/test/color/005.png,1,abnormal_normal,32x32,23,984,0.011946668378948196,0.0013733088970184328,0.005209080874919891,0.00992816686630249,0.017226777970790863,0.028389151394367203,0.0,0.061901986598968506
A1_G,5,wood/test/color/005.png,1,defect,32x32,23,40,0.015466321259737015,0.007156820595264435,0.010912992060184479,0.01510341465473175,0.019361697137355804,0.026318466663360594,0.002071768045425415,0.027671992778778076
A1_G,5,wood/test/color/005.png,1,clean_defect,32x32,23,17,0.014630398329566507,0.0031985342502593994,0.010378152132034302,0.015432387590408325,0.01843470335006714,0.022993505001068112,0.002071768045425415,0.027671992778778076
A1_G,5,wood/test/color/005.png,1,boundary,32x32,23,23,0.016084177338558693,0.007562506198883057,0.011691063642501831,0.01470896601676941,0.020265132188796997,0.026243618130683898,0.007350325584411621,0.026455610990524292
A1_G,6,wood/test/color/006.png,1,abnormal_normal,32x32,28,927,0.011348518192318007,0.0013545125722885132,0.005392968654632568,0.00959506630897522,0.015419647097587585,0.026937305927276608,0.0,0.059654295444488525
A1_G,6,wood/test/color/006.png,1,defect,32x32,28,97,0.016657509447373067,0.004584336280822754,0.01234087347984314,0.016879677772521973,0.021205365657806396,0.027318024635314943,0.00047707557678222656,0.036375850439071655
A1_G,6,wood/test/color/006.png,1,clean_defect,32x32,28,69,0.0181592905866927,0.009933441877365112,0.014589786529541016,0.018791675567626953,0.021832585334777832,0.02667696475982665,0.004173576831817627,0.036375850439071655
A1_G,6,wood/test/color/006.png,1,boundary,32x32,28,28,0.012956691639763969,0.0023060157895088197,0.006808944046497345,0.012994393706321716,0.016945689916610718,0.02699785232543945,0.00047707557678222656,0.03018474578857422
A1_G,7,wood/test/color/007.png,1,abnormal_normal,32x32,22,976,0.013313956283887879,0.0019255951046943665,0.006240956485271454,0.011721134185791016,0.018291659653186798,0.02995242178440094,0.0,0.08839979767799377
A1_G,7,wood/test/color/007.png,1,defect,32x32,22,48,0.01975800221165021,0.009433725476264953,0.014161750674247742,0.01943802833557129,0.02451188862323761,0.0312995970249176,0.008587807416915894,0.0394822359085083
A1_G,7,wood/test/color/007.png,1,clean_defect,32x32,22,26,0.01968939373126397,0.011271104216575623,0.014404296875,0.018385574221611023,0.023525089025497437,0.029296718537807465,0.00953558087348938,0.0394822359085083
A1_G,7,wood/test/color/007.png,1,boundary,32x32,22,22,0.019839084961197594,0.009365347027778626,0.014210119843482971,0.019912004470825195,0.026540428400039673,0.03187312483787536,0.008587807416915894,0.03215935826301575
A1_G,8,wood/test/combined/000.png,1,abnormal_normal,32x32,42,829,0.011816920287934086,0.002070099115371704,0.0056324005126953125,0.010558933019638062,0.01593920588493347,0.026172637939453118,0.0,0.08487889170646667
A1_G,8,wood/test/combined/000.png,1,defect,32x32,42,195,0.014054822157590817,0.0034010201692581178,0.008842065930366516,0.01288720965385437,0.017572298645973206,0.028270432353019705,0.0,0.0516180694103241
A1_G,8,wood/test/combined/000.png,1,clean_defect,32x32,42,153,0.014350094826392878,0.00354917049407959,0.009760886430740356,0.012998074293136597,0.01763179898262024,0.027855557203292847,0.0,0.0516180694103241
A1_G,8,wood/test/combined/000.png,1,boundary,32x32,42,42,0.012979186006954737,0.0034762382507324222,0.007093176245689392,0.011646315455436707,0.017084471881389618,0.030417796969413737,0.0025289058685302734,0.034955888986587524
A1_G,9,wood/test/combined/001.png,1,abnormal_normal,32x32,22,977,0.012158856573710056,0.0012490153312683105,0.005497932434082031,0.009796082973480225,0.016701966524124146,0.02970589995384216,0.0,0.060764968395233154
A1_G,9,wood/test/combined/001.png,1,defect,32x32,22,47,0.011956727251093438,0.00013745129108428962,0.004734635353088379,0.009046018123626709,0.015484094619750977,0.031159064173698407,0.0,0.037954509258270264
A1_G,9,wood/test/combined/001.png,1,clean_defect,32x32,22,25,0.011898752450942993,0.0019050061702728272,0.006430119276046753,0.00887066125869751,0.014671415090560913,0.02738415598869323,8.222460746765137e-05,0.0324569046497345
A1_G,9,wood/test/combined/001.png,1,boundary,32x32,22,22,0.012022607705809853,1.3315677642822278e-05,0.002073541283607483,0.009903386235237122,0.01576054096221924,0.03351676315069198,0.0,0.037954509258270264
A1_G,10,wood/test/combined/002.png,1,abnormal_normal,32x32,18,986,0.010881893200758263,0.0014649629592895508,0.005019262433052063,0.009473443031311035,0.015501081943511963,0.02586904913187027,0.0,0.04879480600357056
A1_G,10,wood/test/combined/002.png,1,defect,32x32,18,38,0.010675585583636635,0.0,0.005474865436553955,0.010359346866607666,0.015046045184135437,0.021391481161117554,0.0,0.027724891901016235
A1_G,10,wood/test/combined/002.png,1,clean_defect,32x32,18,20,0.01329728215932846,0.0002131059765815735,0.00998656451702118,0.01380234956741333,0.01741281896829605,0.021652773022651676,0.0,0.027724891901016235
A1_G,10,wood/test/combined/002.png,1,boundary,32x32,18,18,0.007762589388423496,0.0,0.00447545200586319,0.006775125861167908,0.010238274931907654,0.01610720604658126,0.0,0.02172181010246277
A1_G,11,wood/test/combined/003.png,1,abnormal_normal,32x32,26,958,0.011406408129007185,0.001602664589881897,0.005110211670398712,0.009257763624191284,0.015787407755851746,0.027358798682689665,0.0,0.07318365573883057
A1_G,11,wood/test/combined/003.png,1,defect,32x32,26,66,0.012542350725694136,0.0033374130725860596,0.007072165608406067,0.012034714221954346,0.01573878526687622,0.025040969252586365,0.0016905367374420166,0.02935260534286499
A1_G,11,wood/test/combined/003.png,1,clean_defect,32x32,26,40,0.011834345757961273,0.002904614806175232,0.005772411823272705,0.011565014719963074,0.015233203768730164,0.02304402738809585,0.0016905367374420166,0.027972012758255005
A1_G,11,wood/test/combined/003.png,1,boundary,32x32,26,26,0.013631589137590848,0.006307132542133331,0.009481921792030334,0.012489810585975647,0.01626579463481903,0.02557714283466339,0.0030438005924224854,0.02935260534286499
A1_G,12,wood/test/combined/004.png,1,abnormal_normal,32x32,17,938,0.013147008412682425,0.0015371143817901611,0.00582575798034668,0.010760188102722168,0.01786060631275177,0.032767981290817254,0.0,0.0710386335849762
A1_G,12,wood/test/combined/004.png,1,defect,32x32,17,86,0.010889790778936342,0.0005933418869972229,0.006091594696044922,0.010022789239883423,0.015426583588123322,0.022631950676441193,0.0,0.02898511290550232
A1_G,12,wood/test/combined/004.png,1,clean_defect,32x32,17,69,0.010397119798522064,0.00048623681068420436,0.005987048149108887,0.009311079978942871,0.015049517154693604,0.021927249431610094,0.0,0.02898511290550232
A1_G,12,wood/test/combined/004.png,1,boundary,32x32,17,17,0.012889455346500172,0.002051776647567749,0.009999871253967285,0.011262565851211548,0.01693543791770935,0.022196197509765623,0.00046893954277038574,0.022864222526550293
A1_G,13,wood/test/combined/005.png,1,abnormal_normal,32x32,37,981,0.012326470603758164,0.0013917088508605957,0.005404174327850342,0.01053839921951294,0.01730901002883911,0.028088688850402832,0.0,0.06546664237976074
A1_G,13,wood/test/combined/005.png,1,defect,32x32,37,43,0.01533161484917929,0.0047288000583648685,0.008080720901489258,0.013704806566238403,0.02149432897567749,0.028010216355323792,0.003132253885269165,0.035855263471603394
A1_G,13,wood/test/combined/005.png,1,clean_defect,32x32,37,6,0.00980350375175476,0.006355419754981995,0.006683066487312317,0.009088903665542603,0.011325448751449585,0.015150949358940125,0.006324648857116699,0.01636648178100586
A1_G,13,wood/test/combined/005.png,1,boundary,32x32,37,37,0.016228065297410294,0.004565823078155518,0.008939206600189209,0.015020698308944702,0.022621452808380127,0.028935760259628275,0.003132253885269165,0.035855263471603394
A1_G,14,wood/test/combined/006.png,1,abnormal_normal,32x32,33,904,0.013353759043775828,0.0018240943551063539,0.006372541189193726,0.01099635660648346,0.017819732427597046,0.032648999989032736,0.0,0.07832100987434387
A1_G,14,wood/test/combined/006.png,1,defect,32x32,33,120,0.012068617095549902,0.0019475996494293212,0.006443530321121216,0.011090278625488281,0.015412658452987671,0.02536638975143432,0.00028771162033081055,0.04566943645477295
A1_G,14,wood/test/combined/006.png,1,clean_defect,32x32,33,87,0.011336004597017136,0.0022736012935638426,0.006000250577926636,0.010562032461166382,0.014300897717475891,0.025155046582221986,0.00046393275260925293,0.04566943645477295
A1_G,14,wood/test/combined/006.png,1,boundary,32x32,33,33,0.014000050046227196,0.003867846727371216,0.009474515914916992,0.01262560486793518,0.017834961414337158,0.028598707914352414,0.00028771162033081055,0.03813788294792175
A1_G,15,wood/test/combined/007.png,1,abnormal_normal,32x32,34,931,0.012371093738988186,0.0018134266138076782,0.005858764052391052,0.010671794414520264,0.016647130250930786,0.028898432850837708,0.0,0.06354749202728271
A1_G,15,wood/test/combined/007.png,1,defect,32x32,34,93,0.01404727658917827,0.001875501871109009,0.010902553796768188,0.015050172805786133,0.01847463846206665,0.023672908544540402,0.0,0.02683284878730774
A1_G,15,wood/test/combined/007.png,1,clean_defect,32x32,34,59,0.014665622327287318,0.001970070600509644,0.01200510561466217,0.015342563390731812,0.018470078706741333,0.023588904738426206,0.0,0.0256195068359375
A1_G,15,wood/test/combined/007.png,1,boundary,32x32,34,34,0.012974264867165509,0.0018936946988105773,0.0077254921197891235,0.012026339769363403,0.01857699453830719,0.022553192079067225,7.238984107971191e-05,0.02683284878730774
A1_G,16,wood/test/combined/008.png,1,abnormal_normal,32x32,40,939,0.011301714772233566,0.0011292785406112672,0.004588380455970764,0.009214431047439575,0.015626713633537292,0.028668025135993952,0.0,0.0570354163646698
A1_G,16,wood/test/combined/008.png,1,defect,32x32,40,85,0.016750705943388098,0.006119817495346069,0.014117181301116943,0.01647108793258667,0.019573479890823364,0.027973455190658567,0.002296268939971924,0.03411117196083069
A1_G,16,wood/test/combined/008.png,1,clean_defect,32x32,40,45,0.017363602585262723,0.009037673473358154,0.014618545770645142,0.016990065574645996,0.01951196789741516,0.02678480744361877,0.0035875439643859863,0.03411117196083069
A1_G,16,wood/test/combined/008.png,1,boundary,32x32,40,40,0.016061197221279144,0.004743359982967377,0.013165339827537537,0.015916436910629272,0.019660837948322296,0.029385182261466976,0.002296268939971924,0.032076120376586914
A1_G,17,wood/test/combined/009.png,1,abnormal_normal,32x32,10,992,0.011654940313629566,0.0011150866746902465,0.004756473004817963,0.009398996829986572,0.016065284609794617,0.029894216358661622,0.0,0.05283159017562866
A1_G,17,wood/test/combined/009.png,1,defect,32x32,10,32,0.00991356186568737,0.0018877968192100524,0.005261719226837158,0.010131597518920898,0.013591140508651733,0.016371412575244902,0.0012296438217163086,0.017584949731826782
A1_G,17,wood/test/combined/009.png,1,clean_defect,32x32,10,22,0.009507459673014555,0.00216379314661026,0.0041708871722221375,0.010265633463859558,0.013445466756820679,0.015939293801784514,0.0012296438217163086,0.016762524843215942
A1_G,17,wood/test/combined/009.png,1,boundary,32x32,10,10,0.010806986689567566,0.004608540236949921,0.009027525782585144,0.009945154190063477,0.013583473861217499,0.016894857585430145,0.0016407966613769531,0.017584949731826782
A1_G,18,wood/test/combined/010.png,1,abnormal_normal,32x32,45,904,0.013571425580081687,0.0015958249568939218,0.006002791225910187,0.011399775743484497,0.018406249582767487,0.034116682410240164,0.0,0.07351255416870117
A1_G,18,wood/test/combined/010.png,1,defect,32x32,45,120,0.014392991860707601,0.002955998480319977,0.008264191448688507,0.013926491141319275,0.019859351217746735,0.025607946515083312,0.0,0.03460419178009033
A1_G,18,wood/test/combined/010.png,1,clean_defect,32x32,45,75,0.015309454202651977,0.001583811640739441,0.009782940149307251,0.014901936054229736,0.02144494652748108,0.026606205105781548,0.0,0.03228181600570679
A1_G,18,wood/test/combined/010.png,1,boundary,32x32,45,45,0.01286555462413364,0.004195177555084228,0.006952911615371704,0.013013303279876709,0.017686069011688232,0.02244208455085754,0.0010209083557128906,0.03460419178009033
A1_G,19,wood/test/good/000.png,0,normal_image,32x32,0,1024,0.011724636860890314,0.000998450815677643,0.005354635417461395,0.00981166958808899,0.015705183148384094,0.028430862724781025,0.0,0.06455188989639282
A1_G,20,wood/test/good/001.png,0,normal_image,32x32,0,1024,0.012607616139575839,0.0011751234531402587,0.0051055848598480225,0.010167628526687622,0.017356663942337036,0.032305543124675734,0.0,0.06032469868659973
A1_G,21,wood/test/good/002.png,0,normal_image,32x32,0,1024,0.01212354950257577,0.000995829701423645,0.004833035171031952,0.009958162903785706,0.017069511115550995,0.03115017116069793,0.0,0.0786823034286499
A1_G,22,wood/test/good/003.png,0,normal_image,32x32,0,1024,0.01262786189909093,0.0013154968619346619,0.005003876984119415,0.009969621896743774,0.017135240137577057,0.03573764711618413,0.0,0.07025954127311707
A1_G,23,wood/test/good/004.png,0,normal_image,32x32,0,1024,0.012441850733011961,0.0009060785174369813,0.005085021257400513,0.00994718074798584,0.0170784592628479,0.03234177678823471,0.0,0.0777544379234314
A1_G,24,wood/test/good/005.png,0,normal_image,32x32,0,1024,0.012262394971912727,0.0010708391666412354,0.0050154924392700195,0.009400710463523865,0.01673993468284607,0.03291745036840436,0.0,0.12674498558044434
A1_G,25,wood/test/good/006.png,0,normal_image,32x32,0,1024,0.011850021517602727,0.0012517631053924562,0.005213536322116852,0.00935305655002594,0.016261130571365356,0.029200829565525048,0.0,0.11921316385269165
A1_G,26,wood/test/good/007.png,0,normal_image,32x32,0,1024,0.012340297747869045,0.001571701467037201,0.005627535283565521,0.010338440537452698,0.016300402581691742,0.029303780198097228,0.0,0.1226990818977356
A1_G,27,wood/test/good/008.png,0,normal_image,32x32,0,1024,0.011944195779506117,0.0006907939910888674,0.00447450578212738,0.009607568383216858,0.016527950763702393,0.030785912275314315,0.0,0.06175339221954346
A1_G,28,wood/test/good/009.png,0,normal_image,32x32,0,1024,0.011850283859530464,0.0008433282375335695,0.0050255656242370605,0.009362727403640747,0.016256019473075867,0.030396771430969218,0.0,0.10417741537094116
A1_G,29,wood/test/good/010.png,0,normal_image,32x32,0,1024,0.012273860804270953,0.001289239525794983,0.005234487354755402,0.010169148445129395,0.016690149903297424,0.030857685208320617,0.0,0.07177561521530151
A1_G,30,wood/test/good/011.png,0,normal_image,32x32,0,1024,0.011849309812532738,0.0011700034141540528,0.004827186465263367,0.009676545858383179,0.01617937535047531,0.02830357253551483,0.0,0.0807299017906189
