method,pixel_auroc,pixel_ap,image_auroc,image_ap,image_f1_max
B,0.9878817162012602,0.31301591853662425,1.0,1.0000000000000002,1.0
S,0.9902111764881903,0.3441714633711032,1.0,1.0000000000000002,1.0
C,0.9877158267695385,0.205886971449837,1.0,1.0000000000000002,1.0
A1_J,0.9889342918790626,0.27561766146379335,1.0,1.0000000000000002,1.0
TRI_J,0.9901107568452409,0.29875157296486404,1.0,1.0000000000000002,1.0
BAL_J,0.990074834215191,0.27354104141879604,1.0,1.0000000000000002,1.0
DUP_J,0.9886559866195374,0.2964497898548599,1.0,1.0000000000000002,1.0
DUP_BAL_J,0.9889342918790626,0.27561766146379335,1.0,1.0000000000000002,1.0
DUP_EXPECTED_J,0.9886559866195374,0.2964497898548599,1.0,1.0000000000000002,1.0
A1_L,0.9892803083607741,0.28642670077467486,1.0,1.0000000000000002,1.0
DUP_L,0.9889306701836179,0.30377890536829066,1.0,1.0000000000000002,1.0
TRI_L,0.990277411935667,0.31650717033043896,1.0,1.0000000000000002,1.0
BAL_L,0.9902414685419912,0.28929891794442514,1.0,1.0000000000000002,1.0
