config,base,permuted_branch,permutation_index,mean_delta,mean_abs_delta,max_abs_delta,frac_changed_gt_1e-6,defect_mean_abs_delta,defect_mean_delta,defect_n_patches,normal_mean_abs_delta,normal_mean_delta,normal_n_patches
A1_J__perm_C_cross_p00,A1_J,C_cross,00,-0.0018591220723465085,0.007854889146983624,0.10403499007225037,0.9998763844936709,0.010720781981945038,-0.0058219763450324535,4970,0.00766729237511754,-0.0015997197479009628,75926
A1_J__perm_C_within_p00,A1_J,C_within,00,-0.0045824116095900536,0.008951342664659023,0.08844763040542603,0.9996291534810127,0.012994660995900631,-0.010074825957417488,4970,0.008686673827469349,-0.004222886171191931,75926
A1_J__perm_C_within_p01,A1_J,C_within,01,-0.0048018270172178745,0.009186593815684319,0.12433367967605591,0.9991964992088608,0.0119711235165596,-0.008327429182827473,4970,0.009004322811961174,-0.0045710462145507336,75926
A1_J__perm_C_within_p02,A1_J,C_within,02,-0.00463608093559742,0.008993778377771378,0.12421461939811707,0.9996044303797469,0.012408404611051083,-0.009185099974274635,4970,0.008770261891186237,-0.004338309168815613,75926
BAL_J__perm_C_cross_p00,BAL_J,C_cross,00,-0.002180173760280013,0.0071489992551505566,0.07317303121089935,0.9999011075949367,0.010025328025221825,-0.0060303607024252415,4970,0.006960719358175993,-0.0019281465793028474,75926
BAL_J__perm_C_within_p00,BAL_J,C_within,00,-0.004446870647370815,0.008176680654287338,0.09593059122562408,0.9993448378164557,0.011466697789728642,-0.008513239212334156,4970,0.007961321622133255,-0.004180692136287689,75926
BAL_J__perm_C_within_p01,BAL_J,C_within,01,-0.004668091889470816,0.008334082551300526,0.08983409404754639,0.9991223299050633,0.010797698982059956,-0.007469476666301489,4970,0.008172818459570408,-0.0044847168028354645,75926
BAL_J__perm_C_within_p02,BAL_J,C_within,02,-0.004590292926877737,0.008318498730659485,0.10349652171134949,0.9996785996835443,0.011494891718029976,-0.008785257115960121,4970,0.008110576309263706,-0.004315696656703949,75926
BAL_J__perm_S_cross_p00,BAL_J,S_cross,00,-0.010954783298075199,0.012752637267112732,0.18502387404441833,0.9999011075949367,0.013239845633506775,-0.010592431761324406,4970,0.0127207450568676,-0.010978502221405506,75926
BAL_J__perm_S_within_p00,BAL_J,S_within,00,-0.024618636816740036,0.024898407980799675,0.20290422439575195,0.9993201147151899,0.019827671349048615,-0.018728429451584816,4970,0.02523033320903778,-0.025004204362630844,75926
BAL_J__perm_S_within_p01,BAL_J,S_within,01,-0.025053227320313454,0.025283116847276688,0.20439140498638153,0.9990110759493671,0.018290121108293533,-0.017708344385027885,4970,0.025740869343280792,-0.0255340114235878,75926
BAL_J__perm_S_within_p02,BAL_J,S_within,02,-0.024737998843193054,0.0249693114310503,0.19436369836330414,0.9996538765822784,0.018881045281887054,-0.01839747093617916,4970,0.025367842987179756,-0.02515304647386074,75926
TRI_J__perm_C_cross_p00,TRI_J,C_cross,00,-0.001718855113722384,0.006804790813475847,0.07760520279407501,0.9999011075949367,0.008033170364797115,-0.004322834312915802,4970,0.006724383216351271,-0.001548402477055788,75926
TRI_J__perm_C_within_p00,TRI_J,C_within,00,-0.0034614885225892067,0.007715066894888878,0.07810118794441223,0.999295391613924,0.009366887621581554,-0.006507371552288532,4970,0.007606941275298595,-0.003262109588831663,75926
TRI_J__perm_C_within_p01,TRI_J,C_within,01,-0.003765113651752472,0.007954122498631477,0.08819472789764404,0.9992459454113924,0.009073499590158463,-0.005862292367964983,4970,0.00788084976375103,-0.0036278353072702885,75926
TRI_J__perm_C_within_p02,TRI_J,C_within,02,-0.0036271591670811176,0.007861134596168995,0.08797816187143326,0.999579707278481,0.00963506381958723,-0.0070503586903214455,4970,0.007745016366243362,-0.0034030817914754152,75926
TRI_J__perm_S_cross_p00,TRI_J,S_cross,00,-0.014148449525237083,0.016361795365810394,0.24000537395477295,0.9999011075949367,0.016454143449664116,-0.013409169390797615,4970,0.01635574921965599,-0.014196841977536678,75926
TRI_J__perm_S_within_p00,TRI_J,S_within,00,-0.031488001346588135,0.03180289641022682,0.2662722170352936,0.9992583069620253,0.024145210161805153,-0.02296096459031105,4970,0.032304152846336365,-0.03204617276787758,75926
TRI_J__perm_S_within_p01,TRI_J,S_within,01,-0.0322205014526844,0.0324593149125576,0.2633591294288635,0.9991223299050633,0.022929826751351357,-0.022395703941583633,4970,0.033083103597164154,-0.03286362066864967,75926
TRI_J__perm_S_within_p02,TRI_J,S_within,02,-0.03156895935535431,0.03182920813560486,0.2591516077518463,0.9995426226265823,0.02348347008228302,-0.022880662232637405,4970,0.032375503331422806,-0.032137680798769,75926
