config,base,permuted_branch,permutation_index,mean_delta,mean_abs_delta,max_abs_delta,frac_changed_gt_1e-6,defect_mean_abs_delta,defect_mean_delta,defect_n_patches,normal_mean_abs_delta,normal_mean_delta,normal_n_patches
A1_J__perm_C_cross_p00,A1_J,C_cross,00,-0.0011678582523018122,0.00563476188108325,0.15403306484222412,0.9997928503787878,0.012903429567813873,-0.005900212563574314,2388,0.005504037719219923,-0.0010827486403286457,132780
A1_J__perm_C_cross_p01,A1_J,C_cross,01,-0.0013922175858169794,0.0058153243735432625,0.17184394598007202,0.9998298413825758,0.016624296084046364,-0.00992801133543253,2388,0.005620929412543774,-0.001238704309798777,132780
A1_J__perm_C_cross_p02,A1_J,C_cross,02,-0.0012945017078891397,0.005708963610231876,0.16261547803878784,0.9997854521780303,0.015333546325564384,-0.009265599772334099,2388,0.0055358693934977055,-0.0011511445045471191,132780
A1_J__perm_C_within_p00,A1_J,C_within,00,-0.017777185887098312,0.019239138811826706,0.19708359241485596,0.9984537760416666,0.03324364870786667,-0.030835257843136787,2388,0.018987273797392845,-0.017542343586683273,132780
A1_J__perm_C_within_p01,A1_J,C_within,01,-0.01785084791481495,0.019258534535765648,0.1777370274066925,0.9987866950757576,0.035247139632701874,-0.03268331661820412,2388,0.01897098496556282,-0.01758408732712269,132780
A1_J__perm_C_within_p02,A1_J,C_within,02,-0.017441827803850174,0.01889350451529026,0.1686524748802185,0.9990456321022727,0.032232195138931274,-0.02999541163444519,2388,0.018653610721230507,-0.01721605472266674,132780
BAL_J__perm_C_cross_p00,BAL_J,C_cross,00,-0.0011802541557699442,0.005242038518190384,0.15240128338336945,0.9997632575757576,0.011904075741767883,-0.0058605908416211605,2388,0.00512222433462739,-0.0010960801737383008,132780
BAL_J__perm_C_cross_p01,BAL_J,C_cross,01,-0.0014187198830768466,0.0054358020424842834,0.1803259402513504,0.9997484611742424,0.016743376851081848,-0.010954114608466625,2388,0.005232439376413822,-0.0012472294038161635,132780
BAL_J__perm_C_cross_p02,BAL_J,C_cross,02,-0.0013240186963230371,0.005323505029082298,0.17332108318805695,0.9996966737689394,0.015299948863685131,-0.01010217983275652,2388,0.005144082009792328,-0.0011661467142403126,132780
BAL_J__perm_C_within_p00,BAL_J,C_within,00,-0.016962748020887375,0.018251687288284302,0.19180314242839813,0.9983280066287878,0.03198525682091713,-0.029767131432890892,2388,0.01800469122827053,-0.016732463613152504,132780
BAL_J__perm_C_within_p01,BAL_J,C_within,01,-0.016936657950282097,0.018172023817896843,0.1855740249156952,0.9987349076704546,0.033659111708402634,-0.031572554260492325,2388,0.01789349503815174,-0.016673434525728226,132780
BAL_J__perm_C_within_p02,BAL_J,C_within,02,-0.01662810891866684,0.017887212336063385,0.1624559909105301,0.999215790719697,0.031102286651730537,-0.02906505949795246,2388,0.017649544402956963,-0.01640443317592144,132780
BAL_J__perm_S_cross_p00,BAL_J,S_cross,00,-0.007186875678598881,0.008809490129351616,0.14333242177963257,0.9998224431818182,0.016914453357458115,-0.015138453803956509,2388,0.008663725107908249,-0.007043869234621525,132780
