method,pixel_auroc,pixel_ap,image_auroc,image_ap,image_f1_max
B,0.9253810628311411,0.5734173246233222,0.9626295690125477,0.9934898542203872,0.958041958041958
S,0.9654470157313991,0.6647930225164398,0.9361702127659575,0.9857162373342028,0.9655172413793103
C,0.9714765411327123,0.658219575270202,0.9274413529732679,0.9812635387560208,0.9547038327526133
A1_J,0.9498615207582964,0.648077705398718,0.9599018003273322,0.9929411857559439,0.96028880866426
TRI_J,0.9547525952621265,0.6630693332621019,0.9661756683033279,0.9938270250190542,0.9681978798586572
BAL_J,0.959282405593898,0.6829393658136704,0.9716312056737587,0.9948107424676437,0.972027972027972
DUP_J,0.9421830963483655,0.6210810004441197,0.9615384615384615,0.9933041794354729,0.9534050179211468
DUP_BAL_J,0.9498615207582964,0.648077705398718,0.9599018003273322,0.9929411857559439,0.96028880866426
DUP_EXPECTED_J,0.9421830963483655,0.6210810004441197,0.9615384615384615,0.9933041794354729,0.9534050179211468
A1_L,0.9564101941171181,0.6582776806391264,0.9789961811238407,0.9963463339848828,0.9688581314878892
DUP_L,0.9453896062199163,0.6256274466298117,0.9743589743589743,0.995580870825397,0.965034965034965
TRI_L,0.9634583197208909,0.6760181581641036,0.9724495362793235,0.9948152629859222,0.972027972027972
BAL_L,0.9696460405893803,0.6990170511253422,0.9776322967812329,0.9955815228447564,0.9788732394366197
