method,pixel_auroc,pixel_ap,image_auroc,image_ap,image_f1_max
B,0.9918908543776073,0.5416953397807773,1.0,0.9999999999999999,1.0
S,0.9939400938879003,0.6559145626676567,0.9666666666666667,0.9860062148298152,0.967741935483871
C,0.9890626170368184,0.6465523844630914,0.9361111111111111,0.9753633863904535,0.9206349206349207
A1_J,0.9938710600766646,0.6315383157631436,0.9944444444444445,0.9979166666666667,0.983050847457627
TRI_J,0.9945899552446128,0.6687718627035468,1.0,0.9999999999999999,1.0
BAL_J,0.9947409777292502,0.6819075572866903,0.9972222222222222,0.9989247311827957,0.9836065573770492
DUP_J,0.9933321546798581,0.6006032084122319,1.0,0.9999999999999999,1.0
DUP_BAL_J,0.9938710600766646,0.6315383157631436,0.9944444444444445,0.9979166666666667,0.983050847457627
DUP_EXPECTED_J,0.9933321546798581,0.6006032084122319,1.0,0.9999999999999999,1.0
A1_L,0.9941484643536806,0.6548748241877185,0.9944444444444445,0.9979166666666667,0.983050847457627
DUP_L,0.9934294618355876,0.6103244938988228,1.0,0.9999999999999999,1.0
TRI_L,0.9948198589993416,0.6839956516785395,0.9916666666666667,0.9968055555555555,0.967741935483871
BAL_L,0.9951263321621062,0.7085123719346954,0.9888888888888889,0.9956561302681992,0.967741935483871
