method,pixel_auroc,pixel_ap,image_auroc,image_ap,image_f1_max
B,0.9402849390013086,0.4031685066377326,0.990546218487395,0.9974643328556796,0.979253112033195
S,0.9351422319351341,0.447216336370953,0.9915966386554622,0.9979435062983413,0.9829059829059829
C,0.9448545471393324,0.43414494099671114,0.9422268907563025,0.9846949660737483,0.9344262295081968
A1_J,0.9449104324625338,0.44934133306290647,0.9910714285714286,0.997697830337354,0.9790794979079498
TRI_J,0.9413453510654451,0.4569738382571439,0.9913340336134454,0.9979859401666713,0.9915966386554622
BAL_J,0.9439603437573518,0.46897866138327343,0.993172268907563,0.998248519746857,0.9833333333333334
DUP_J,0.9424385982508185,0.43340750263199207,0.990546218487395,0.9975794594004412,0.979253112033195
DUP_BAL_J,0.9449104324625338,0.44934133306290647,0.9910714285714286,0.997697830337354,0.9790794979079498
DUP_EXPECTED_J,0.9424385982508185,0.43340750263199207,0.990546218487395,0.9975794594004412,0.979253112033195
A1_L,0.9508290692979632,0.4494088687267582,0.990546218487395,0.9975414409802656,0.979253112033195
DUP_L,0.9463069077245625,0.4314955388554615,0.9902836134453782,0.9974435794091827,0.979253112033195
TRI_L,0.9496506024545643,0.4632497616490238,0.9900210084033614,0.997650236220919,0.9873417721518987
BAL_L,0.9541413598338221,0.47751863470333794,0.9902836134453782,0.9977185280004407,0.9874476987447698
