config,base,permuted_branch,permutation_index,mean_delta,mean_abs_delta,max_abs_delta,frac_changed_gt_1e-6,defect_mean_abs_delta,defect_mean_delta,defect_n_patches,normal_mean_abs_delta,normal_mean_delta,normal_n_patches
A1_J__perm_C_cross_p00,A1_J,C_cross,00,-0.0014232853427529335,0.005132260266691446,0.1629582643508911,0.7967171126497006,0.008074789308011532,-0.002171535277739167,7644,0.004994576796889305,-0.0013882737839594483,163364
A1_J__perm_C_cross_p01,A1_J,C_cross,01,-0.002625070046633482,0.007165994495153427,0.12613630294799805,0.9997836358532934,0.012498021125793457,-0.005026660393923521,7644,0.006916502024978399,-0.0025126966647803783,163364
A1_J__perm_C_cross_p02,A1_J,C_cross,02,-0.0019949153065681458,0.0060928198508918285,0.11876147985458374,0.8893911395958084,0.011738787405192852,-0.00556138576939702,7644,0.0058286371640861034,-0.001828035688959062,163364
A1_J__perm_C_within_p00,A1_J,C_within,00,-0.015619492158293724,0.017282426357269287,0.17067617177963257,0.9989181792664671,0.02305884100496769,-0.01734347641468048,7644,0.01701214164495468,-0.015538826584815979,163364
A1_J__perm_C_within_p01,A1_J,C_within,01,-0.015174509957432747,0.01682201772928238,0.17152222990989685,0.9985965568862275,0.022230511531233788,-0.01748279109597206,7644,0.016568947583436966,-0.015066501684486866,163364
A1_J__perm_C_within_p02,A1_J,C_within,02,-0.015071521513164043,0.016768375411629677,0.18155181407928467,0.9987018151197605,0.02216852456331253,-0.016500351950526237,7644,0.016515694558620453,-0.015004662796854973,163364
BAL_J__perm_C_cross_p00,BAL_J,C_cross,00,-0.0015019670827314258,0.00484894635155797,0.13320551812648773,0.797290185254491,0.0075828917324543,-0.0027471259236335754,7644,0.004721021745353937,-0.0014437045902013779,163364
BAL_J__perm_C_cross_p01,BAL_J,C_cross,01,-0.0026189875788986683,0.00677473796531558,0.12613631784915924,0.9998304172904192,0.011834798380732536,-0.00554141728207469,7644,0.006537971086800098,-0.0024822435807436705,163364
BAL_J__perm_C_cross_p02,BAL_J,C_cross,02,-0.0019795834086835384,0.00568164000287652,0.11806270480155945,0.8853620883233533,0.010898459702730179,-0.005745440721511841,7644,0.005437538493424654,-0.0018033741507679224,163364
BAL_J__perm_C_within_p00,BAL_J,C_within,00,-0.015256213955581188,0.01670629344880581,0.17067617177963257,0.9990994573353293,0.0223205778747797,-0.01744583062827587,7644,0.016443593427538872,-0.015153758227825165,163364
BAL_J__perm_C_within_p01,BAL_J,C_within,01,-0.014718928374350071,0.016169238835573196,0.16974908113479614,0.9985322324101796,0.02112136222422123,-0.016815682873129845,7644,0.015937522053718567,-0.014620818197727203,163364
BAL_J__perm_C_within_p02,BAL_J,C_within,02,-0.014680742286145687,0.016156097874045372,0.13955171406269073,0.9985848615269461,0.021579496562480927,-0.016571927815675735,7644,0.015902329236268997,-0.014592250809073448,163364
BAL_J__perm_S_cross_p00,BAL_J,S_cross,00,-0.005130823701620102,0.00617127725854516,0.12924063205718994,0.761905875748503,0.010087945498526096,-0.008658470585942268,7644,0.005988011602312326,-0.004965760745108128,163364
BAL_J__perm_S_cross_p01,BAL_J,S_cross,01,-0.008954156190156937,0.010335801169276237,0.17318721115589142,0.9998713510479041,0.0163145512342453,-0.01454996783286333,7644,0.01005604863166809,-0.008692321367561817,163364
BAL_J__perm_S_cross_p02,BAL_J,S_cross,02,-0.006396755576133728,0.007705053314566612,0.18921701610088348,0.8661115269461078,0.014589941129088402,-0.012671076692640781,7644,0.007382899988442659,-0.006103172432631254,163364
BAL_J__perm_S_within_p00,BAL_J,S_within,00,-0.04120081290602684,0.04125839099287987,0.20797458291053772,0.999064371257485,0.03878023102879524,-0.03847115859389305,7644,0.04137434810400009,-0.04132853448390961,163364
BAL_J__perm_S_within_p01,BAL_J,S_within,01,-0.039683640003204346,0.039742834866046906,0.19706691801548004,0.9984679079341318,0.03990962356328964,-0.03953886032104492,7644,0.03973503038287163,-0.03969041630625725,163364
BAL_J__perm_S_within_p02,BAL_J,S_within,02,-0.04165199398994446,0.041710082441568375,0.19306066632270813,0.9984971463323353,0.038690146058797836,-0.03839253634214401,7644,0.04185139015316963,-0.04180449992418289,163364
TRI_J__perm_C_cross_p00,TRI_J,C_cross,00,-0.001409206772223115,0.004741948563605547,0.12175820767879486,0.7912729229041916,0.007342129480093718,-0.002492994535714388,7644,0.004620281979441643,-0.001358495093882084,163364
TRI_J__perm_C_cross_p01,TRI_J,C_cross,01,-0.0024232896976172924,0.006556508596986532,0.11236020922660828,0.999771940494012,0.011006219312548637,-0.004546441603451967,7644,0.0063483016565442085,-0.0023239445872604847,163364
TRI_J__perm_C_cross_p02,TRI_J,C_cross,02,-0.0018775473581627011,0.005523288156837225,0.11383640766143799,0.8794325411676647,0.010164489038288593,-0.0049193138256669044,7644,0.005306120030581951,-0.0017352193826809525,163364
TRI_J__perm_C_within_p00,TRI_J,C_within,00,-0.013940969482064247,0.01572372019290924,0.16211430728435516,0.998982503742515,0.02139419876039028,-0.014998559840023518,7644,0.015458389185369015,-0.013891483657062054,163364
TRI_J__perm_C_within_p01,TRI_J,C_within,01,-0.013467933051288128,0.015240599401295185,0.15398544073104858,0.9985088416916168,0.020383749157190323,-0.01441785879433155,7644,0.014999942854046822,-0.013423483818769455,163364
TRI_J__perm_C_within_p02,TRI_J,C_within,02,-0.01338381227105856,0.015200350433588028,0.14101140201091766,0.9985965568862275,0.020633194595575333,-0.01388466078788042,7644,0.014946144074201584,-0.01336037740111351,163364
TRI_J__perm_S_cross_p00,TRI_J,S_cross,00,-0.006366369780153036,0.007559036836028099,0.16406598687171936,0.7648004771706587,0.012799937278032303,-0.011292829178273678,7644,0.007313808426260948,-0.006135854404419661,163364
TRI_J__perm_S_cross_p01,TRI_J,S_cross,01,-0.011267564259469509,0.012824478559195995,0.21133004128932953,0.9999064371257484,0.02107609435915947,-0.019272468984127045,7644,0.012438375502824783,-0.010893006809055805,163364
TRI_J__perm_S_cross_p02,TRI_J,S_cross,02,-0.007983013056218624,0.009480753913521767,0.17040790617465973,0.8646203686377245,0.01877354085445404,-0.016692781820893288,7644,0.009045932441949844,-0.007575472816824913,163364
TRI_J__perm_S_within_p00,TRI_J,S_within,00,-0.050856173038482666,0.05091707035899162,0.26584941148757935,0.9989766560628742,0.04862092435359955,-0.048298537731170654,7644,0.05102451890707016,-0.050975847989320755,163364
TRI_J__perm_S_within_p01,TRI_J,S_within,01,-0.04914087802171707,0.049204301089048386,0.2536909878253937,0.9984445172155688,0.04984375089406967,-0.04945378378033638,7644,0.04917438328266144,-0.04912623018026352,163364
TRI_J__perm_S_within_p02,TRI_J,S_within,02,-0.05175846815109253,0.05181993916630745,0.25741419196128845,0.9985263847305389,0.048493221402168274,-0.04821143299341202,7644,0.05197559669613838,-0.051924437284469604,163364
