method,scope,image_index,sample_id,n_pairs,l_correct,j_correct,l_correct_j_wrong,l_wrong_j_correct,both_correct,both_wrong,l_tie,j_tie,l_correct_rate,j_correct_rate,l_correct_j_wrong_rate,l_wrong_j_correct_rate
A1,image,0,toothbrush/test/defective/000.png,2752,2723,2712,14,3,2709,26,0,0,0.9894622093023255,0.9854651162790697,0.005087209302325582,0.0010901162790697674
A1,image,1,toothbrush/test/defective/001.png,896,882,881,3,2,879,12,0,0,0.984375,0.9832589285714286,0.0033482142857142855,0.002232142857142857
A1,image,2,toothbrush/test/defective/002.png,2112,2068,2060,15,7,2053,37,0,0,0.9791666666666666,0.9753787878787878,0.007102272727272727,0.0033143939393939395
A1,image,3,toothbrush/test/defective/003.png,1344,1326,1322,8,4,1318,14,0,0,0.9866071428571429,0.9836309523809523,0.005952380952380952,0.002976190476190476
A1,image,4,toothbrush/test/defective/004.png,896,875,877,1,3,874,18,0,0,0.9765625,0.9787946428571429,0.0011160714285714285,0.0033482142857142855
A1,image,5,toothbrush/test/defective/005.png,4096,4023,4017,13,7,4010,66,0,0,0.982177734375,0.980712890625,0.003173828125,0.001708984375
A1,image,6,toothbrush/test/defective/006.png,2176,2138,2145,6,13,2132,25,0,0,0.9825367647058824,0.9857536764705882,0.0027573529411764708,0.0059742647058823525
A1,image,7,toothbrush/test/defective/007.png,832,820,823,1,4,819,8,0,0,0.9855769230769231,0.9891826923076923,0.001201923076923077,0.004807692307692308
A1,image,8,toothbrush/test/defective/008.png,4096,4021,3996,38,13,3983,62,0,0,0.981689453125,0.9755859375,0.00927734375,0.003173828125
A1,image,9,toothbrush/test/defective/009.png,1408,1387,1382,7,2,1380,19,0,0,0.9850852272727273,0.9815340909090909,0.004971590909090909,0.0014204545454545455
A1,image,10,toothbrush/test/defective/010.png,4096,4078,4069,10,1,4068,17,0,0,0.99560546875,0.993408203125,0.00244140625,0.000244140625
A1,image,11,toothbrush/test/defective/011.png,704,702,702,0,0,702,2,0,0,0.9971590909090909,0.9971590909090909,0.0,0.0
A1,image,12,toothbrush/test/defective/012.png,3072,2991,2993,12,14,2979,67,0,0,0.9736328125,0.9742838541666666,0.00390625,0.004557291666666667
A1,image,13,toothbrush/test/defective/013.png,1152,1109,1098,13,2,1096,41,0,0,0.9626736111111112,0.953125,0.011284722222222222,0.001736111111111111
A1,image,14,toothbrush/test/defective/014.png,4096,3961,3944,27,10,3934,125,0,0,0.967041015625,0.962890625,0.006591796875,0.00244140625
A1,image,15,toothbrush/test/defective/015.png,2496,2416,2407,28,19,2388,61,0,0,0.967948717948718,0.9643429487179487,0.011217948717948718,0.007612179487179487
A1,image,16,toothbrush/test/defective/016.png,1984,1934,1941,6,13,1928,37,0,0,0.9747983870967742,0.9783266129032258,0.0030241935483870967,0.00655241935483871
A1,image,17,toothbrush/test/defective/017.png,3712,3686,3684,5,3,3681,23,0,0,0.9929956896551724,0.9924568965517241,0.0013469827586206897,0.0008081896551724138
A1,image,18,toothbrush/test/defective/018.png,640,619,616,5,2,614,19,0,0,0.9671875,0.9625,0.0078125,0.003125
A1,image,19,toothbrush/test/defective/019.png,3904,3808,3788,40,20,3768,76,0,0,0.9754098360655737,0.9702868852459017,0.010245901639344262,0.005122950819672131
A1,image,20,toothbrush/test/defective/020.png,1536,1468,1458,24,14,1444,54,0,0,0.9557291666666666,0.94921875,0.015625,0.009114583333333334
A1,image,21,toothbrush/test/defective/021.png,576,556,561,1,6,555,14,0,0,0.9652777777777778,0.9739583333333334,0.001736111111111111,0.010416666666666666
A1,image,22,toothbrush/test/defective/022.png,4096,3999,4002,14,17,3985,80,0,0,0.976318359375,0.97705078125,0.00341796875,0.004150390625
A1,image,23,toothbrush/test/defective/023.png,2880,2859,2861,5,7,2854,14,0,0,0.9927083333333333,0.9934027777777777,0.001736111111111111,0.0024305555555555556
A1,image,24,toothbrush/test/defective/024.png,896,878,872,7,1,871,17,0,0,0.9799107142857143,0.9732142857142857,0.0078125,0.0011160714285714285
A1,image,25,toothbrush/test/defective/025.png,4096,3878,3844,62,28,3816,190,0,0,0.94677734375,0.9384765625,0.01513671875,0.0068359375
A1,image,26,toothbrush/test/defective/026.png,1152,1148,1147,2,1,1146,3,0,0,0.9965277777777778,0.9956597222222222,0.001736111111111111,0.0008680555555555555
A1,image,27,toothbrush/test/defective/027.png,640,630,630,3,3,627,7,0,0,0.984375,0.984375,0.0046875,0.0046875
A1,image,28,toothbrush/test/defective/028.png,1152,1125,1128,3,6,1122,21,0,0,0.9765625,0.9791666666666666,0.0026041666666666665,0.005208333333333333
A1,image,29,toothbrush/test/defective/029.png,4096,4003,4002,15,14,3988,79,0,0,0.977294921875,0.97705078125,0.003662109375,0.00341796875
A1,image,30,toothbrush/test/good/000.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,31,toothbrush/test/good/001.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,32,toothbrush/test/good/002.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,33,toothbrush/test/good/003.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,34,toothbrush/test/good/004.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,35,toothbrush/test/good/005.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,36,toothbrush/test/good/006.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,37,toothbrush/test/good/007.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,38,toothbrush/test/good/008.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,39,toothbrush/test/good/009.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,40,toothbrush/test/good/010.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,41,toothbrush/test/good/011.png,0,0,0,0,0,0,0,0,0,,,,
A1,aggregate,-1,__ALL__,67584,66111,65962,388,239,65723,1234,0,0,0.9782049005681818,0.9760002367424242,0.005741003787878788,0.003536339962121212
TRI,image,0,toothbrush/test/defective/000.png,2752,2728,2715,15,2,2713,22,0,0,0.9912790697674418,0.9865552325581395,0.005450581395348837,0.0007267441860465116
TRI,image,1,toothbrush/test/defective/001.png,896,882,885,1,4,881,10,0,0,0.984375,0.9877232142857143,0.0011160714285714285,0.004464285714285714
TRI,image,2,toothbrush/test/defective/002.png,2112,2062,2054,12,4,2050,46,0,0,0.9763257575757576,0.9725378787878788,0.005681818181818182,0.001893939393939394
