method,image_index,sample_id,label,image_max,pixel_ap
B,0,zipper/test/broken_teeth/000.png,1,0.23228810727596283,0.12626171525312588
B,1,zipper/test/broken_teeth/001.png,1,0.3658982813358307,0.4767675649063492
B,2,zipper/test/broken_teeth/002.png,1,0.2665782570838928,0.5679101872979682
B,3,zipper/test/broken_teeth/003.png,1,0.44733092188835144,0.5264300014273285
B,4,zipper/test/broken_teeth/004.png,1,0.4390212595462799,0.7452508389867286
B,5,zipper/test/broken_teeth/005.png,1,0.39429518580436707,0.9617490747569468
B,6,zipper/test/broken_teeth/006.png,1,0.4384157359600067,0.5590050985701014
B,7,zipper/test/broken_teeth/007.png,1,0.5697368383407593,0.7513120679170459
B,8,zipper/test/broken_teeth/008.png,1,0.3936097025871277,0.7288146276206267
B,9,zipper/test/broken_teeth/009.png,1,0.26401957869529724,0.1305865560905945
B,10,zipper/test/broken_teeth/010.png,1,0.40794238448143005,0.4498050258057209
B,11,zipper/test/broken_teeth/011.png,1,0.3621336817741394,0.8239790927569357
B,12,zipper/test/broken_teeth/012.png,1,0.43583524227142334,0.5898770219085676
B,13,zipper/test/broken_teeth/013.png,1,0.5211764574050903,0.6940197619776836
B,14,zipper/test/broken_teeth/014.png,1,0.42464083433151245,0.9129580355234984
B,15,zipper/test/broken_teeth/015.png,1,0.2644481062889099,0.6042956818995747
B,16,zipper/test/broken_teeth/016.png,1,0.2755480706691742,0.6366328771322878
B,17,zipper/test/broken_teeth/017.png,1,0.5512163043022156,0.7851788955767428
B,18,zipper/test/broken_teeth/018.png,1,0.40384218096733093,0.7022670269014114
B,19,zipper/test/combined/000.png,1,0.48497629165649414,0.6938253239655247
B,20,zipper/test/combined/001.png,1,0.326810359954834,0.3159723745508449
B,21,zipper/test/combined/002.png,1,0.3003460168838501,0.10575646674469404
B,22,zipper/test/combined/003.png,1,0.5800018906593323,0.5787496753975365
B,23,zipper/test/combined/004.png,1,0.5859244465827942,0.49568906370635973
B,24,zipper/test/combined/005.png,1,0.42523193359375,0.453631033582709
B,25,zipper/test/combined/006.png,1,0.5926561951637268,0.5575420341373409
B,26,zipper/test/combined/007.png,1,0.46693164110183716,0.5318856087417294
