method,pixel_auroc,pixel_ap,image_auroc,image_ap,image_f1_max
B,0.9841612479225436,0.7968595935170225,1.0,0.9999999999999998,1.0
S,0.9878580876116674,0.8184883141719851,0.9992063492063492,0.999751984126984,0.9921259842519685
C,0.9537305148971463,0.6856096225301782,0.9634920634920634,0.9899206477484044,0.9448818897637795
A1_J,0.9860050438185853,0.8147509677709153,1.0,0.9999999999999998,1.0
TRI_J,0.988176454003124,0.8283113036101064,1.0,0.9999999999999998,1.0
BAL_J,0.9880133927816864,0.8290167176671435,1.0,0.9999999999999998,1.0
DUP_J,0.9857161470054586,0.8098907210082011,1.0,0.9999999999999998,1.0
DUP_BAL_J,0.9860050438185853,0.8147509677709153,1.0,0.9999999999999998,1.0
DUP_EXPECTED_J,0.9857161470054586,0.8098907210082011,1.0,0.9999999999999998,1.0
A1_L,0.9862996537685575,0.8129570442460741,1.0,0.9999999999999998,1.0
DUP_L,0.9857396609983001,0.8083753611193236,1.0,0.9999999999999998,1.0
TRI_L,0.9884073973190911,0.8266648866417854,1.0,0.9999999999999998,1.0
BAL_L,0.9884563172991347,0.8280707512142982,1.0,0.9999999999999998,1.0
