method,image_index,sample_id,image_label,region,grid,boundary_count,patch_count,mean,p05,p25,median,p75,p95,min,max
A1_G,0,capsule/test/crack/000.png,1,abnormal_normal,32x32,4,1017,0.008439968586436884,0.0,0.0010960102081298828,0.004323244094848633,0.011683911085128784,0.03094021081924438,0.0,0.09583869576454163
A1_G,0,capsule/test/crack/000.png,1,defect,32x32,4,7,0.013148571763719832,0.0,0.0,0.0,0.022851407527923584,0.04399336576461792,0.0,0.04633718729019165
A1_G,0,capsule/test/crack/000.png,1,clean_defect,32x32,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1_G,0,capsule/test/crack/000.png,1,boundary,32x32,4,4,0.023010000586509705,0.0010767549276351931,0.005383774638175964,0.022851407527923584,0.040477633476257324,0.045165276527404784,0.0,0.04633718729019165
A1_G,1,capsule/test/crack/001.png,1,abnormal_normal,32x32,20,978,0.009882233869322483,0.0,0.0014926418662071228,0.00539650022983551,0.0128241628408432,0.036590501666069024,0.0,0.13739889860153198
A1_G,1,capsule/test/crack/001.png,1,defect,32x32,20,46,0.015281587191250013,0.0,0.0016527026891708374,0.012041360139846802,0.026107415556907654,0.03783439099788666,0.0,0.048830628395080566
A1_G,1,capsule/test/crack/001.png,1,clean_defect,32x32,20,26,0.016926317260815546,0.0,0.0,0.012896135449409485,0.028912581503391266,0.04142466187477112,0.0,0.048830628395080566
A1_G,1,capsule/test/crack/001.png,1,boundary,32x32,20,20,0.013143438100814819,0.0,0.007034868001937866,0.01140691339969635,0.01896512508392334,0.02796875536441804,0.0,0.038632094860076904
A1_G,2,capsule/test/crack/002.png,1,abnormal_normal,32x32,4,1018,0.009251869380591192,0.0,0.001180015504360199,0.004766568541526794,0.011774875223636627,0.034414793550968166,0.0,0.13168826699256897
A1_G,2,capsule/test/crack/002.png,1,defect,32x32,4,6,0.016725167632102966,0.008777454495429993,0.011177100241184235,0.013192683458328247,0.017490893602371216,0.031982339918613434,0.008067339658737183,0.03646942973136902
A1_G,2,capsule/test/crack/002.png,1,clean_defect,32x32,4,2,0.02543489634990692,0.015503816306591034,0.019917629659175873,0.02543489634990692,0.03095216304063797,0.03536597639322281,0.014400362968444824,0.03646942973136902
A1_G,2,capsule/test/crack/002.png,1,boundary,32x32,4,4,0.012370303273200989,0.008493408560752869,0.010197684168815613,0.011446401476860046,0.013619020581245422,0.017540660500526425,0.008067339658737183,0.01852107048034668
A1_G,3,capsule/test/crack/003.png,1,abnormal_normal,32x32,4,1017,0.00929835966203065,0.0,0.001195371150970459,0.004759639501571655,0.011827558279037476,0.03722550272941587,0.0,0.09434956312179565
