method,scope,image_index,sample_id,n_pairs,l_correct,j_correct,l_correct_j_wrong,l_wrong_j_correct,both_correct,both_wrong,l_tie,j_tie,l_correct_rate,j_correct_rate,l_correct_j_wrong_rate,l_wrong_j_correct_rate
A1,image,0,carpet/test/color/000.png,4096,3862,3856,18,12,3844,222,0,0,0.94287109375,0.94140625,0.00439453125,0.0029296875
A1,image,1,carpet/test/color/001.png,1984,1953,1944,9,0,1944,31,0,0,0.984375,0.9798387096774194,0.0045362903225806455,0.0
A1,image,2,carpet/test/color/002.png,2944,2866,2866,5,5,2861,73,0,0,0.9735054347826086,0.9735054347826086,0.0016983695652173913,0.0016983695652173913
A1,image,3,carpet/test/color/003.png,1216,1215,1215,0,0,1215,1,0,0,0.9991776315789473,0.9991776315789473,0.0,0.0
A1,image,4,carpet/test/color/004.png,2048,2024,2026,3,5,2021,19,0,0,0.98828125,0.9892578125,0.00146484375,0.00244140625
A1,image,5,carpet/test/color/005.png,1728,1636,1628,11,3,1625,89,0,0,0.9467592592592593,0.9421296296296297,0.00636574074074074,0.001736111111111111
A1,image,6,carpet/test/color/006.png,2240,2215,2213,12,10,2203,15,0,0,0.9888392857142857,0.9879464285714286,0.005357142857142857,0.004464285714285714
A1,image,7,carpet/test/color/007.png,1536,1508,1512,0,4,1508,24,0,0,0.9817708333333334,0.984375,0.0,0.0026041666666666665
A1,image,8,carpet/test/color/008.png,4096,3915,3887,33,5,3882,176,0,0,0.955810546875,0.948974609375,0.008056640625,0.001220703125
A1,image,9,carpet/test/color/009.png,3136,3053,3064,4,15,3049,68,0,0,0.9735331632653061,0.9770408163265306,0.0012755102040816326,0.0047831632653061226
A1,image,10,carpet/test/color/010.png,2048,1997,2015,2,20,1995,31,0,0,0.97509765625,0.98388671875,0.0009765625,0.009765625
A1,image,11,carpet/test/color/011.png,768,765,766,0,1,765,2,0,0,0.99609375,0.9973958333333334,0.0,0.0013020833333333333
A1,image,12,carpet/test/color/012.png,1024,1024,1024,0,0,1024,0,0,0,1.0,1.0,0.0,0.0
A1,image,13,carpet/test/color/013.png,704,688,685,4,1,684,15,0,0,0.9772727272727273,0.9730113636363636,0.005681818181818182,0.0014204545454545455
A1,image,14,carpet/test/color/014.png,832,832,832,0,0,832,0,0,0,1.0,1.0,0.0,0.0
A1,image,15,carpet/test/color/015.png,960,960,960,0,0,960,0,0,0,1.0,1.0,0.0,0.0
A1,image,16,carpet/test/color/016.png,1408,1307,1299,15,7,1292,94,0,0,0.9282670454545454,0.9225852272727273,0.01065340909090909,0.004971590909090909
A1,image,17,carpet/test/color/017.png,1344,1335,1336,0,1,1335,8,0,0,0.9933035714285714,0.9940476190476191,0.0,0.000744047619047619
A1,image,18,carpet/test/color/018.png,512,512,512,0,0,512,0,0,0,1.0,1.0,0.0,0.0
A1,image,19,carpet/test/cut/000.png,4096,4040,4027,18,5,4022,51,0,0,0.986328125,0.983154296875,0.00439453125,0.001220703125
A1,image,20,carpet/test/cut/001.png,2944,2873,2868,8,3,2865,68,0,0,0.9758831521739131,0.9741847826086957,0.002717391304347826,0.0010190217391304348
A1,image,21,carpet/test/cut/002.png,3456,3422,3425,2,5,3420,29,0,0,0.9901620370370371,0.9910300925925926,0.0005787037037037037,0.0014467592592592592
A1,image,22,carpet/test/cut/003.png,3520,3377,3380,8,11,3369,132,0,0,0.959375,0.9602272727272727,0.0022727272727272726,0.003125
A1,image,23,carpet/test/cut/004.png,2880,2748,2747,17,16,2731,116,0,0,0.9541666666666667,0.9538194444444444,0.005902777777777778,0.005555555555555556
A1,image,24,carpet/test/cut/005.png,3072,3001,2994,15,8,2986,63,0,0,0.9768880208333334,0.974609375,0.0048828125,0.0026041666666666665
A1,image,25,carpet/test/cut/006.png,4032,3987,3978,12,3,3975,42,0,0,0.9888392857142857,0.9866071428571429,0.002976190476190476,0.000744047619047619
A1,image,26,carpet/test/cut/007.png,3776,3717,3712,20,15,3697,44,0,0,0.984375,0.9830508474576272,0.005296610169491525,0.003972457627118644
A1,image,27,carpet/test/cut/008.png,3328,3063,3046,41,24,3022,241,0,0,0.9203725961538461,0.9152644230769231,0.012319711538461538,0.007211538461538462
A1,image,28,carpet/test/cut/009.png,4096,3948,3924,30,6,3918,142,0,0,0.9638671875,0.9580078125,0.00732421875,0.00146484375
A1,image,29,carpet/test/cut/010.png,4096,3926,3916,23,13,3903,157,0,0,0.95849609375,0.9560546875,0.005615234375,0.003173828125
A1,image,30,carpet/test/cut/011.png,4096,4022,4028,4,10,4018,64,0,0,0.98193359375,0.9833984375,0.0009765625,0.00244140625
A1,image,31,carpet/test/cut/012.png,4096,4021,4013,15,7,4006,68,0,0,0.981689453125,0.979736328125,0.003662109375,0.001708984375
A1,image,32,carpet/test/cut/013.png,4096,3786,3779,19,12,3767,298,0,0,0.92431640625,0.922607421875,0.004638671875,0.0029296875
A1,image,33,carpet/test/cut/014.png,3392,3203,3199,25,21,3178,168,0,0,0.9442806603773585,0.9431014150943396,0.007370283018867925,0.006191037735849057
A1,image,34,carpet/test/cut/015.png,4096,3842,3837,30,25,3812,229,0,0,0.93798828125,0.936767578125,0.00732421875,0.006103515625
A1,image,35,carpet/test/cut/016.png,3840,3649,3620,42,13,3607,178,0,0,0.9502604166666667,0.9427083333333334,0.0109375,0.0033854166666666668
A1,image,36,carpet/test/good/000.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,37,carpet/test/good/001.png,0,0,0,0,0,0,0,0,0,,,,
