method,image_index,sample_id,image_label,region,grid,boundary_count,patch_count,mean,p05,p25,median,p75,p95,min,max
A1_G,0,screw/test/good/000.png,0,normal_image,32x32,0,1024,0.00909747465630062,0.00022294968366622924,0.0023590996861457825,0.005624398589134216,0.012296199798583984,0.02699283957481383,0.0,0.08863463997840881
A1_G,1,screw/test/good/001.png,0,normal_image,32x32,0,1024,0.008862076501827687,0.0003761321306228638,0.002292841672897339,0.005678653717041016,0.011402808129787445,0.028204612433910363,0.0,0.10133051872253418
A1_G,2,screw/test/good/002.png,0,normal_image,32x32,0,1024,0.008695469034137204,0.00027853846549987806,0.0020990297198295593,0.005066990852355957,0.011169731616973877,0.027519124746322617,0.0,0.08052131533622742
A1_G,3,screw/test/good/003.png,0,normal_image,32x32,0,1024,0.008243639807915315,0.0,0.0015699490904808044,0.004451006650924683,0.01078660786151886,0.029230532050132742,0.0,0.09398028254508972
A1_G,4,screw/test/good/004.png,0,normal_image,32x32,0,1024,0.008777075534453616,0.0002711266279220581,0.0024948716163635254,0.00619874894618988,0.012352943420410156,0.02798787504434585,0.0,0.05594593286514282
A1_G,5,screw/test/good/005.png,0,normal_image,32x32,0,1024,0.009512146236374974,0.00019333809614181547,0.0024820491671562195,0.00590883195400238,0.013039171695709229,0.029764370620250603,0.0,0.08729428052902222
A1_G,6,screw/test/good/006.png,0,normal_image,32x32,0,1024,0.00861672859173268,0.0002725273370742798,0.0020991191267967224,0.005163997411727905,0.011524692177772522,0.028276476263999893,0.0,0.09112417697906494
A1_G,7,screw/test/good/007.png,0,normal_image,32x32,0,1024,0.008368536829948425,0.0,0.0018742084503173828,0.00503171980381012,0.011350959539413452,0.027197787165641776,0.0,0.08384600281715393
A1_G,8,screw/test/good/008.png,0,normal_image,32x32,0,1024,0.008900332555640489,0.00020056217908859258,0.0022148191928863525,0.0057181715965271,0.011666186153888702,0.029052519798278775,0.0,0.08575940132141113
A1_G,9,screw/test/good/009.png,0,normal_image,32x32,0,1024,0.008415123913437128,0.0002000674605369569,0.002138569951057434,0.005573734641075134,0.01100456714630127,0.025502909719943997,0.0,0.06244209408760071
A1_G,10,screw/test/good/010.png,0,normal_image,32x32,0,1024,0.009283263672841713,0.0004173725843429566,0.002736590802669525,0.006314635276794434,0.012418866157531738,0.029342912137508368,0.0,0.06293463706970215
A1_G,11,screw/test/good/011.png,0,normal_image,32x32,0,1024,0.009140537236817181,0.00042313933372497566,0.0022967830300331116,0.0055185407400131226,0.012212313711643219,0.02901390641927716,0.0,0.06946736574172974
A1_G,12,screw/test/good/012.png,0,normal_image,32x32,0,1024,0.00784674781607464,0.0,0.001391865313053131,0.004348129034042358,0.010718077421188354,0.026946324110031103,0.0,0.10091990232467651
A1_G,13,screw/test/good/013.png,0,normal_image,32x32,0,1024,0.008071098360233009,0.0,0.0014361217617988586,0.004609331488609314,0.01087147742509842,0.02880669683217999,0.0,0.0880281925201416
A1_G,14,screw/test/good/014.png,0,normal_image,32x32,0,1024,0.009127374942181632,0.0003665924072265626,0.0023733824491500854,0.005987763404846191,0.01242266595363617,0.028263054788112616,0.0,0.06346118450164795
A1_G,15,screw/test/good/015.png,0,normal_image,32x32,0,1024,0.008831089566228911,0.00031351745128631596,0.0023512765765190125,0.005714192986488342,0.012507088482379913,0.027757337689399694,0.0,0.06734371185302734
A1_G,16,screw/test/good/016.png,0,normal_image,32x32,0,1024,0.008709696907317266,0.00032396167516708386,0.002332344651222229,0.005325824022293091,0.011281631886959076,0.029284121096134156,0.0,0.08390358090400696
A1_G,17,screw/test/good/017.png,0,normal_image,32x32,0,1024,0.008637229329906404,0.0001479625701904297,0.002351529896259308,0.005311518907546997,0.011241696774959564,0.029903869330883008,0.0,0.07445502281188965
A1_G,18,screw/test/good/018.png,0,normal_image,32x32,0,1024,0.009587552543962374,0.0002197414636611939,0.0022680386900901794,0.005258277058601379,0.012243829667568207,0.03208891451358793,0.0,0.1018419861793518
A1_G,19,screw/test/good/019.png,0,normal_image,32x32,0,1024,0.009823254746152088,0.00044746547937393196,0.0025393664836883545,0.005835801362991333,0.012858621776103973,0.030873401463031764,0.0,0.11062639951705933
A1_G,20,screw/test/good/020.png,0,normal_image,32x32,0,1024,0.009041417331900448,0.00030025243759155277,0.0025242865085601807,0.005895838141441345,0.01228032261133194,0.027048502862453458,0.0,0.07184836268424988
A1_G,21,screw/test/good/021.png,0,normal_image,32x32,0,1024,0.008170672634150833,0.0,0.0016008540987968445,0.004666656255722046,0.010590441524982452,0.027426970005035394,0.0,0.07876050472259521
A1_G,22,screw/test/good/022.png,0,normal_image,32x32,0,1024,0.008965677407104522,0.00041537880897521987,0.0024253427982330322,0.006007984280586243,0.012182913720607758,0.026572792232036558,0.0,0.07299330830574036
A1_G,23,screw/test/good/023.png,0,normal_image,32x32,0,1024,0.008895451668649912,0.00015077739953994754,0.0022036731243133545,0.005455881357192993,0.011998660862445831,0.026882851123809805,0.0,0.11332285404205322
A1_G,24,screw/test/good/024.png,0,normal_image,32x32,0,1024,0.009225568559486419,0.0005143746733665466,0.00236433744430542,0.005813166499137878,0.01201041042804718,0.029605945944786063,0.0,0.09813866019248962
A1_G,25,screw/test/good/025.png,0,normal_image,32x32,0,1024,0.009061957767698914,0.00018097162246704106,0.002285487949848175,0.005609482526779175,0.012172110378742218,0.03039805591106412,0.0,0.08705127239227295
A1_G,26,screw/test/good/026.png,0,normal_image,32x32,0,1024,0.009555941069265828,0.00013669282197952272,0.0023552998900413513,0.0063374340534210205,0.012893974781036377,0.028588935732841488,0.0,0.07334515452384949
