config,base,permuted_branch,permutation_index,mean_delta,mean_abs_delta,max_abs_delta,frac_changed_gt_1e-6,defect_mean_abs_delta,defect_mean_delta,defect_n_patches,normal_mean_abs_delta,normal_mean_delta,normal_n_patches
A1_J__perm_C_within_p00,A1_J,C_within,00,-0.024059422314167023,0.027219559997320175,0.1718693971633911,1.0,0.029213426634669304,-0.025755759328603745,5923,0.027097146958112717,-0.02395527996122837,96477
A1_J__perm_C_within_p01,A1_J,C_within,01,-0.023414039984345436,0.02653457224369049,0.14389961957931519,0.99806640625,0.026948189362883568,-0.023435551673173904,5923,0.026509182527661324,-0.023412717506289482,96477
A1_J__perm_C_within_p02,A1_J,C_within,02,-0.02276238240301609,0.026234200224280357,0.18069970607757568,0.9995703125,0.0273081474006176,-0.023684140294790268,5923,0.02616826631128788,-0.022705791518092155,96477
BAL_J__perm_C_within_p00,BAL_J,C_within,00,-0.02361169084906578,0.026451921090483665,0.15423263609409332,1.0,0.0277494415640831,-0.02470260113477707,5923,0.026372261345386505,-0.02354471944272518,96477
BAL_J__perm_C_within_p01,BAL_J,C_within,01,-0.023035163059830666,0.025855867192149162,0.15462389588356018,0.99796875,0.025676056742668152,-0.022806433960795403,5923,0.025866903364658356,-0.02304920367896557,96477
BAL_J__perm_C_within_p02,BAL_J,C_within,02,-0.02241312339901924,0.025494379922747612,0.15455582737922668,0.999404296875,0.026314880698919296,-0.023137934505939484,5923,0.02544400654733181,-0.022368622943758965,96477
BAL_J__perm_S_within_p00,BAL_J,S_within,00,-0.05930250510573387,0.05949609726667404,0.23043367266654968,0.999990234375,0.05112027749419212,-0.05085300654172897,5923,0.060010313987731934,-0.059821244329214096,96477
BAL_J__perm_S_within_p01,BAL_J,S_within,01,-0.057762112468481064,0.058005400002002716,0.20697098970413208,0.997646484375,0.04935818165540695,-0.049137767404317856,5923,0.05853627622127533,-0.058291587978601456,96477
BAL_J__perm_S_within_p02,BAL_J,S_within,02,-0.05870262533426285,0.05886442959308624,0.22599513828754425,0.99939453125,0.05054376646876335,-0.05033170059323311,5923,0.05937526375055313,-0.059216540306806564,96477
TRI_J__perm_C_within_p00,TRI_J,C_within,00,-0.01992560178041458,0.02290344052016735,0.15248093008995056,0.999990234375,0.02392224594950676,-0.02091042697429657,5923,0.022840896621346474,-0.019865140318870544,96477
TRI_J__perm_C_within_p01,TRI_J,C_within,01,-0.019758502021431923,0.022750942036509514,0.14064103364944458,0.998046875,0.022610867395997047,-0.01967349834740162,5923,0.022759540006518364,-0.019763721153140068,96477
TRI_J__perm_C_within_p02,TRI_J,C_within,02,-0.018854334950447083,0.022061729803681374,0.12516216933727264,0.999501953125,0.02228943072259426,-0.018988994881510735,5923,0.022047750651836395,-0.018846068531274796,96477
TRI_J__perm_S_within_p00,TRI_J,S_within,00,-0.07498516887426376,0.07520138472318649,0.30319154262542725,0.999990234375,0.0644330158829689,-0.06415233761072159,5923,0.07586248219013214,-0.07565021514892578,96477
TRI_J__perm_S_within_p01,TRI_J,S_within,01,-0.0726766586303711,0.07292255759239197,0.2704751491546631,0.99771484375,0.06108957529067993,-0.060820456594228745,5923,0.07364901155233383,-0.07340454310178757,96477
TRI_J__perm_S_within_p02,TRI_J,S_within,02,-0.07450766861438751,0.07469622045755386,0.29499077796936035,0.99951171875,0.06380786001682281,-0.06356468796730042,5923,0.07536469399929047,-0.07517948001623154,96477
