method,image_index,sample_id,image_label,region,grid,boundary_count,patch_count,mean,p05,p25,median,p75,p95,min,max
A1_G,0,zipper/test/broken_teeth/000.png,1,abnormal_normal,32x32,20,979,0.011366314737010172,0.0,0.0024351179599761963,0.007387489080429077,0.016239598393440247,0.03715785443782804,0.0,0.10982531309127808
A1_G,0,zipper/test/broken_teeth/000.png,1,defect,32x32,20,45,0.01375488970014784,0.0005082011222839357,0.005721926689147949,0.014341473579406738,0.018152981996536255,0.02890449166297912,0.0,0.04421275854110718
A1_G,0,zipper/test/broken_teeth/000.png,1,clean_defect,32x32,20,25,0.01263505220413208,0.0019641041755676268,0.00760987401008606,0.014416396617889404,0.016910970211029053,0.02381385564804076,0.00033795833587646484,0.02690902352333069
A1_G,0,zipper/test/broken_teeth/000.png,1,boundary,32x32,20,20,0.015154686570167542,0.0,0.005534470081329346,0.012745440006256104,0.019631534814834595,0.04399373531341553,0.0,0.04421275854110718
A1_G,1,zipper/test/broken_teeth/001.png,1,abnormal_normal,32x32,14,998,0.010175807233563884,0.0,0.0020862966775894165,0.007022544741630554,0.013690553605556488,0.03363649398088455,0.0,0.08885720372200012
A1_G,1,zipper/test/broken_teeth/001.png,1,defect,32x32,14,26,0.02574504682650933,0.0011679977178573608,0.007285796105861664,0.016544267535209656,0.04025645554065704,0.07252851873636246,0.0,0.09511199593544006
A1_G,1,zipper/test/broken_teeth/001.png,1,clean_defect,32x32,14,12,0.03547110160191854,0.005597206950187683,0.013385295867919922,0.03253549337387085,0.04723978042602539,0.08295291364192961,0.003964602947235107,0.09511199593544006
A1_G,1,zipper/test/broken_teeth/001.png,1,boundary,32x32,14,14,0.017408428447587148,0.00015326738357543946,0.00595228374004364,0.013568729162216187,0.020274020731449127,0.05189615637063979,0.0,0.07110035419464111
A1_G,2,zipper/test/broken_teeth/002.png,1,abnormal_normal,32x32,8,1001,0.011249066173256217,0.0,0.002240896224975586,0.007955700159072876,0.015614628791809082,0.03464382886886597,0.0,0.17074555158615112
A1_G,2,zipper/test/broken_teeth/002.png,1,defect,32x32,8,23,0.011340265688688858,0.0010482907295227052,0.006299436092376709,0.008108913898468018,0.014186576008796692,0.02698279321193695,0.0,0.03021460771560669
A1_G,2,zipper/test/broken_teeth/002.png,1,clean_defect,32x32,8,15,0.014212715625762939,0.0047925859689712524,0.00747273862361908,0.010037660598754883,0.02348606288433075,0.02807345390319824,0.0012097060680389404,0.03021460771560669
A1_G,2,zipper/test/broken_teeth/002.png,1,boundary,32x32,8,8,0.005954422056674957,0.00036062449216842655,0.0035308226943016052,0.005360201001167297,0.008837267756462097,0.011910706758499146,0.0,0.012389063835144043
A1_G,3,zipper/test/broken_teeth/003.png,1,abnormal_normal,32x32,17,990,0.01174348077990792,0.0,0.0027801096439361572,0.008122965693473816,0.016805022954940796,0.03441427052021027,0.0,0.15979841351509094
A1_G,3,zipper/test/broken_teeth/003.png,1,defect,32x32,17,34,0.015677389853140888,0.0023252114653587344,0.005561761558055878,0.012904584407806396,0.022512003779411316,0.04001723676919937,0.0,0.05021578073501587
A1_G,3,zipper/test/broken_teeth/003.png,1,clean_defect,32x32,17,17,0.02104218041195589,0.0025215089321136475,0.00974118709564209,0.016109079122543335,0.03003033995628357,0.04251936674118041,0.0014745891094207764,0.05021578073501587
A1_G,3,zipper/test/broken_teeth/003.png,1,boundary,32x32,17,17,0.010312599294325885,0.003081154823303223,0.004812717437744141,0.007386684417724609,0.014364033937454224,0.025959008932113645,0.0,0.028747886419296265
A1_G,4,zipper/test/broken_teeth/004.png,1,abnormal_normal,32x32,11,998,0.011726953163892329,0.0,0.002864241600036621,0.008646607398986816,0.01691024750471115,0.03553076088428497,0.0,0.07307934761047363
A1_G,4,zipper/test/broken_teeth/004.png,1,defect,32x32,11,26,0.016743970605043266,0.0028185397386550903,0.005133822560310364,0.01037876307964325,0.02030158042907715,0.05180734395980835,0.0008265674114227295,0.06240120530128479
A1_G,4,zipper/test/broken_teeth/004.png,1,clean_defect,32x32,11,15,0.01921913226445516,0.0023651123046875,0.005568072199821472,0.012679755687713623,0.02281571924686432,0.053321620821952805,0.0008265674114227295,0.06240120530128479
A1_G,4,zipper/test/broken_teeth/004.png,1,boundary,32x32,11,11,0.01336875016039068,0.003353014588356018,0.0040874183177948,0.01034402847290039,0.01583114266395569,0.0367712676525116,0.002749890089035034,0.05259966850280762
A1_G,5,zipper/test/broken_teeth/005.png,1,abnormal_normal,32x32,7,1009,0.011277358199961712,0.0,0.0021525919437408447,0.007684111595153809,0.01584625244140625,0.03593140840530395,0.0,0.1224270761013031
A1_G,5,zipper/test/broken_teeth/005.png,1,defect,32x32,7,15,0.013598336776097616,0.002357745170593262,0.0047724246978759766,0.009808719158172607,0.022310897707939148,0.03340180814266205,0.001148521900177002,0.0360378623008728
A1_G,5,zipper/test/broken_teeth/005.png,1,clean_defect,32x32,7,8,0.017214614897966385,0.0017531335353851319,0.003128424286842346,0.016207873821258545,0.0303836390376091,0.03471983522176742,0.001148521900177002,0.0360378623008728
A1_G,5,zipper/test/broken_teeth/005.png,1,boundary,32x32,7,7,0.009465447493961878,0.004735183715820312,0.0050092339515686035,0.008956968784332275,0.010294303297996521,0.018527251482009878,0.004679322242736816,0.022014766931533813
A1_G,6,zipper/test/broken_teeth/006.png,1,abnormal_normal,32x32,14,993,0.011243874722977299,0.0,0.002254396677017212,0.008106052875518799,0.016624033451080322,0.034850692749023436,0.0,0.06776878237724304
A1_G,6,zipper/test/broken_teeth/006.png,1,defect,32x32,14,31,0.016759428285783338,0.0020492374897003174,0.007379010319709778,0.011439025402069092,0.0232497900724411,0.04456642270088196,0.0,0.054244935512542725
A1_G,6,zipper/test/broken_teeth/006.png,1,clean_defect,32x32,14,17,0.017356593819225535,0.00235554575920105,0.005936235189437866,0.014765322208404541,0.023323088884353638,0.0413430094718933,0.0015387237071990967,0.04743295907974243
A1_G,6,zipper/test/broken_teeth/006.png,1,boundary,32x32,14,14,0.016034298709460666,0.002596499025821686,0.008735761046409607,0.010318636894226074,0.016367651522159576,0.04609065353870391,0.0,0.054244935512542725
A1_G,7,zipper/test/broken_teeth/007.png,1,abnormal_normal,32x32,25,951,0.011602186473511496,0.0,0.0024987012147903442,0.007831275463104248,0.017111122608184814,0.032898321747779846,0.0,0.10464945435523987
A1_G,7,zipper/test/broken_teeth/007.png,1,defect,32x32,25,73,0.014260311241019261,0.002943885326385498,0.005887329578399658,0.011265277862548828,0.01995435357093811,0.03254207968711852,0.0012717247009277344,0.04649066925048828
A1_G,7,zipper/test/broken_teeth/007.png,1,clean_defect,32x32,25,48,0.014475115885337194,0.0029963210225105287,0.006528966128826141,0.012501269578933716,0.019816845655441284,0.03271757811307907,0.001897275447845459,0.043438613414764404
A1_G,7,zipper/test/broken_teeth/007.png,1,boundary,32x32,25,25,0.013847886323928834,0.002800959348678589,0.004525333642959595,0.009784221649169922,0.019985169172286987,0.032182663679122925,0.0012717247009277344,0.04649066925048828
A1_G,8,zipper/test/broken_teeth/008.png,1,abnormal_normal,32x32,10,998,0.011630396983905403,0.0,0.0028351545333862305,0.008776023983955383,0.01694900542497635,0.03474926650524139,0.0,0.06444376707077026
A1_G,8,zipper/test/broken_teeth/008.png,1,defect,32x32,10,26,0.013611535613353435,0.004464060068130493,0.008133329451084137,0.011311277747154236,0.014718979597091675,0.032129719853401184,0.0038409829139709473,0.036568015813827515
A1_G,8,zipper/test/broken_teeth/008.png,1,clean_defect,32x32,10,16,0.013362713158130646,0.0051493048667907715,0.007629759609699249,0.01168110966682434,0.01574716717004776,0.026581503450870514,0.004408657550811768,0.036568015813827515
A1_G,8,zipper/test/broken_teeth/008.png,1,boundary,32x32,10,10,0.0140096515417099,0.004196161031723022,0.009355291724205017,0.011311277747154236,0.014116033911705017,0.03173247873783111,0.0038409829139709473,0.03262627124786377
A1_G,9,zipper/test/broken_teeth/009.png,1,abnormal_normal,32x32,8,1007,0.011631410343289494,0.0,0.0029921680688858032,0.00807693600654602,0.016824975609779358,0.033979424834251384,0.0,0.09154504537582397
A1_G,9,zipper/test/broken_teeth/009.png,1,defect,32x32,8,17,0.015889981213737938,0.003527712821960449,0.00794491171836853,0.014513254165649414,0.019805461168289185,0.03166146874427794,0.0024682283401489258,0.046482235193252563
A1_G,9,zipper/test/broken_teeth/009.png,1,clean_defect,32x32,8,9,0.017269316646787856,0.007890141010284424,0.00894138216972351,0.011015444993972778,0.019805461168289185,0.038554185628890986,0.00785362720489502,0.046482235193252563
A1_G,9,zipper/test/broken_teeth/009.png,1,boundary,32x32,8,8,0.014338228851556778,0.0029317528009414674,0.005446344614028931,0.016028553247451782,0.01952257752418518,0.026783645153045654,0.0024682283401489258,0.027956277132034302
