method,scope,image_index,sample_id,n_pairs,l_correct,j_correct,l_correct_j_wrong,l_wrong_j_correct,both_correct,both_wrong,l_tie,j_tie,l_correct_rate,j_correct_rate,l_correct_j_wrong_rate,l_wrong_j_correct_rate
A1,image,0,metal_nut/test/bent/000.png,4096,4015,4004,28,17,3987,64,0,0,0.980224609375,0.9775390625,0.0068359375,0.004150390625
A1,image,1,metal_nut/test/bent/001.png,1920,1788,1763,41,16,1747,116,0,0,0.93125,0.9182291666666667,0.021354166666666667,0.008333333333333333
A1,image,2,metal_nut/test/bent/002.png,1152,1025,989,41,5,984,122,0,0,0.8897569444444444,0.8585069444444444,0.035590277777777776,0.004340277777777778
A1,image,3,metal_nut/test/bent/003.png,1984,1912,1902,14,4,1898,68,0,0,0.9637096774193549,0.9586693548387096,0.007056451612903226,0.0020161290322580645
A1,image,4,metal_nut/test/bent/004.png,1792,1711,1711,26,26,1685,55,0,0,0.9547991071428571,0.9547991071428571,0.014508928571428572,0.014508928571428572
A1,image,5,metal_nut/test/bent/005.png,2496,2325,2274,57,6,2268,165,0,0,0.9314903846153846,0.9110576923076923,0.02283653846153846,0.002403846153846154
A1,image,6,metal_nut/test/bent/006.png,1600,1372,1342,49,19,1323,209,0,0,0.8575,0.83875,0.030625,0.011875
A1,image,7,metal_nut/test/bent/007.png,960,786,758,31,3,755,171,0,0,0.81875,0.7895833333333333,0.03229166666666667,0.003125
A1,image,8,metal_nut/test/bent/008.png,2176,2169,2175,0,6,2169,1,0,0,0.9967830882352942,0.9995404411764706,0.0,0.0027573529411764708
A1,image,9,metal_nut/test/bent/009.png,1728,1710,1707,10,7,1700,11,0,0,0.9895833333333334,0.9878472222222222,0.005787037037037037,0.004050925925925926
A1,image,10,metal_nut/test/bent/010.png,3456,3455,3455,0,0,3455,1,0,0,0.9997106481481481,0.9997106481481481,0.0,0.0
A1,image,11,metal_nut/test/bent/011.png,1472,1462,1467,0,5,1462,5,0,0,0.9932065217391305,0.9966032608695652,0.0,0.0033967391304347825
A1,image,12,metal_nut/test/bent/012.png,2560,2543,2535,10,2,2533,15,0,0,0.993359375,0.990234375,0.00390625,0.00078125
A1,image,13,metal_nut/test/bent/013.png,2560,2532,2524,12,4,2520,24,0,0,0.9890625,0.9859375,0.0046875,0.0015625
A1,image,14,metal_nut/test/bent/014.png,1280,1270,1267,5,2,1265,8,0,0,0.9921875,0.98984375,0.00390625,0.0015625
A1,image,15,metal_nut/test/bent/015.png,4096,3985,3993,8,16,3977,95,0,0,0.972900390625,0.974853515625,0.001953125,0.00390625
A1,image,16,metal_nut/test/bent/016.png,1728,1711,1707,5,1,1706,16,0,0,0.9901620370370371,0.9878472222222222,0.0028935185185185184,0.0005787037037037037
A1,image,17,metal_nut/test/bent/017.png,1920,1919,1918,1,0,1918,1,0,0,0.9994791666666667,0.9989583333333333,0.0005208333333333333,0.0
A1,image,18,metal_nut/test/bent/018.png,2560,2535,2532,4,1,2531,24,0,0,0.990234375,0.9890625,0.0015625,0.000390625
A1,image,19,metal_nut/test/bent/019.png,2816,2635,2608,64,37,2571,144,0,0,0.9357244318181818,0.9261363636363636,0.022727272727272728,0.013139204545454546
A1,image,20,metal_nut/test/bent/020.png,2112,2109,2108,2,1,2107,2,0,0,0.9985795454545454,0.9981060606060606,0.000946969696969697,0.0004734848484848485
A1,image,21,metal_nut/test/bent/021.png,2048,2008,2014,4,10,2004,30,0,0,0.98046875,0.9833984375,0.001953125,0.0048828125
A1,image,22,metal_nut/test/bent/022.png,1472,1364,1356,40,32,1324,76,0,0,0.9266304347826086,0.9211956521739131,0.02717391304347826,0.021739130434782608
A1,image,23,metal_nut/test/bent/023.png,2176,2136,2110,26,0,2110,40,0,0,0.9816176470588235,0.9696691176470589,0.011948529411764705,0.0
A1,image,24,metal_nut/test/bent/024.png,1920,1742,1724,40,22,1702,156,0,0,0.9072916666666667,0.8979166666666667,0.020833333333333332,0.011458333333333333
A1,image,25,metal_nut/test/color/000.png,704,687,700,1,14,686,3,0,0,0.9758522727272727,0.9943181818181818,0.0014204545454545455,0.019886363636363636
A1,image,26,metal_nut/test/color/001.png,1024,978,979,5,6,973,40,0,0,0.955078125,0.9560546875,0.0048828125,0.005859375
A1,image,27,metal_nut/test/color/002.png,1344,1338,1331,7,0,1331,6,0,0,0.9955357142857143,0.9903273809523809,0.005208333333333333,0.0
A1,image,28,metal_nut/test/color/003.png,1344,1330,1328,2,0,1328,14,0,0,0.9895833333333334,0.9880952380952381,0.001488095238095238,0.0
A1,image,29,metal_nut/test/color/004.png,896,754,753,9,8,745,134,0,0,0.8415178571428571,0.8404017857142857,0.010044642857142858,0.008928571428571428
A1,image,30,metal_nut/test/color/005.png,1344,1085,1092,13,20,1072,239,0,0,0.8072916666666666,0.8125,0.009672619047619048,0.01488095238095238
A1,image,31,metal_nut/test/color/006.png,960,943,939,5,1,938,16,0,0,0.9822916666666667,0.978125,0.005208333333333333,0.0010416666666666667
A1,image,32,metal_nut/test/color/007.png,1664,1664,1662,2,0,1662,0,0,0,1.0,0.9987980769230769,0.001201923076923077,0.0
A1,image,33,metal_nut/test/color/008.png,4096,3663,3687,61,85,3602,348,0,0,0.894287109375,0.900146484375,0.014892578125,0.020751953125
A1,image,34,metal_nut/test/color/009.png,2112,1985,1961,35,11,1950,116,0,0,0.9398674242424242,0.9285037878787878,0.016571969696969696,0.005208333333333333
A1,image,35,metal_nut/test/color/010.png,3200,3135,3128,24,17,3111,48,0,0,0.9796875,0.9775,0.0075,0.0053125
A1,image,36,metal_nut/test/color/011.png,4096,3983,4004,7,28,3976,85,0,0,0.972412109375,0.9775390625,0.001708984375,0.0068359375
A1,image,37,metal_nut/test/color/012.png,4096,3900,3790,155,45,3745,151,0,0,0.9521484375,0.92529296875,0.037841796875,0.010986328125
A1,image,38,metal_nut/test/color/013.png,2432,2345,2322,30,7,2315,80,0,0,0.9642269736842105,0.9547697368421053,0.012335526315789474,0.0028782894736842104
A1,image,39,metal_nut/test/color/014.png,1408,1403,1397,6,0,1397,5,0,0,0.9964488636363636,0.9921875,0.004261363636363636,0.0
A1,image,40,metal_nut/test/color/015.png,4096,2989,2889,166,66,2823,1041,0,0,0.729736328125,0.705322265625,0.04052734375,0.01611328125
A1,image,41,metal_nut/test/color/016.png,2432,2234,2280,25,71,2209,127,0,0,0.9185855263157895,0.9375,0.010279605263157895,0.02919407894736842
