method,scope,image_index,sample_id,n_pairs,l_correct,j_correct,l_correct_j_wrong,l_wrong_j_correct,both_correct,both_wrong,l_tie,j_tie,l_correct_rate,j_correct_rate,l_correct_j_wrong_rate,l_wrong_j_correct_rate
A1,image,0,pill/test/color/000.png,192,175,177,6,8,169,9,0,0,0.9114583333333334,0.921875,0.03125,0.041666666666666664
A1,image,1,pill/test/color/001.png,1088,1048,1050,8,10,1040,30,0,0,0.9632352941176471,0.9650735294117647,0.007352941176470588,0.009191176470588236
A1,image,2,pill/test/color/002.png,1280,1070,1065,39,34,1031,176,0,0,0.8359375,0.83203125,0.03046875,0.0265625
A1,image,3,pill/test/color/003.png,1152,1141,1131,11,1,1130,10,0,0,0.9904513888888888,0.9817708333333334,0.009548611111111112,0.0008680555555555555
A1,image,4,pill/test/color/004.png,640,639,638,1,0,638,1,0,0,0.9984375,0.996875,0.0015625,0.0
A1,image,5,pill/test/color/005.png,1472,1390,1376,40,26,1350,56,0,0,0.9442934782608695,0.9347826086956522,0.02717391304347826,0.017663043478260868
A1,image,6,pill/test/color/006.png,576,576,576,0,0,576,0,0,0,1.0,1.0,0.0,0.0
A1,image,7,pill/test/color/007.png,384,384,381,3,0,381,0,0,0,1.0,0.9921875,0.0078125,0.0
A1,image,8,pill/test/color/008.png,256,256,256,0,0,256,0,0,0,1.0,1.0,0.0,0.0
A1,image,9,pill/test/color/009.png,128,128,128,0,0,128,0,0,0,1.0,1.0,0.0,0.0
A1,image,10,pill/test/color/010.png,448,437,427,10,0,427,11,0,0,0.9754464285714286,0.953125,0.022321428571428572,0.0
A1,image,11,pill/test/color/011.png,448,448,448,0,0,448,0,0,0,1.0,1.0,0.0,0.0
A1,image,12,pill/test/color/012.png,320,320,320,0,0,320,0,0,0,1.0,1.0,0.0,0.0
A1,image,13,pill/test/color/013.png,384,384,384,0,0,384,0,0,0,1.0,1.0,0.0,0.0
A1,image,14,pill/test/color/014.png,768,764,765,1,2,763,2,0,0,0.9947916666666666,0.99609375,0.0013020833333333333,0.0026041666666666665
A1,image,15,pill/test/color/015.png,320,314,312,3,1,311,5,0,0,0.98125,0.975,0.009375,0.003125
A1,image,16,pill/test/color/016.png,576,574,575,0,1,574,1,0,0,0.9965277777777778,0.9982638888888888,0.0,0.001736111111111111
A1,image,17,pill/test/color/017.png,448,444,448,0,4,444,0,0,0,0.9910714285714286,1.0,0.0,0.008928571428571428
A1,image,18,pill/test/color/018.png,384,372,362,10,0,362,12,0,0,0.96875,0.9427083333333334,0.026041666666666668,0.0
A1,image,19,pill/test/color/019.png,832,820,817,5,2,815,10,0,0,0.9855769230769231,0.9819711538461539,0.006009615384615385,0.002403846153846154
A1,image,20,pill/test/color/020.png,384,384,384,0,0,384,0,0,0,1.0,1.0,0.0,0.0
A1,image,21,pill/test/color/021.png,576,573,570,3,0,570,3,0,0,0.9947916666666666,0.9895833333333334,0.005208333333333333,0.0
A1,image,22,pill/test/color/022.png,960,956,958,2,4,954,0,0,0,0.9958333333333333,0.9979166666666667,0.0020833333333333333,0.004166666666666667
A1,image,23,pill/test/color/023.png,960,954,949,5,0,949,6,0,0,0.99375,0.9885416666666667,0.005208333333333333,0.0
A1,image,24,pill/test/color/024.png,256,256,256,0,0,256,0,0,0,1.0,1.0,0.0,0.0
A1,image,25,pill/test/combined/000.png,2176,1917,1931,38,52,1879,207,0,0,0.8809742647058824,0.8874080882352942,0.017463235294117647,0.02389705882352941
A1,image,26,pill/test/combined/001.png,3328,3156,3126,46,16,3110,156,0,0,0.9483173076923077,0.9393028846153846,0.013822115384615384,0.004807692307692308
