method,scope,image_index,sample_id,n_pairs,l_correct,j_correct,l_correct_j_wrong,l_wrong_j_correct,both_correct,both_wrong,l_tie,j_tie,l_correct_rate,j_correct_rate,l_correct_j_wrong_rate,l_wrong_j_correct_rate
A1,image,0,tile/test/crack/000.png,4096,4090,4091,0,1,4090,5,0,0,0.99853515625,0.998779296875,0.0,0.000244140625
A1,image,1,tile/test/crack/001.png,4096,4062,4062,3,3,4059,31,0,0,0.99169921875,0.99169921875,0.000732421875,0.000732421875
A1,image,2,tile/test/crack/002.png,4096,4072,4074,1,3,4071,21,0,0,0.994140625,0.99462890625,0.000244140625,0.000732421875
A1,image,3,tile/test/crack/003.png,4096,4089,4089,0,0,4089,7,0,0,0.998291015625,0.998291015625,0.0,0.0
A1,image,4,tile/test/crack/004.png,2368,2364,2363,1,0,2363,4,0,0,0.9983108108108109,0.9978885135135135,0.0004222972972972973,0.0
A1,image,5,tile/test/crack/005.png,2176,2176,2176,0,0,2176,0,0,0,1.0,1.0,0.0,0.0
A1,image,6,tile/test/crack/006.png,4096,4088,4091,0,3,4088,5,0,0,0.998046875,0.998779296875,0.0,0.000732421875
A1,image,7,tile/test/crack/007.png,4096,4075,4075,1,1,4074,20,0,0,0.994873046875,0.994873046875,0.000244140625,0.000244140625
A1,image,8,tile/test/crack/008.png,4096,4038,4043,3,8,4035,50,0,0,0.98583984375,0.987060546875,0.000732421875,0.001953125
A1,image,9,tile/test/crack/009.png,4096,4076,4080,1,5,4075,15,0,0,0.9951171875,0.99609375,0.000244140625,0.001220703125
A1,image,10,tile/test/crack/010.png,4096,4022,4018,6,2,4016,72,0,0,0.98193359375,0.98095703125,0.00146484375,0.00048828125
A1,image,11,tile/test/crack/011.png,4096,4090,4092,0,2,4090,4,0,0,0.99853515625,0.9990234375,0.0,0.00048828125
A1,image,12,tile/test/crack/012.png,4096,4090,4090,0,0,4090,6,0,0,0.99853515625,0.99853515625,0.0,0.0
A1,image,13,tile/test/crack/013.png,4096,4088,4086,2,0,4086,8,0,0,0.998046875,0.99755859375,0.00048828125,0.0
A1,image,14,tile/test/crack/014.png,3776,3776,3776,0,0,3776,0,0,0,1.0,1.0,0.0,0.0
A1,image,15,tile/test/crack/015.png,2560,2542,2544,1,3,2541,15,0,0,0.99296875,0.99375,0.000390625,0.001171875
A1,image,16,tile/test/crack/016.png,4096,4060,4062,1,3,4059,33,0,0,0.9912109375,0.99169921875,0.000244140625,0.000732421875
A1,image,17,tile/test/glue_strip/000.png,4096,4096,4096,0,0,4096,0,0,0,1.0,1.0,0.0,0.0
A1,image,18,tile/test/glue_strip/001.png,4096,4058,4054,6,2,4052,36,0,0,0.99072265625,0.98974609375,0.00146484375,0.00048828125
A1,image,19,tile/test/glue_strip/002.png,4096,4043,4042,6,5,4037,48,0,0,0.987060546875,0.98681640625,0.00146484375,0.001220703125
A1,image,20,tile/test/glue_strip/003.png,4096,3206,3239,50,83,3156,807,0,0,0.78271484375,0.790771484375,0.01220703125,0.020263671875
A1,image,21,tile/test/glue_strip/004.png,4096,4023,4014,11,2,4012,71,0,0,0.982177734375,0.97998046875,0.002685546875,0.00048828125
A1,image,22,tile/test/glue_strip/005.png,4096,4084,4084,2,2,4082,10,0,0,0.9970703125,0.9970703125,0.00048828125,0.00048828125
A1,image,23,tile/test/glue_strip/006.png,4096,3956,3944,15,3,3941,137,0,0,0.9658203125,0.962890625,0.003662109375,0.000732421875
A1,image,24,tile/test/glue_strip/007.png,4096,3986,3992,15,21,3971,89,0,0,0.97314453125,0.974609375,0.003662109375,0.005126953125
A1,image,25,tile/test/glue_strip/008.png,4096,4047,4042,14,9,4033,40,0,0,0.988037109375,0.98681640625,0.00341796875,0.002197265625
A1,image,26,tile/test/glue_strip/009.png,4096,4086,4081,5,0,4081,10,0,0,0.99755859375,0.996337890625,0.001220703125,0.0
A1,image,27,tile/test/glue_strip/010.png,4096,3818,3801,46,29,3772,249,0,0,0.93212890625,0.927978515625,0.01123046875,0.007080078125
A1,image,28,tile/test/glue_strip/011.png,4096,4025,4019,17,11,4008,60,0,0,0.982666015625,0.981201171875,0.004150390625,0.002685546875
A1,image,29,tile/test/glue_strip/012.png,4096,3937,3936,11,10,3926,149,0,0,0.961181640625,0.9609375,0.002685546875,0.00244140625
A1,image,30,tile/test/glue_strip/013.png,2240,2237,2239,0,2,2237,1,0,0,0.9986607142857142,0.9995535714285714,0.0,0.0008928571428571428
A1,image,31,tile/test/glue_strip/014.png,4096,3941,3972,4,35,3937,120,0,0,0.962158203125,0.9697265625,0.0009765625,0.008544921875
A1,image,32,tile/test/glue_strip/015.png,4096,4059,4059,2,2,4057,35,0,0,0.990966796875,0.990966796875,0.00048828125,0.00048828125
A1,image,33,tile/test/glue_strip/016.png,3456,3453,3453,0,0,3453,3,0,0,0.9991319444444444,0.9991319444444444,0.0,0.0
A1,image,34,tile/test/glue_strip/017.png,4096,3935,3929,17,11,3918,150,0,0,0.960693359375,0.959228515625,0.004150390625,0.002685546875
A1,image,35,tile/test/good/000.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,36,tile/test/good/001.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,37,tile/test/good/002.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,38,tile/test/good/003.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,39,tile/test/good/004.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,40,tile/test/good/005.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,41,tile/test/good/006.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,42,tile/test/good/007.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,43,tile/test/good/008.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,44,tile/test/good/009.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,45,tile/test/good/010.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,46,tile/test/good/011.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,47,tile/test/good/012.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,48,tile/test/good/013.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,49,tile/test/good/014.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,50,tile/test/good/015.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,51,tile/test/good/016.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,52,tile/test/good/017.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,53,tile/test/good/018.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,54,tile/test/good/019.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,55,tile/test/good/020.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,56,tile/test/good/021.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,57,tile/test/good/022.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,58,tile/test/good/023.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,59,tile/test/good/024.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,60,tile/test/good/025.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,61,tile/test/good/026.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,62,tile/test/good/027.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,63,tile/test/good/028.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,64,tile/test/good/029.png,0,0,0,0,0,0,0,0,0,,,,
