method,scope,image_index,sample_id,n_pairs,l_correct,j_correct,l_correct_j_wrong,l_wrong_j_correct,both_correct,both_wrong,l_tie,j_tie,l_correct_rate,j_correct_rate,l_correct_j_wrong_rate,l_wrong_j_correct_rate
A1,image,0,bottle/test/broken_large/000.png,4096,3941,3933,22,14,3919,141,0,0,0.962158203125,0.960205078125,0.00537109375,0.00341796875
A1,image,1,bottle/test/broken_large/001.png,4096,3986,3995,11,20,3975,90,0,0,0.97314453125,0.975341796875,0.002685546875,0.0048828125
A1,image,2,bottle/test/broken_large/002.png,4096,3881,3875,29,23,3852,192,0,0,0.947509765625,0.946044921875,0.007080078125,0.005615234375
A1,image,3,bottle/test/broken_large/003.png,4096,3707,3688,42,23,3665,366,0,0,0.905029296875,0.900390625,0.01025390625,0.005615234375
A1,image,4,bottle/test/broken_large/004.png,3968,3905,3904,6,5,3899,58,0,0,0.9841229838709677,0.9838709677419355,0.0015120967741935483,0.0012600806451612903
A1,image,5,bottle/test/broken_large/005.png,4096,4021,4012,15,6,4006,69,0,0,0.981689453125,0.9794921875,0.003662109375,0.00146484375
A1,image,6,bottle/test/broken_large/006.png,4096,3590,3593,35,38,3555,468,0,0,0.87646484375,0.877197265625,0.008544921875,0.00927734375
A1,image,7,bottle/test/broken_large/007.png,4096,3921,3927,10,16,3911,159,0,0,0.957275390625,0.958740234375,0.00244140625,0.00390625
A1,image,8,bottle/test/broken_large/008.png,4096,4031,4032,12,13,4019,52,0,0,0.984130859375,0.984375,0.0029296875,0.003173828125
A1,image,9,bottle/test/broken_large/009.png,4096,3888,3889,19,20,3869,188,0,0,0.94921875,0.949462890625,0.004638671875,0.0048828125
A1,image,10,bottle/test/broken_large/010.png,4096,4027,4011,29,13,3998,56,0,0,0.983154296875,0.979248046875,0.007080078125,0.003173828125
A1,image,11,bottle/test/broken_large/011.png,4096,4041,4037,9,5,4032,50,0,0,0.986572265625,0.985595703125,0.002197265625,0.001220703125
A1,image,12,bottle/test/broken_large/012.png,4096,3952,3938,26,12,3926,132,0,0,0.96484375,0.96142578125,0.00634765625,0.0029296875
A1,image,13,bottle/test/broken_large/013.png,4096,3945,3925,27,7,3918,144,0,0,0.963134765625,0.958251953125,0.006591796875,0.001708984375
A1,image,14,bottle/test/broken_large/014.png,4096,3923,3933,24,34,3899,139,0,0,0.957763671875,0.960205078125,0.005859375,0.00830078125
A1,image,15,bottle/test/broken_large/015.png,4096,3893,3872,42,21,3851,182,0,0,0.950439453125,0.9453125,0.01025390625,0.005126953125
A1,image,16,bottle/test/broken_large/016.png,4096,3970,3989,10,29,3960,97,0,0,0.96923828125,0.973876953125,0.00244140625,0.007080078125
A1,image,17,bottle/test/broken_large/017.png,4096,3942,3928,29,15,3913,139,0,0,0.96240234375,0.958984375,0.007080078125,0.003662109375
A1,image,18,bottle/test/broken_large/018.png,4096,3952,3952,21,21,3931,123,0,0,0.96484375,0.96484375,0.005126953125,0.005126953125
A1,image,19,bottle/test/broken_large/019.png,4096,3793,3799,21,27,3772,276,0,0,0.926025390625,0.927490234375,0.005126953125,0.006591796875
A1,image,20,bottle/test/broken_small/000.png,1088,1064,1052,13,1,1051,23,0,0,0.9779411764705882,0.9669117647058824,0.011948529411764705,0.0009191176470588235
A1,image,21,bottle/test/broken_small/001.png,1984,1924,1922,4,2,1920,58,0,0,0.969758064516129,0.96875,0.0020161290322580645,0.0010080645161290322
A1,image,22,bottle/test/broken_small/002.png,3584,3524,3508,20,4,3504,56,0,0,0.9832589285714286,0.9787946428571429,0.005580357142857143,0.0011160714285714285
A1,image,23,bottle/test/broken_small/003.png,4096,3957,3964,20,27,3937,112,0,0,0.966064453125,0.9677734375,0.0048828125,0.006591796875
A1,image,24,bottle/test/broken_small/004.png,3392,3330,3326,5,1,3325,61,0,0,0.9817216981132075,0.9805424528301887,0.001474056603773585,0.00029481132075471697
A1,image,25,bottle/test/broken_small/005.png,1792,1749,1746,9,6,1740,37,0,0,0.9760044642857143,0.9743303571428571,0.005022321428571429,0.0033482142857142855
A1,image,26,bottle/test/broken_small/006.png,2816,2739,2734,11,6,2728,71,0,0,0.97265625,0.9708806818181818,0.00390625,0.002130681818181818
A1,image,27,bottle/test/broken_small/007.png,2176,2141,2141,7,7,2134,28,0,0,0.9839154411764706,0.9839154411764706,0.003216911764705882,0.003216911764705882
A1,image,28,bottle/test/broken_small/008.png,2368,2336,2341,3,8,2333,24,0,0,0.9864864864864865,0.988597972972973,0.001266891891891892,0.0033783783783783786
A1,image,29,bottle/test/broken_small/009.png,2304,2252,2236,17,1,2235,51,0,0,0.9774305555555556,0.9704861111111112,0.007378472222222222,0.00043402777777777775
A1,image,30,bottle/test/broken_small/010.png,4096,4033,4029,8,4,4025,59,0,0,0.984619140625,0.983642578125,0.001953125,0.0009765625
A1,image,31,bottle/test/broken_small/011.png,2176,2168,2163,6,1,2162,7,0,0,0.9963235294117647,0.9940257352941176,0.0027573529411764708,0.00045955882352941176
A1,image,32,bottle/test/broken_small/012.png,4096,4014,4020,13,19,4001,63,0,0,0.97998046875,0.9814453125,0.003173828125,0.004638671875
A1,image,33,bottle/test/broken_small/013.png,3328,3189,3176,32,19,3157,120,0,0,0.9582331730769231,0.9543269230769231,0.009615384615384616,0.005709134615384615
A1,image,34,bottle/test/broken_small/014.png,1792,1762,1764,2,4,1760,26,0,0,0.9832589285714286,0.984375,0.0011160714285714285,0.002232142857142857
A1,image,35,bottle/test/broken_small/015.png,1920,1910,1903,10,3,1900,7,0,0,0.9947916666666666,0.9911458333333333,0.005208333333333333,0.0015625
A1,image,36,bottle/test/broken_small/016.png,2432,2399,2393,15,9,2384,24,0,0,0.9864309210526315,0.9839638157894737,0.006167763157894737,0.003700657894736842
A1,image,37,bottle/test/broken_small/017.png,2432,2344,2358,5,19,2339,69,0,0,0.9638157894736842,0.9695723684210527,0.002055921052631579,0.0078125
A1,image,38,bottle/test/broken_small/018.png,4096,4030,4029,14,13,4016,53,0,0,0.98388671875,0.983642578125,0.00341796875,0.003173828125
A1,image,39,bottle/test/broken_small/019.png,2880,2855,2856,6,7,2849,18,0,0,0.9913194444444444,0.9916666666666667,0.0020833333333333333,0.0024305555555555556
A1,image,40,bottle/test/broken_small/020.png,3456,3387,3368,28,9,3359,60,0,0,0.9800347222222222,0.9745370370370371,0.008101851851851851,0.0026041666666666665
A1,image,41,bottle/test/broken_small/021.png,2048,2028,2026,5,3,2023,17,0,0,0.990234375,0.9892578125,0.00244140625,0.00146484375
