method,image_index,sample_id,image_label,region,grid,boundary_count,patch_count,mean,p05,p25,median,p75,p95,min,max
A1_G,0,bottle/test/broken_large/000.png,1,abnormal_normal,32x32,33,879,0.006963603902052965,0.0,8.222460746765137e-05,0.003613591194152832,0.010530337691307068,0.023520040512084922,0.0,0.06878313422203064
A1_G,0,bottle/test/broken_large/000.png,1,defect,32x32,33,145,0.029158083529307925,0.0038231253623962403,0.011763930320739746,0.021988719701766968,0.04474836587905884,0.06904844045639036,0.00031179189682006836,0.10073152184486389
A1_G,0,bottle/test/broken_large/000.png,1,clean_defect,32x32,33,112,0.03291738113122327,0.0034580603241920476,0.01541639119386673,0.031895846128463745,0.048393040895462036,0.06976456344127653,0.00031179189682006836,0.10073152184486389
A1_G,0,bottle/test/broken_large/000.png,1,boundary,32x32,33,33,0.01639925530462554,0.004804933071136474,0.008585125207901001,0.012831002473831177,0.018480360507965088,0.03749737143516539,0.0024506449699401855,0.07503551244735718
A1_G,1,bottle/test/broken_large/001.png,1,abnormal_normal,32x32,44,885,0.006616439960770688,0.0,0.00016176700592041016,0.0036274194717407227,0.010324954986572266,0.02259843349456787,0.0,0.054498255252838135
A1_G,1,bottle/test/broken_large/001.png,1,defect,32x32,44,139,0.02239208212859339,0.005024176836013794,0.013196960091590881,0.021210789680480957,0.031992316246032715,0.045478010177612306,0.0,0.047944724559783936
A1_G,1,bottle/test/broken_large/001.png,1,clean_defect,32x32,44,95,0.02471225763622083,0.006159499287605286,0.015716969966888428,0.02410060167312622,0.03474348783493042,0.045884785056114194,0.0,0.047944724559783936
A1_G,1,bottle/test/broken_large/001.png,1,boundary,32x32,44,44,0.017382612282579594,0.0043373674154281614,0.010026246309280396,0.016730040311813354,0.022288911044597626,0.03285889774560929,0.003939628601074219,0.047170788049697876
A1_G,2,bottle/test/broken_large/002.png,1,abnormal_normal,32x32,53,809,0.0069573642812641645,0.0,0.0003917813301086426,0.003779470920562744,0.011164546012878418,0.024861919879913274,0.0,0.044810354709625244
A1_G,2,bottle/test/broken_large/002.png,1,defect,32x32,53,215,0.021118250004080838,0.0022248715162277223,0.01115487515926361,0.017685145139694214,0.02999834716320038,0.04685661792755126,0.0,0.07210958003997803
A1_G,2,bottle/test/broken_large/002.png,1,clean_defect,32x32,53,162,0.023879871324256615,0.002310690283775331,0.012281186878681183,0.02202872931957245,0.03392414748668671,0.05041818171739576,0.0,0.07210958003997803
A1_G,2,bottle/test/broken_large/002.png,1,boundary,32x32,53,53,0.012677067855619034,0.002348637580871582,0.007182091474533081,0.0115203857421875,0.016770094633102417,0.024381011724472046,0.0,0.04285097122192383
A1_G,3,bottle/test/broken_large/003.png,1,abnormal_normal,32x32,74,668,0.006578717849211779,0.0,0.0001432672142982483,0.0029864460229873657,0.01081276684999466,0.02406814247369766,0.0,0.06480944156646729
A1_G,3,bottle/test/broken_large/003.png,1,defect,32x32,74,356,0.01747227292717173,0.0012417510151863098,0.006563082337379456,0.01404273509979248,0.024675406515598297,0.04583091288805008,0.0,0.08048230409622192
A1_G,3,bottle/test/broken_large/003.png,1,clean_defect,32x32,74,282,0.018108804175194275,0.0014906615018844605,0.007198594510555267,0.014191895723342896,0.025942206382751465,0.04637030959129333,0.0,0.08048230409622192
A1_G,3,bottle/test/broken_large/003.png,1,boundary,32x32,74,74,0.015046572765788517,0.0008934691548347475,0.005063347518444061,0.012853056192398071,0.023049645125865936,0.037419444322586044,0.0,0.04956692457199097
A1_G,4,bottle/test/broken_large/004.png,1,abnormal_normal,32x32,19,962,0.005605060072797747,0.0,0.00011852383613586426,0.0028056055307388306,0.00831904262304306,0.02282889634370803,0.0,0.0500720739364624
A1_G,4,bottle/test/broken_large/004.png,1,defect,32x32,19,62,0.018783849573904467,0.004070548713207245,0.009351171553134918,0.01864585280418396,0.021966658532619476,0.04312910586595533,0.0016199946403503418,0.06587427854537964
A1_G,4,bottle/test/broken_large/004.png,1,clean_defect,32x32,19,43,0.018000133508859678,0.005014258623123169,0.009357377886772156,0.018732577562332153,0.021564632654190063,0.03452682197093963,0.002177000045776367,0.04571458697319031
A1_G,4,bottle/test/broken_large/004.png,1,boundary,32x32,19,19,0.020557522773742676,0.00378585159778595,0.009621888399124146,0.012534767389297485,0.02732396125793457,0.050685089826583825,0.0016199946403503418,0.06587427854537964
A1_G,5,bottle/test/broken_large/005.png,1,abnormal_normal,32x32,23,959,0.006054948281197652,0.0,0.0002224445343017578,0.0028779208660125732,0.009188607335090637,0.023284170031547542,0.0,0.06501388549804688
A1_G,5,bottle/test/broken_large/005.png,1,defect,32x32,23,65,0.025378713699487538,0.0043090820312500005,0.01266545057296753,0.024974137544631958,0.03826117515563965,0.04676694273948669,0.0,0.055565088987350464
A1_G,5,bottle/test/broken_large/005.png,1,clean_defect,32x32,23,42,0.028623527714184353,0.0065690562129020694,0.019421979784965515,0.03062988817691803,0.038372598588466644,0.050197799503803237,0.005761861801147461,0.055565088987350464
A1_G,5,bottle/test/broken_large/005.png,1,boundary,32x32,23,23,0.01945340115091075,0.0004710823297500611,0.008502870798110962,0.01661992073059082,0.024359330534934998,0.04522616863250732,0.0,0.04569932818412781
A1_G,6,bottle/test/broken_large/006.png,1,abnormal_normal,32x32,37,826,0.007323401964316934,0.0,0.0004226118326187134,0.004535496234893799,0.01141609251499176,0.023630425333976746,0.0,0.042696088552474976
A1_G,6,bottle/test/broken_large/006.png,1,defect,32x32,37,198,0.022712397304448215,0.002978792786598206,0.01311243325471878,0.019808635115623474,0.030311740934848785,0.05225753933191299,0.0,0.08209335803985596
A1_G,6,bottle/test/broken_large/006.png,1,clean_defect,32x32,37,161,0.0242268196914507,0.003457695245742798,0.01494753360748291,0.020168066024780273,0.031591445207595825,0.053994953632354736,0.0,0.08209335803985596
A1_G,6,bottle/test/broken_large/006.png,1,boundary,32x32,37,37,0.016122613404248212,0.00193597674369812,0.007871836423873901,0.01380079984664917,0.023125797510147095,0.03672626614570617,0.00038951635360717773,0.051653921604156494
A1_G,7,bottle/test/broken_large/007.png,1,abnormal_normal,32x32,51,808,0.00700091282920082,0.0,0.00037801265716552734,0.0034379661083221436,0.011227786540985107,0.023857259750366195,0.0,0.05143249034881592
A1_G,7,bottle/test/broken_large/007.png,1,defect,32x32,51,216,0.022574172113780624,0.003991566598415375,0.011679582297801971,0.020051196217536926,0.030958347022533417,0.052742429077625275,0.0,0.07465159893035889
A1_G,7,bottle/test/broken_large/007.png,1,clean_defect,32x32,51,165,0.023633650758049705,0.004050934314727784,0.013372182846069336,0.021210819482803345,0.032391637563705444,0.05275654196739197,0.0,0.07465159893035889
A1_G,7,bottle/test/broken_large/007.png,1,boundary,32x32,51,51,0.019146447088204177,0.004629015922546387,0.009606495499610901,0.014777064323425293,0.02150842547416687,0.04684247076511383,0.0,0.06953862309455872
A1_G,8,bottle/test/broken_large/008.png,1,abnormal_normal,32x32,51,847,0.007924797085972575,0.0,0.0003460496664047241,0.0045716166496276855,0.012548476457595825,0.027442675828933696,0.0,0.08142787218093872
A1_G,8,bottle/test/broken_large/008.png,1,defect,32x32,51,177,0.018220388114789113,0.0027117908000946047,0.008742153644561768,0.015290915966033936,0.026082158088684082,0.04140124320983886,0.0,0.071311354637146
A1_G,8,bottle/test/broken_large/008.png,1,clean_defect,32x32,51,126,0.018629027027932423,0.0024855434894561768,0.008160039782524109,0.015122056007385254,0.027229592204093933,0.043141864240169525,0.0,0.071311354637146
A1_G,8,bottle/test/broken_large/008.png,1,boundary,32x32,51,51,0.017210809623493868,0.0044340938329696655,0.010810673236846924,0.015293002128601074,0.021100342273712158,0.035344988107681274,0.002724945545196533,0.05245670676231384
A1_G,9,bottle/test/broken_large/009.png,1,abnormal_normal,32x32,34,902,0.006054208872059232,0.0,0.00010778754949569702,0.0030008405447006226,0.009642452001571655,0.021631942689418784,0.0,0.05979520082473755
A1_G,9,bottle/test/broken_large/009.png,1,defect,32x32,34,122,0.017913395019828297,0.002883376181125641,0.008856646716594696,0.016711577773094177,0.0231664776802063,0.039982357621192906,0.0,0.08419904112815857
