method,pixel_auroc,pixel_ap,image_auroc,image_ap,image_f1_max
B,0.933937248685671,0.5892471132428609,0.9055472263868065,0.952340328697516,0.869047619047619
S,0.9644241716146168,0.6417673416373184,0.9372188905547226,0.9683273987170729,0.9122807017543859
C,0.920225524894229,0.412302144849798,0.9122938530734633,0.9441772451816399,0.8756756756756756
A1_J,0.9631233242050717,0.6270657585433589,0.9557721139430285,0.97388317226791,0.9230769230769231
TRI_J,0.9665264109729325,0.6451310888927976,0.9550224887556221,0.9749798615409849,0.9119170984455958
BAL_J,0.971304473609149,0.6485511393161907,0.9657046476761619,0.9795694726304776,0.9289617486338797
DUP_J,0.9549591303948057,0.6156723766419145,0.9405922038980509,0.9674010722321296,0.9032258064516129
DUP_BAL_J,0.9631233242050717,0.6270657585433589,0.9557721139430285,0.97388317226791,0.9230769230769231
DUP_EXPECTED_J,0.9549591303948057,0.6156723766419145,0.9405922038980509,0.9674010722321296,0.9032258064516129
A1_L,0.9598101661031349,0.6127340738887095,0.9497751124437781,0.9725478965951394,0.8999999999999999
DUP_L,0.9507985852472295,0.6050221796581914,0.93215892053973,0.9644645316913543,0.8941176470588235
TRI_L,0.9662190710548326,0.6430526751011264,0.9396551724137931,0.9689488086317282,0.8972972972972973
BAL_L,0.9711234700558327,0.6446268458625608,0.9510869565217391,0.9734183103413245,0.9109947643979057
