method,pixel_auroc,pixel_ap,image_auroc,image_ap,image_f1_max
B,0.9761347580773962,0.495677747487823,0.9134423613881132,0.9689489961427427,0.96
S,0.9844580931143823,0.47523859170989496,0.9270043877143997,0.9840511780501389,0.9427312775330396
C,0.9817800370378031,0.4257090025859431,0.9489429597128042,0.98889980214701,0.9519650655021834
A1_J,0.9823068389653975,0.5183659416918099,0.9381731152772238,0.9809304572055333,0.96
TRI_J,0.9834315513853801,0.5159765162025576,0.9397686477861986,0.9832164062198075,0.96
BAL_J,0.9840549459487561,0.5167453182713431,0.947746310331073,0.9860538801282037,0.9686098654708519
DUP_J,0.9810438228503781,0.5147527563589585,0.9325887514958119,0.9783822515462632,0.9686098654708519
DUP_BAL_J,0.9823068389653975,0.5183659416918099,0.9381731152772238,0.9809304572055333,0.96
DUP_EXPECTED_J,0.9810438228503781,0.5147527563589585,0.9325887514958119,0.9783822515462632,0.9686098654708519
A1_L,0.9836849363247805,0.5204010854242567,0.9385719984044675,0.9816328049178792,0.9729729729729731
DUP_L,0.9812775733280776,0.5128743384888281,0.9301954527323495,0.9781936906013879,0.9683257918552036
TRI_L,0.9855048606714036,0.5170755094735959,0.9389708815317113,0.98431100811282,0.958904109589041
BAL_L,0.9866685777115696,0.5207131351184281,0.9437574790586358,0.9857863689572295,0.9642857142857143
