config,base,permuted_branch,permutation_index,mean_delta,mean_abs_delta,max_abs_delta,frac_changed_gt_1e-6,defect_mean_abs_delta,defect_mean_delta,defect_n_patches,normal_mean_abs_delta,normal_mean_delta,normal_n_patches
A1_J__perm_C_cross_p00,A1_J,C_cross,00,-0.004167436622083187,0.008341364562511444,0.09525620937347412,0.9999499198717948,0.015085425227880478,-0.011971850879490376,1515,0.008210971020162106,-0.004016541410237551,78357
A1_J__perm_C_cross_p01,A1_J,C_cross,01,-0.006252489984035492,0.00998285599052906,0.09525620937347412,0.9999624399038461,0.015594585798680782,-0.012602106668055058,1515,0.009874355979263783,-0.006129722110927105,78357
A1_J__perm_C_cross_p02,A1_J,C_cross,02,-0.006482108496129513,0.009971278719604015,0.08983075618743896,0.9999248798076923,0.01593654416501522,-0.01342044398188591,1515,0.00985594280064106,-0.006347958464175463,78357
A1_J__perm_C_within_p00,A1_J,C_within,00,-0.005319033749401569,0.008792356587946415,0.0945647656917572,0.9981219951923077,0.01284918561577797,-0.009777207858860493,1515,0.0087139206007123,-0.005232836585491896,78357
A1_J__perm_C_within_p01,A1_J,C_within,01,-0.005396954715251923,0.008769054897129536,0.09101259708404541,0.9989232772435898,0.012318466790020466,-0.00948866456747055,1515,0.00870042759925127,-0.005317843519151211,78357
A1_J__perm_C_within_p02,A1_J,C_within,02,-0.005284409038722515,0.008738035336136818,0.10817718505859375,0.9989483173076923,0.012228506617248058,-0.008132408373057842,1515,0.008670549839735031,-0.005229344125837088,78357
BAL_J__perm_C_cross_p00,BAL_J,C_cross,00,-0.004614048171788454,0.008083506487309933,0.09431317448616028,0.9998747996794872,0.017583521082997322,-0.015470641665160656,1515,0.00789982732385397,-0.00440414110198617,78357
BAL_J__perm_C_cross_p01,BAL_J,C_cross,01,-0.007373734377324581,0.01035014633089304,0.11202067136764526,0.9998998397435898,0.018392961472272873,-0.01642497442662716,1515,0.010194642469286919,-0.007198731880635023,78357
BAL_J__perm_C_cross_p02,BAL_J,C_cross,02,-0.00750544061884284,0.010269448161125183,0.11202067136764526,0.9998747996794872,0.018354114145040512,-0.016595253720879555,1515,0.010113134980201721,-0.00732969306409359,78357
BAL_J__perm_C_within_p00,BAL_J,C_within,00,-0.0052848574705421925,0.008325573988258839,0.09239797294139862,0.9982096354166666,0.014063690789043903,-0.012024016119539738,1515,0.008214629255235195,-0.005154558457434177,78357
BAL_J__perm_C_within_p01,BAL_J,C_within,01,-0.005198918282985687,0.008198762312531471,0.08702124655246735,0.9988731971153846,0.012011355720460415,-0.009859091602265835,1515,0.008125047199428082,-0.0051088156178593636,78357
BAL_J__perm_C_within_p02,BAL_J,C_within,02,-0.0051461257971823215,0.008222842589020729,0.10961069166660309,0.9991110777243589,0.011319072917103767,-0.008122996427118778,1515,0.008162979036569595,-0.005088570062071085,78357
BAL_J__perm_S_cross_p00,BAL_J,S_cross,00,-0.011937342584133148,0.0130423279479146,0.1890053004026413,0.9999624399038461,0.02191730961203575,-0.021303843706846237,1515,0.012870735488831997,-0.011756244115531445,78357
BAL_J__perm_S_cross_p01,BAL_J,S_cross,01,-0.015719657763838768,0.016553210094571114,0.1950646936893463,0.9999624399038461,0.022435257211327553,-0.021603208035230637,1515,0.01643948443233967,-0.01560590323060751,78357
BAL_J__perm_S_cross_p02,BAL_J,S_cross,02,-0.015068130567669868,0.01591077446937561,0.1731632947921753,0.9999624399038461,0.02187899872660637,-0.021044954657554626,1515,0.015795379877090454,-0.01495257019996643,78357
BAL_J__perm_S_within_p00,BAL_J,S_within,00,-0.02388300560414791,0.02406229078769684,0.1925361007452011,0.9978841145833334,0.025608422234654427,-0.02536231279373169,1515,0.02403239905834198,-0.02385440468788147,78357
BAL_J__perm_S_within_p01,BAL_J,S_within,01,-0.022939424961805344,0.023152342066168785,0.18096482753753662,0.9987605168269231,0.025228876620531082,-0.024961959570646286,1515,0.023112192749977112,-0.02290032058954239,78357
BAL_J__perm_S_within_p02,BAL_J,S_within,02,-0.0232990849763155,0.02350129373371601,0.1706555187702179,0.9989107572115384,0.023976044729351997,-0.023641137406229973,1515,0.0234921146184206,-0.02329247258603573,78357
TRI_J__perm_C_cross_p00,TRI_J,C_cross,00,-0.00364622101187706,0.007288084365427494,0.0800931453704834,0.9999248798076923,0.014111652970314026,-0.012162283062934875,1515,0.007156153675168753,-0.003481566905975342,78357
TRI_J__perm_C_cross_p01,TRI_J,C_cross,01,-0.005689031444489956,0.008832971565425396,0.09427602589130402,0.9999123597756411,0.014695415273308754,-0.012831879779696465,1515,0.008719622157514095,-0.005550927948206663,78357
TRI_J__perm_C_cross_p02,TRI_J,C_cross,02,-0.005866292864084244,0.008839539252221584,0.09427602589130402,0.9999123597756411,0.014696982689201832,-0.013035138137638569,1515,0.008726287633180618,-0.005727686453610659,78357
TRI_J__perm_C_within_p00,TRI_J,C_within,00,-0.0043636164627969265,0.007720910012722015,0.08973823487758636,0.998046875,0.011391869746148586,-0.009555489756166935,1515,0.007649934384971857,-0.0042632343247532845,78357
TRI_J__perm_C_within_p01,TRI_J,C_within,01,-0.004274794366210699,0.007602130062878132,0.07285940647125244,0.9987730368589743,0.009313704445958138,-0.007213144563138485,1515,0.007569036912173033,-0.004217982292175293,78357
TRI_J__perm_C_within_p02,TRI_J,C_within,02,-0.004194222390651703,0.007591755595058203,0.10261158645153046,0.9990359575320513,0.008830762468278408,-0.0060554188676178455,1515,0.007567801047116518,-0.004158237017691135,78357
TRI_J__perm_S_cross_p00,TRI_J,S_cross,00,-0.01506662555038929,0.01632576808333397,0.2411922812461853,0.9999749599358975,0.027314594015479088,-0.02662786655128002,1515,0.01611330360174179,-0.014843094162642956,78357
TRI_J__perm_S_cross_p01,TRI_J,S_cross,01,-0.01939348317682743,0.020382767543196678,0.2546347975730896,0.9999624399038461,0.028077591210603714,-0.02706054039299488,1515,0.020233992487192154,-0.019245246425271034,78357
TRI_J__perm_S_cross_p02,TRI_J,S_cross,02,-0.018347429111599922,0.019352618604898453,0.23058712482452393,0.9999499198717948,0.02686687931418419,-0.02586744725704193,1515,0.019207334145903587,-0.018202031031250954,78357
TRI_J__perm_S_within_p00,TRI_J,S_within,00,-0.030164074152708054,0.0303548201918602,0.24823138117790222,0.9975085136217948,0.03291238099336624,-0.03269917145371437,1515,0.030305374413728714,-0.03011506050825119,78357
TRI_J__perm_S_within_p01,TRI_J,S_within,01,-0.02890847623348236,0.02914130687713623,0.22904320061206818,0.9986478365384616,0.032454460859298706,-0.03218730911612511,1515,0.02907724864780903,-0.028845082968473434,78357
TRI_J__perm_S_within_p02,TRI_J,S_within,02,-0.029414759948849678,0.02963951975107193,0.22240856289863586,0.9988982371794872,0.03063100017607212,-0.03024333342909813,1515,0.029620349407196045,-0.029398737475275993,78357
