method,pixel_auroc,pixel_ap,image_auroc,image_ap,image_f1_max
B,0.9274202598594827,0.10079739625672733,0.7458495593359296,0.8515844364335591,0.8830188679245283
S,0.9339541721182352,0.16040528754813912,0.8270137323221972,0.9120719861961021,0.8835341365461847
C,0.9633871255803876,0.14651245589349665,0.7729042836646853,0.8836912951326519,0.8745247148288973
A1_J,0.9549086046949141,0.18334831930562256,0.7790530846484935,0.8754025512467969,0.896
TRI_J,0.9491519831504429,0.1918153310449374,0.8128714900594385,0.9060318706741968,0.88715953307393
BAL_J,0.95702837096474,0.22424445177596383,0.8138962902234064,0.9059384710186439,0.8906882591093118
DUP_J,0.9456026489558531,0.1423039054261373,0.7675753228120517,0.8656430586088326,0.889763779527559
DUP_BAL_J,0.9549086046949141,0.18334831930562256,0.7790530846484935,0.8754025512467969,0.896
DUP_EXPECTED_J,0.9456026489558531,0.1423039054261373,0.7675753228120517,0.8656430586088326,0.889763779527559
A1_L,0.9537750639759566,0.16243075154634032,0.8007788481246157,0.8833560344201494,0.8984375
DUP_L,0.9433101588865481,0.13230549889812288,0.7765935642549703,0.8680567060104808,0.9019607843137255
TRI_L,0.9530168967707222,0.17336002591623717,0.8321377331420373,0.8990770619478328,0.900398406374502
BAL_L,0.9609576766363277,0.2001947615999533,0.847304775568764,0.9078379845239604,0.9061224489795918
