method,scope,image_index,sample_id,n_pairs,l_correct,j_correct,l_correct_j_wrong,l_wrong_j_correct,both_correct,both_wrong,l_tie,j_tie,l_correct_rate,j_correct_rate,l_correct_j_wrong_rate,l_wrong_j_correct_rate
A1,image,0,transistor/test/bent_lead/000.png,640,638,636,3,1,635,1,0,0,0.996875,0.99375,0.0046875,0.0015625
A1,image,1,transistor/test/bent_lead/001.png,320,260,254,16,10,244,50,0,0,0.8125,0.79375,0.05,0.03125
A1,image,2,transistor/test/bent_lead/002.png,1088,900,886,42,28,858,160,0,0,0.8272058823529411,0.8143382352941176,0.03860294117647059,0.025735294117647058
A1,image,3,transistor/test/bent_lead/003.png,1216,1072,1051,34,13,1038,131,0,0,0.881578947368421,0.8643092105263158,0.027960526315789474,0.01069078947368421
A1,image,4,transistor/test/bent_lead/004.png,640,634,620,14,0,620,6,0,0,0.990625,0.96875,0.021875,0.0
A1,image,5,transistor/test/bent_lead/005.png,1920,1613,1618,54,59,1559,248,0,0,0.8401041666666667,0.8427083333333333,0.028125,0.030729166666666665
A1,image,6,transistor/test/bent_lead/006.png,4032,3101,2998,187,84,2914,847,0,0,0.7690972222222222,0.7435515873015873,0.046378968253968256,0.020833333333333332
A1,image,7,transistor/test/bent_lead/007.png,3456,2882,2762,178,58,2704,516,0,0,0.8339120370370371,0.7991898148148148,0.05150462962962963,0.01678240740740741
A1,image,8,transistor/test/bent_lead/008.png,3968,3197,3219,112,134,3085,637,0,0,0.805695564516129,0.8112399193548387,0.028225806451612902,0.03377016129032258
A1,image,9,transistor/test/bent_lead/009.png,1344,1276,1254,32,10,1244,58,0,0,0.9494047619047619,0.9330357142857143,0.023809523809523808,0.00744047619047619
A1,image,10,transistor/test/cut_lead/000.png,1472,916,904,82,70,834,486,0,0,0.6222826086956522,0.6141304347826086,0.05570652173913043,0.04755434782608696
A1,image,11,transistor/test/cut_lead/001.png,1920,1389,1378,102,91,1287,440,0,0,0.7234375,0.7177083333333333,0.053125,0.04739583333333333
A1,image,12,transistor/test/cut_lead/002.png,1280,1034,1075,34,75,1000,171,0,0,0.8078125,0.83984375,0.0265625,0.05859375
A1,image,13,transistor/test/cut_lead/003.png,1792,999,987,89,77,910,716,0,0,0.5574776785714286,0.55078125,0.04966517857142857,0.04296875
A1,image,14,transistor/test/cut_lead/004.png,4032,2738,2568,311,141,2427,1153,0,0,0.6790674603174603,0.6369047619047619,0.07713293650793651,0.034970238095238096
A1,image,15,transistor/test/cut_lead/005.png,1408,950,884,94,28,856,430,0,0,0.6747159090909091,0.6278409090909091,0.06676136363636363,0.019886363636363636
A1,image,16,transistor/test/cut_lead/006.png,1600,855,839,80,64,775,681,0,0,0.534375,0.524375,0.05,0.04
A1,image,17,transistor/test/cut_lead/007.png,1216,740,738,55,53,685,423,0,0,0.6085526315789473,0.6069078947368421,0.04523026315789474,0.04358552631578947
A1,image,18,transistor/test/cut_lead/008.png,2304,1375,1419,121,165,1254,764,0,0,0.5967881944444444,0.6158854166666666,0.05251736111111111,0.07161458333333333
A1,image,19,transistor/test/cut_lead/009.png,1792,1301,1285,71,55,1230,436,0,0,0.7260044642857143,0.7170758928571429,0.03962053571428571,0.030691964285714284
A1,image,20,transistor/test/damaged_case/000.png,1856,1718,1665,70,17,1648,121,0,0,0.9256465517241379,0.8970905172413793,0.03771551724137931,0.009159482758620689
A1,image,21,transistor/test/damaged_case/001.png,4096,3847,3817,55,25,3792,224,0,0,0.939208984375,0.931884765625,0.013427734375,0.006103515625
A1,image,22,transistor/test/damaged_case/002.png,768,723,708,23,8,700,37,0,0,0.94140625,0.921875,0.029947916666666668,0.010416666666666666
A1,image,23,transistor/test/damaged_case/003.png,1664,1535,1511,31,7,1504,122,0,0,0.9224759615384616,0.9080528846153846,0.018629807692307692,0.004206730769230769
A1,image,24,transistor/test/damaged_case/004.png,3328,3258,3257,9,8,3249,62,0,0,0.9789663461538461,0.9786658653846154,0.002704326923076923,0.002403846153846154
