method,pixel_auroc,pixel_ap,image_auroc,image_ap,image_f1_max
B,0.895049155126687,0.47394738042287293,0.9375,0.9206079276421181,0.8533333333333333
S,0.9123824267600282,0.5322433238586542,0.9454166666666668,0.9133284760825573,0.8831168831168831
C,0.8733963836826026,0.38612431368025824,0.9158333333333333,0.8766516326892192,0.8192771084337349
A1_J,0.9071290372936236,0.4792369812229436,0.9529166666666666,0.9373165835154439,0.8684210526315789
TRI_J,0.9077375437412942,0.5082962599042,0.9679166666666666,0.9542291197046349,0.9156626506024096
BAL_J,0.9113113600796052,0.5040346532421273,0.96625,0.9522696300651765,0.9156626506024096
DUP_J,0.9033044019554777,0.48034299601190633,0.95125,0.9377221658332329,0.8607594936708861
DUP_BAL_J,0.9071290372936236,0.4792369812229436,0.9529166666666666,0.9373165835154439,0.8684210526315789
DUP_EXPECTED_J,0.9033044019554777,0.48034299601190633,0.95125,0.9377221658332329,0.8607594936708861
A1_L,0.9143658157817969,0.4921353611303637,0.9537500000000001,0.9417837793218531,0.8684210526315789
DUP_L,0.9069315664537061,0.48598511779000797,0.9458333333333333,0.9315027310883818,0.8533333333333333
TRI_L,0.9202625644784768,0.5265283086197681,0.9700000000000001,0.9578324539984342,0.925
BAL_L,0.92561696970143,0.5276370262342973,0.9704166666666667,0.9581643806325592,0.9135802469135802
