method,scope,image_index,sample_id,n_pairs,l_correct,j_correct,l_correct_j_wrong,l_wrong_j_correct,both_correct,both_wrong,l_tie,j_tie,l_correct_rate,j_correct_rate,l_correct_j_wrong_rate,l_wrong_j_correct_rate
A1,image,0,cable/test/bent_wire/000.png,2880,2822,2824,10,12,2812,46,0,0,0.9798611111111111,0.9805555555555555,0.003472222222222222,0.004166666666666667
A1,image,1,cable/test/bent_wire/001.png,1728,1700,1696,11,7,1689,21,0,0,0.9837962962962963,0.9814814814814815,0.00636574074074074,0.004050925925925926
A1,image,2,cable/test/bent_wire/002.png,3456,3377,3357,32,12,3345,67,0,0,0.9771412037037037,0.9713541666666666,0.009259259259259259,0.003472222222222222
A1,image,3,cable/test/bent_wire/003.png,1664,1641,1631,12,2,1629,21,0,0,0.9861778846153846,0.9801682692307693,0.007211538461538462,0.001201923076923077
A1,image,4,cable/test/bent_wire/004.png,4032,3964,3971,7,14,3957,54,0,0,0.9831349206349206,0.9848710317460317,0.001736111111111111,0.003472222222222222
A1,image,5,cable/test/bent_wire/005.png,3776,3712,3708,20,16,3692,48,0,0,0.9830508474576272,0.9819915254237288,0.005296610169491525,0.00423728813559322
A1,image,6,cable/test/bent_wire/006.png,4096,4004,4009,11,16,3993,76,0,0,0.9775390625,0.978759765625,0.002685546875,0.00390625
A1,image,7,cable/test/bent_wire/007.png,4096,3986,4018,14,46,3972,64,0,0,0.97314453125,0.98095703125,0.00341796875,0.01123046875
A1,image,8,cable/test/bent_wire/008.png,2112,2008,2019,16,27,1992,77,0,0,0.9507575757575758,0.9559659090909091,0.007575757575757576,0.01278409090909091
A1,image,9,cable/test/bent_wire/009.png,4096,4077,4071,8,2,4069,17,0,0,0.995361328125,0.993896484375,0.001953125,0.00048828125
A1,image,10,cable/test/bent_wire/010.png,4096,4066,4068,4,6,4062,24,0,0,0.99267578125,0.9931640625,0.0009765625,0.00146484375
A1,image,11,cable/test/bent_wire/011.png,4096,4083,4071,13,1,4070,12,0,0,0.996826171875,0.993896484375,0.003173828125,0.000244140625
A1,image,12,cable/test/bent_wire/012.png,4096,4045,4060,6,21,4039,30,0,0,0.987548828125,0.9912109375,0.00146484375,0.005126953125
A1,image,13,cable/test/cable_swap/000.png,4096,3024,3114,148,238,2876,834,0,0,0.73828125,0.76025390625,0.0361328125,0.05810546875
A1,image,14,cable/test/cable_swap/001.png,4096,3152,3147,169,164,2983,780,0,0,0.76953125,0.768310546875,0.041259765625,0.0400390625
A1,image,15,cable/test/cable_swap/002.png,4096,3405,3450,111,156,3294,535,0,0,0.831298828125,0.84228515625,0.027099609375,0.0380859375
A1,image,16,cable/test/cable_swap/003.png,4096,3390,3493,123,226,3267,480,0,0,0.82763671875,0.852783203125,0.030029296875,0.05517578125
A1,image,17,cable/test/cable_swap/004.png,4096,2819,2938,115,234,2704,1043,0,0,0.688232421875,0.71728515625,0.028076171875,0.05712890625
A1,image,18,cable/test/cable_swap/005.png,4096,3464,3514,94,144,3370,488,0,0,0.845703125,0.85791015625,0.02294921875,0.03515625
A1,image,19,cable/test/cable_swap/006.png,4096,3084,3008,213,137,2871,875,0,0,0.7529296875,0.734375,0.052001953125,0.033447265625
A1,image,20,cable/test/cable_swap/007.png,4096,2905,3003,137,235,2768,956,0,0,0.709228515625,0.733154296875,0.033447265625,0.057373046875
A1,image,21,cable/test/cable_swap/008.png,4096,3441,3438,116,113,3325,542,0,0,0.840087890625,0.83935546875,0.0283203125,0.027587890625
A1,image,22,cable/test/cable_swap/009.png,4096,3177,3289,188,300,2989,619,0,0,0.775634765625,0.802978515625,0.0458984375,0.0732421875
A1,image,23,cable/test/cable_swap/010.png,4096,3383,3430,170,217,3213,496,0,0,0.825927734375,0.83740234375,0.04150390625,0.052978515625
A1,image,24,cable/test/cable_swap/011.png,4096,3368,3511,95,238,3273,490,0,0,0.822265625,0.857177734375,0.023193359375,0.05810546875
A1,image,25,cable/test/combined/000.png,4096,4070,4066,19,15,4051,11,0,0,0.99365234375,0.99267578125,0.004638671875,0.003662109375
A1,image,26,cable/test/combined/001.png,4096,3968,3960,28,20,3940,108,0,0,0.96875,0.966796875,0.0068359375,0.0048828125
A1,image,27,cable/test/combined/002.png,3008,2942,2947,12,17,2930,49,0,0,0.9780585106382979,0.979720744680851,0.003989361702127659,0.005651595744680851
A1,image,28,cable/test/combined/003.png,4096,3966,3952,35,21,3931,109,0,0,0.96826171875,0.96484375,0.008544921875,0.005126953125
A1,image,29,cable/test/combined/004.png,4096,3533,3509,85,61,3448,502,0,0,0.862548828125,0.856689453125,0.020751953125,0.014892578125
A1,image,30,cable/test/combined/005.png,4096,3414,3408,142,136,3272,546,0,0,0.83349609375,0.83203125,0.03466796875,0.033203125
A1,image,31,cable/test/combined/006.png,4096,3791,3860,32,101,3759,204,0,0,0.925537109375,0.9423828125,0.0078125,0.024658203125
A1,image,32,cable/test/combined/007.png,4096,3607,3592,85,70,3522,419,0,0,0.880615234375,0.876953125,0.020751953125,0.01708984375
A1,image,33,cable/test/combined/008.png,4096,4013,3993,30,10,3983,73,0,0,0.979736328125,0.974853515625,0.00732421875,0.00244140625
A1,image,34,cable/test/combined/009.png,4096,3487,3406,147,66,3340,543,0,0,0.851318359375,0.83154296875,0.035888671875,0.01611328125
A1,image,35,cable/test/combined/010.png,4096,3731,3781,26,76,3705,289,0,0,0.910888671875,0.923095703125,0.00634765625,0.0185546875
A1,image,36,cable/test/cut_inner_insulation/000.png,3392,3211,3179,62,30,3149,151,0,0,0.9466391509433962,0.9372051886792453,0.018278301886792452,0.00884433962264151
A1,image,37,cable/test/cut_inner_insulation/001.png,2944,2849,2828,35,14,2814,81,0,0,0.9677309782608695,0.9605978260869565,0.01188858695652174,0.004755434782608696
A1,image,38,cable/test/cut_inner_insulation/002.png,2880,2773,2731,58,16,2715,91,0,0,0.9628472222222222,0.9482638888888889,0.02013888888888889,0.005555555555555556
A1,image,39,cable/test/cut_inner_insulation/003.png,4096,3850,3816,83,49,3767,197,0,0,0.93994140625,0.931640625,0.020263671875,0.011962890625
A1,image,40,cable/test/cut_inner_insulation/004.png,4032,3702,3742,23,63,3679,267,0,0,0.9181547619047619,0.9280753968253969,0.005704365079365079,0.015625
A1,image,41,cable/test/cut_inner_insulation/005.png,2880,2588,2614,34,60,2554,232,0,0,0.8986111111111111,0.9076388888888889,0.011805555555555555,0.020833333333333332
A1,image,42,cable/test/cut_inner_insulation/006.png,2240,2143,2136,29,22,2114,75,0,0,0.9566964285714286,0.9535714285714286,0.012946428571428572,0.009821428571428571
A1,image,43,cable/test/cut_inner_insulation/007.png,4096,3703,3573,173,43,3530,350,0,0,0.904052734375,0.872314453125,0.042236328125,0.010498046875
A1,image,44,cable/test/cut_inner_insulation/008.png,2880,2683,2616,97,30,2586,167,0,0,0.9315972222222222,0.9083333333333333,0.033680555555555554,0.010416666666666666
A1,image,45,cable/test/cut_inner_insulation/009.png,4096,3901,3879,58,36,3843,159,0,0,0.952392578125,0.947021484375,0.01416015625,0.0087890625
A1,image,46,cable/test/cut_inner_insulation/010.png,3264,3099,3058,59,18,3040,147,0,0,0.9494485294117647,0.9368872549019608,0.018075980392156864,0.0055147058823529415
A1,image,47,cable/test/cut_inner_insulation/011.png,4096,3680,3560,175,55,3505,361,0,0,0.8984375,0.869140625,0.042724609375,0.013427734375
A1,image,48,cable/test/cut_inner_insulation/012.png,4096,3717,3681,89,53,3628,326,0,0,0.907470703125,0.898681640625,0.021728515625,0.012939453125
