method,pixel_auroc,pixel_ap,image_auroc,image_ap,image_f1_max
B,0.9942932948014951,0.5167827410276759,1.0,1.0000000000000002,1.0
S,0.9919435432096559,0.4339991736654729,1.0,1.0000000000000002,1.0
C,0.9558721511959091,0.2735415876652746,0.9883040935672515,0.9956219101402213,0.9739130434782608
A1_J,0.9938758964806911,0.4756407170192306,1.0,1.0000000000000002,1.0
TRI_J,0.993825466309322,0.47181008699642746,1.0,1.0000000000000002,1.0
BAL_J,0.993443505965171,0.4575473405281541,1.0,1.0000000000000002,1.0
DUP_J,0.9942085616516612,0.5006973978257485,1.0,1.0000000000000002,1.0
DUP_BAL_J,0.9938758964806911,0.4756407170192306,1.0,1.0000000000000002,1.0
DUP_EXPECTED_J,0.9942085616516612,0.5006973978257485,1.0,1.0000000000000002,1.0
A1_L,0.9941771722001637,0.5079793005302862,0.9991645781119465,0.9996975196612223,0.9913043478260869
DUP_L,0.9943583205872915,0.5197683636335625,0.9991645781119465,0.9996975196612223,0.9913043478260869
TRI_L,0.994066116337796,0.4896740034295757,1.0,1.0000000000000002,1.0
BAL_L,0.9937703878763489,0.4791577607621479,1.0,1.0000000000000002,1.0
