config,base,permuted_branch,permutation_index,mean_delta,mean_abs_delta,max_abs_delta,frac_changed_gt_1e-6,defect_mean_abs_delta,defect_mean_delta,defect_n_patches,normal_mean_abs_delta,normal_mean_delta,normal_n_patches
A1_J__perm_C_cross_p00,A1_J,C_cross,00,-0.003294361988082528,0.006640766281634569,0.09545931220054626,0.7878736413043478,0.007237120997160673,-0.0033689422998577356,16839,0.006541263312101364,-0.0032819174230098724,100921
A1_J__perm_C_cross_p01,A1_J,C_cross,01,-0.003757206257432699,0.008220923133194447,0.11374282836914062,0.9998216711956521,0.009007939137518406,-0.004063735716044903,16839,0.008089608512818813,-0.0037060605827718973,100921
A1_J__perm_C_cross_p02,A1_J,C_cross,02,-0.0037327504251152277,0.007728924043476582,0.08397474884986877,0.9165506114130435,0.008809954859316349,-0.003443509805947542,16839,0.007548551075160503,-0.003781011560931802,100921
A1_J__perm_C_within_p00,A1_J,C_within,00,-0.01753353327512741,0.01926916278898716,0.1268480122089386,0.9988536005434783,0.018792759627103806,-0.01604638248682022,16839,0.01934865489602089,-0.017781667411327362,100921
A1_J__perm_C_within_p01,A1_J,C_within,01,-0.018404116854071617,0.020064648240804672,0.12093603610992432,0.9989470108695652,0.019327795132994652,-0.016656730324029922,16839,0.02018759585916996,-0.01869567297399044,100921
A1_J__perm_C_within_p02,A1_J,C_within,02,-0.018031159415841103,0.01975019834935665,0.1264200508594513,0.9992442255434782,0.019094856455922127,-0.016272369772195816,16839,0.019859546795487404,-0.01832462102174759,100921
BAL_J__perm_C_cross_p00,BAL_J,C_cross,00,-0.0032187022734433413,0.006068947724997997,0.08821544051170349,0.7936396059782609,0.006201801355928183,-0.003093109233304858,16839,0.006046780385077,-0.0032396577298641205,100921
BAL_J__perm_C_cross_p01,BAL_J,C_cross,01,-0.003750072093680501,0.00753752188757062,0.1064060777425766,0.9998811141304348,0.008065876550972462,-0.004059945698827505,16839,0.00744936428964138,-0.003698368789628148,100921
BAL_J__perm_C_cross_p02,BAL_J,C_cross,02,-0.0037604602985084057,0.0071113076992332935,0.09351716935634613,0.9167034646739131,0.007987040095031261,-0.0038414171431213617,16839,0.006965188775211573,-0.0037469526287168264,100921
BAL_J__perm_C_within_p00,BAL_J,C_within,00,-0.016750717535614967,0.018114401027560234,0.12596562504768372,0.9989130434782608,0.01746676117181778,-0.015419128350913525,16839,0.018222462385892868,-0.016972897574305534,100921
BAL_J__perm_C_within_p01,BAL_J,C_within,01,-0.01749885268509388,0.018811296671628952,0.12241655588150024,0.9989470108695652,0.01799614168703556,-0.01588747277855873,16839,0.018947305157780647,-0.017767716199159622,100921
BAL_J__perm_C_within_p02,BAL_J,C_within,02,-0.01710449531674385,0.018456943333148956,0.11403259634971619,0.9990658967391305,0.017353316769003868,-0.015226112678647041,16839,0.018641088157892227,-0.01741791144013405,100921
BAL_J__perm_S_cross_p00,BAL_J,S_cross,00,-0.006386174354702234,0.007263107690960169,0.1306149661540985,0.7643682065217391,0.006825161166489124,-0.005986383650451899,16839,0.007336180191487074,-0.006452880799770355,100921
BAL_J__perm_S_cross_p01,BAL_J,S_cross,01,-0.009660554118454456,0.010823683813214302,0.15042364597320557,0.9999490489130435,0.011082423850893974,-0.010082988068461418,16839,0.010780511423945427,-0.009590068832039833,100921
BAL_J__perm_S_cross_p02,BAL_J,S_cross,02,-0.008489241823554039,0.009526955895125866,0.11755642294883728,0.9050951086956521,0.010521313175559044,-0.009469819255173206,16839,0.009361042641103268,-0.008325628936290741,100921
BAL_J__perm_S_within_p00,BAL_J,S_within,00,-0.04025209695100784,0.04030102491378784,0.1687089502811432,0.9987686820652174,0.03291159123182297,-0.03281455487012863,16839,0.04153396561741829,-0.04149307683110237,100921
BAL_J__perm_S_within_p01,BAL_J,S_within,01,-0.0414486788213253,0.04148166626691818,0.1958146095275879,0.9989130434782608,0.03305789455771446,-0.03300934284925461,16839,0.04288719221949577,-0.04285680875182152,100921
BAL_J__perm_S_within_p02,BAL_J,S_within,02,-0.04177146404981613,0.041815485805273056,0.17597925662994385,0.9989894701086957,0.03333689272403717,-0.03324035555124283,16839,0.04323015734553337,-0.04319491982460022,100921
TRI_J__perm_C_cross_p00,TRI_J,C_cross,00,-0.003083246760070324,0.005847644992172718,0.08720096200704575,0.7814113451086957,0.00591491162776947,-0.0029397523030638695,16839,0.00583642115816474,-0.0031071894336491823,100921
TRI_J__perm_C_cross_p01,TRI_J,C_cross,01,-0.003437564941123128,0.00712457625195384,0.08613202720880508,0.9998131793478261,0.007486666552722454,-0.0035116609651595354,16839,0.0070641604252159595,-0.0034252016339451075,100921
TRI_J__perm_C_cross_p02,TRI_J,C_cross,02,-0.003467446891590953,0.006742855999618769,0.09000776708126068,0.9144191576086956,0.007600902579724789,-0.0035735913552343845,16839,0.006599687971174717,-0.003449736163020134,100921
TRI_J__perm_C_within_p00,TRI_J,C_within,00,-0.015062415041029453,0.016653351485729218,0.11174935102462769,0.9988960597826086,0.016347520053386688,-0.013935409486293793,16839,0.016704382374882698,-0.01525045745074749,100921
TRI_J__perm_C_within_p01,TRI_J,C_within,01,-0.015737757086753845,0.017292950302362442,0.11160902678966522,0.9988960597826086,0.01682082563638687,-0.014327550306916237,16839,0.017371725291013718,-0.015973052009940147,100921
