config,base,permuted_branch,permutation_index,mean_delta,mean_abs_delta,max_abs_delta,frac_changed_gt_1e-6,defect_mean_abs_delta,defect_mean_delta,defect_n_patches,normal_mean_abs_delta,normal_mean_delta,normal_n_patches
A1_J__perm_C_cross_p00,A1_J,C_cross,00,-0.009980365633964539,0.013443033210933208,0.16422289609909058,0.9999267578125,0.015315191820263863,-0.00775999715551734,1534,0.013431274332106113,-0.00999431125819683,244226
A1_J__perm_C_within_p00,A1_J,C_within,00,-0.015845252200961113,0.017826395109295845,0.18454843759536743,0.9998494466145833,0.017428454011678696,-0.012357150204479694,1534,0.017828892916440964,-0.015867160633206367,244226
A1_J__perm_C_within_p01,A1_J,C_within,01,-0.016238728538155556,0.018291231244802475,0.15595775842666626,0.9993448893229167,0.0171952024102211,-0.011523060500621796,1534,0.018298113718628883,-0.016268348321318626,244226
A1_J__perm_C_within_p02,A1_J,C_within,02,-0.01651955395936966,0.01840995065867901,0.15342357754707336,0.9987711588541667,0.017725305631756783,-0.012311194092035294,1534,0.018414253368973732,-0.016545986756682396,244226
BAL_J__perm_C_cross_p00,BAL_J,C_cross,00,-0.00954574253410101,0.0126079972833395,0.16210564970970154,0.9998819986979167,0.014384046196937561,-0.00824687723070383,1534,0.012596841901540756,-0.009553899988532066,244226
BAL_J__perm_C_within_p00,BAL_J,C_within,00,-0.015046965330839157,0.016774946823716164,0.1853201985359192,0.9998616536458333,0.015975000336766243,-0.011367449536919594,1534,0.01677997037768364,-0.01507007796317339,244226
BAL_J__perm_C_within_p01,BAL_J,C_within,01,-0.01538142841309309,0.017171192914247513,0.1738702952861786,0.9994099934895834,0.01619301177561283,-0.011143208481371403,1534,0.017177337780594826,-0.015408050268888474,244226
BAL_J__perm_C_within_p02,BAL_J,C_within,02,-0.015678470954298973,0.01731548085808754,0.17738927900791168,0.9989583333333333,0.01628190651535988,-0.012021610513329506,1534,0.01732197031378746,-0.01570144109427929,244226
BAL_J__perm_S_cross_p00,BAL_J,S_cross,00,-0.024984577670693398,0.02565644308924675,0.18143314123153687,0.9999471028645833,0.026736777275800705,-0.026148805394768715,1534,0.025649653747677803,-0.024977263063192368,244226
BAL_J__perm_S_within_p00,BAL_J,S_within,00,-0.045129165053367615,0.04518958181142807,0.18681585788726807,0.99989013671875,0.03173013776540756,-0.03134949505329132,1534,0.045274123549461365,-0.04521571472287178,244226
BAL_J__perm_S_within_p01,BAL_J,S_within,01,-0.047175806015729904,0.04722467437386513,0.1925896555185318,0.9994181315104167,0.03255342319607735,-0.03237641230225563,1534,0.04731682315468788,-0.047268759459257126,244226
BAL_J__perm_S_within_p02,BAL_J,S_within,02,-0.04833154007792473,0.04837638884782791,0.1852046549320221,0.998876953125,0.03540102764964104,-0.03511659428477287,1534,0.04845789447426796,-0.04841454699635506,244226
TRI_J__perm_C_cross_p00,TRI_J,C_cross,00,-0.009069649502635002,0.011990707367658615,0.11266935616731644,0.99991455078125,0.014285295270383358,-0.008039871230721474,1534,0.011976294219493866,-0.009076118469238281,244226
TRI_J__perm_C_within_p00,TRI_J,C_within,00,-0.014511250890791416,0.016237515956163406,0.12726585566997528,0.999853515625,0.015850376337766647,-0.010593593120574951,1534,0.016239944845438004,-0.014535854570567608,244226
TRI_J__perm_C_within_p01,TRI_J,C_within,01,-0.01468228455632925,0.01646181009709835,0.12713220715522766,0.9993815104166667,0.015999242663383484,-0.010247724130749702,1534,0.01646471582353115,-0.014710139483213425,244226
TRI_J__perm_C_within_p02,TRI_J,C_within,02,-0.014878976158797741,0.016507336869835854,0.12488650530576706,0.9988932291666667,0.015781214460730553,-0.010899234563112259,1534,0.01651190035045147,-0.01490397285670042,244226
TRI_J__perm_S_cross_p00,TRI_J,S_cross,00,-0.03216779604554176,0.032917387783527374,0.23022586107254028,0.9999552408854167,0.035169873386621475,-0.03453768417239189,1534,0.03290323168039322,-0.03215290606021881,244226
TRI_J__perm_S_within_p00,TRI_J,S_within,00,-0.05770357698202133,0.05776778981089592,0.22345557808876038,0.9998738606770833,0.04169581085443497,-0.041438598185777664,1534,0.057868730276823044,-0.05780574306845665,244226
TRI_J__perm_S_within_p01,TRI_J,S_within,01,-0.06009981408715248,0.06015289947390556,0.25490033626556396,0.9993489583333334,0.04279443249106407,-0.04259312525391579,1534,0.06026192009449005,-0.06020976975560188,244226
TRI_J__perm_S_within_p02,TRI_J,S_within,02,-0.06156550347805023,0.0616149827837944,0.24442696571350098,0.99884033203125,0.046198200434446335,-0.04602593928575516,1534,0.06171180307865143,-0.061663106083869934,244226
