method,pixel_auroc,pixel_ap,image_auroc,image_ap,image_f1_max
B,0.9896986411791499,0.6804497089349099,0.9105,0.8951191455773015,0.8514851485148515
S,0.9891118620238744,0.6754517745957549,0.9211,0.8783132940145556,0.888888888888889
C,0.9827560802599424,0.27392866344013717,0.8242,0.7596326248779937,0.8288288288288288
A1_J,0.9922955779188398,0.7679952154659178,0.9383,0.928340150512329,0.9023255813953489
TRI_J,0.9917595034531629,0.7602996509860557,0.9343,0.9151080060409792,0.890909090909091
BAL_J,0.9920779498222234,0.7770591513400587,0.9329000000000001,0.917090235225367,0.888888888888889
DUP_J,0.991752898809321,0.744670142487849,0.9276,0.9182504409247719,0.8749999999999999
DUP_BAL_J,0.9922955779188398,0.7679952154659178,0.9383,0.928340150512329,0.9023255813953489
DUP_EXPECTED_J,0.991752898809321,0.744670142487849,0.9276,0.9182504409247719,0.8749999999999999
A1_L,0.9930184591967568,0.7620960950629236,0.9377,0.9303723967706692,0.8952380952380952
DUP_L,0.9919383897665283,0.7349894704323777,0.9248999999999999,0.9172024939681092,0.8666666666666667
TRI_L,0.9925754988845408,0.7558072174614439,0.9401999999999999,0.9181980901722355,0.8962264150943395
BAL_L,0.9933571635320935,0.775190472788748,0.9485999999999999,0.9300193687112065,0.9073170731707316
