method,pixel_auroc,pixel_ap,image_auroc,image_ap,image_f1_max
B,0.9950166576908845,0.752597028275778,0.9744,0.9861241310280832,0.9603960396039604
S,0.9940322613022475,0.70734268770466,0.981,0.9924836019305985,0.97
C,0.992233170464919,0.5048918899142693,0.969,0.9870384983975641,0.9489795918367346
A1_J,0.9947770557632438,0.7275188443888201,0.9803999999999999,0.9915143003528895,0.9611650485436893
TRI_J,0.9949006430671072,0.7381091845007608,0.9872,0.9942496411497315,0.9603960396039604
BAL_J,0.9948616869094871,0.7141851902805038,0.9866,0.9939931250097348,0.9637305699481865
DUP_J,0.9948554990482127,0.7515703359619443,0.9794,0.9899475820812662,0.9607843137254902
DUP_BAL_J,0.9947770557632438,0.7275188443888201,0.9803999999999999,0.9915143003528895,0.9611650485436893
DUP_EXPECTED_J,0.9948554990482127,0.7515703359619443,0.9794,0.9899475820812662,0.9607843137254902
A1_L,0.9954005734020694,0.7194440835998057,0.9822000000000001,0.9916815954055448,0.9587628865979382
DUP_L,0.9953189236593325,0.7421092744874349,0.9788,0.9896821905252475,0.9587628865979382
TRI_L,0.9952375235684966,0.7350063288514281,0.9874,0.994331930970155,0.9637305699481865
BAL_L,0.9953120023925869,0.7111505619030275,0.9874,0.9943261668015475,0.9637305699481865
