method,pixel_auroc,pixel_ap,image_auroc,image_ap,image_f1_max
B,0.8905543349323015,0.2506988111838247,0.9196,0.962973560360611,0.9064039408866995
S,0.9371986222245187,0.29021795750491236,0.9672000000000001,0.9841453918128173,0.9393939393939393
C,0.9682717024386351,0.3559190517413297,0.8835999999999999,0.9467639852001524,0.8629441624365483
A1_J,0.9401480038988097,0.3300549350865727,0.9742000000000001,0.9885467783194658,0.9494949494949495
TRI_J,0.9406138531601028,0.3232735356139323,0.9802000000000001,0.9914404699103498,0.9748743718592964
BAL_J,0.9511222168568254,0.34947019233659715,0.9852,0.9933579389509621,0.9603960396039604
DUP_J,0.9259331115180757,0.3015057854216999,0.9620000000000001,0.9828528868439587,0.9353233830845772
DUP_BAL_J,0.9401480038988097,0.3300549350865727,0.9742000000000001,0.9885467783194658,0.9494949494949495
DUP_EXPECTED_J,0.9259331115180757,0.3015057854216999,0.9620000000000001,0.9828528868439587,0.9353233830845772
A1_L,0.9439294394436288,0.3341448493503345,0.9654,0.9847382927957021,0.9500000000000001
DUP_L,0.924767063879627,0.29652595080889765,0.9503999999999999,0.9775707105457252,0.9313725490196078
TRI_L,0.9500022823163942,0.3398202847476671,0.9794,0.9905379124738456,0.9651741293532338
BAL_L,0.9619232828050577,0.3750751297714884,0.9843999999999999,0.9929031239899402,0.97
