config,base,permuted_branch,permutation_index,mean_delta,mean_abs_delta,max_abs_delta,frac_changed_gt_1e-6,defect_mean_abs_delta,defect_mean_delta,defect_n_patches,normal_mean_abs_delta,normal_mean_delta,normal_n_patches
A1_J__perm_C_within_p00,A1_J,C_within,00,-0.016439078375697136,0.019476549699902534,0.1963442862033844,0.9999348958333333,0.030154528096318245,-0.027836091816425323,606,0.019455447793006897,-0.016416551545262337,306594
A1_J__perm_C_within_p01,A1_J,C_within,01,-0.016493141651153564,0.019611475989222527,0.20214316248893738,0.9985091145833334,0.03531016781926155,-0.033733028918504715,606,0.019580446183681488,-0.016459066420793533,306594
A1_J__perm_C_within_p02,A1_J,C_within,02,-0.016938811168074608,0.02014286443591118,0.18519538640975952,0.9989388020833333,0.03649779409170151,-0.034548334777355194,606,0.020110538229346275,-0.016904005780816078,306594
BAL_J__perm_C_within_p00,BAL_J,C_within,00,-0.01550356112420559,0.0182383693754673,0.18065817654132843,0.9999479166666667,0.02788546308875084,-0.025398775935173035,606,0.018219301477074623,-0.015484004281461239,306594
BAL_J__perm_C_within_p01,BAL_J,C_within,01,-0.015699921175837517,0.018505340442061424,0.1960686296224594,0.9986263020833334,0.03512682765722275,-0.033974844962358475,606,0.01847248710691929,-0.01566380262374878,306594
BAL_J__perm_C_within_p02,BAL_J,C_within,02,-0.016167374327778816,0.01906856894493103,0.1695713996887207,0.9987923177083333,0.03334767743945122,-0.031050363555550575,606,0.019040346145629883,-0.01613795943558216,306594
BAL_J__perm_S_within_p00,BAL_J,S_within,00,-0.047709766775369644,0.047848235815763474,0.20982620120048523,1.0,0.0540790930390358,-0.05391079932451248,606,0.047835927456617355,-0.047697510570287704,306594
BAL_J__perm_S_within_p01,BAL_J,S_within,01,-0.04623871296644211,0.04639337956905365,0.19434045255184174,0.9986555989583333,0.06609330326318741,-0.06596917659044266,606,0.04635443538427353,-0.04619971662759781,306594
BAL_J__perm_S_within_p02,BAL_J,S_within,02,-0.05038050189614296,0.05050167068839073,0.19888487458229065,0.9986360677083334,0.06071214750409126,-0.06059114634990692,606,0.05048150196671486,-0.05036032199859619,306594
TRI_J__perm_C_within_p00,TRI_J,C_within,00,-0.014445417560636997,0.017103219404816628,0.14477840065956116,0.9999153645833333,0.026376059278845787,-0.024049652740359306,606,0.017084890976548195,-0.014426437206566334,306594
TRI_J__perm_C_within_p01,TRI_J,C_within,01,-0.014637055806815624,0.017344089224934578,0.15680760145187378,0.9989583333333333,0.0356600321829319,-0.03450440615415573,606,0.017307883128523827,-0.014597782865166664,306594
TRI_J__perm_C_within_p02,TRI_J,C_within,02,-0.014714076183736324,0.017558420076966286,0.13709242641925812,0.9986653645833333,0.0305042527616024,-0.02838270738720894,606,0.0175328366458416,-0.014687061309814453,306594
TRI_J__perm_S_within_p00,TRI_J,S_within,00,-0.05992770567536354,0.06007906422019005,0.2636309862136841,1.0,0.06188667565584183,-0.06177007034420967,606,0.06007549166679382,-0.059924062341451645,306594
TRI_J__perm_S_within_p01,TRI_J,S_within,01,-0.058828480541706085,0.05900278687477112,0.24746772646903992,0.9989680989583334,0.08099615573883057,-0.08087226003408432,606,0.058959316462278366,-0.058784905821084976,306594
TRI_J__perm_S_within_p02,TRI_J,S_within,02,-0.06381909549236298,0.06396391242742538,0.25369539856910706,0.9985709635416666,0.07451189309358597,-0.07434909045696259,606,0.0639430582523346,-0.06379829347133636,306594
