config,base,permuted_branch,permutation_index,mean_delta,mean_abs_delta,max_abs_delta,frac_changed_gt_1e-6,defect_mean_abs_delta,defect_mean_delta,defect_n_patches,normal_mean_abs_delta,normal_mean_delta,normal_n_patches
A1_J__perm_C_cross_p00,A1_J,C_cross,00,-0.0024714490864425898,0.007544924039393663,0.14432558417320251,0.9998220486111111,0.011951723136007786,-0.004496106877923012,7688,0.007392801344394684,-0.002401557983830571,222712
A1_J__perm_C_within_p00,A1_J,C_within,00,-0.016115926206111908,0.01828002743422985,0.20143938064575195,0.9995225694444444,0.03543975204229355,-0.03262753039598465,7688,0.01768767461180687,-0.015545946545898914,222712
A1_J__perm_C_within_p01,A1_J,C_within,01,-0.017146848142147064,0.01925596222281456,0.20040977001190186,0.9998133680555555,0.039995335042476654,-0.03753050044178963,7688,0.018540041521191597,-0.01644320599734783,222712
A1_J__perm_C_within_p02,A1_J,C_within,02,-0.01688353903591633,0.018892671912908554,0.20600134134292603,0.9982204861111111,0.036776673048734665,-0.03457712009549141,7688,0.018275316804647446,-0.016272762790322304,222712
BAL_J__perm_C_cross_p00,BAL_J,C_cross,00,-0.002334311604499817,0.007039964664727449,0.14809709787368774,0.9998394097222222,0.011498158797621727,-0.0039925342425704,7688,0.006886068731546402,-0.0022770699579268694,222712
BAL_J__perm_C_within_p00,BAL_J,C_within,00,-0.015243716537952423,0.01714334823191166,0.15823768079280853,0.9995529513888889,0.0332036167383194,-0.030489740893244743,7688,0.01658894680440426,-0.014717426151037216,222712
BAL_J__perm_C_within_p01,BAL_J,C_within,01,-0.016237620264291763,0.01808934658765793,0.18609914183616638,0.9997309027777778,0.037601444870233536,-0.03526365011930466,7688,0.017415791749954224,-0.015580843202769756,222712
BAL_J__perm_C_within_p02,BAL_J,C_within,02,-0.0160937812179327,0.017854904755949974,0.18343773484230042,0.9981380208333334,0.03471209481358528,-0.03274517506361008,7688,0.01727299578487873,-0.015518978238105774,222712
BAL_J__perm_S_cross_p00,BAL_J,S_cross,00,-0.010094335302710533,0.011771315708756447,0.16064149141311646,0.9999262152777778,0.018549121916294098,-0.0169992633163929,7688,0.011537346057593822,-0.009855978190898895,222712
BAL_J__perm_S_within_p00,BAL_J,S_within,00,-0.045437201857566833,0.045505885034799576,0.20750826597213745,0.9996180555555556,0.05148128420114517,-0.05135747045278549,7688,0.04529961198568344,-0.04523283243179321,222712
BAL_J__perm_S_within_p01,BAL_J,S_within,01,-0.047445353120565414,0.04750853404402733,0.20973895490169525,0.9997439236111111,0.05519014596939087,-0.05508633330464363,7688,0.04724336415529251,-0.04718158021569252,222712
BAL_J__perm_S_within_p02,BAL_J,S_within,02,-0.049469269812107086,0.04951859638094902,0.21559280157089233,0.9980555555555556,0.06040777638554573,-0.06033864989876747,7688,0.04914270341396332,-0.0490940697491169,222712
TRI_J__perm_C_cross_p00,TRI_J,C_cross,00,-0.0020329158287495375,0.006512019317597151,0.13466371595859528,0.9997135416666667,0.010464197024703026,-0.003766040550544858,7688,0.006375591270625591,-0.0019730885978788137,222712
TRI_J__perm_C_within_p00,TRI_J,C_within,00,-0.013853393495082855,0.01590154320001602,0.14957159757614136,0.9995833333333334,0.03227892890572548,-0.02962987869977951,7688,0.015336199663579464,-0.013308790512382984,222712
TRI_J__perm_C_within_p01,TRI_J,C_within,01,-0.014986377209424973,0.016954362392425537,0.16692444682121277,0.9997526041666667,0.036588527262210846,-0.03428029641509056,7688,0.016276590526103973,-0.014320354908704758,222712
TRI_J__perm_C_within_p02,TRI_J,C_within,02,-0.01460335124284029,0.016522228717803955,0.18040865659713745,0.9982161458333333,0.03385784849524498,-0.0318584106862545,7688,0.01592380180954933,-0.014007707126438618,222712
TRI_J__perm_S_cross_p00,TRI_J,S_cross,00,-0.012889476493000984,0.014831092208623886,0.20646408200263977,0.9999392361111111,0.023846812546253204,-0.022357521578669548,7688,0.014519872143864632,-0.012562638148665428,222712
TRI_J__perm_S_within_p00,TRI_J,S_within,00,-0.05717163532972336,0.057245831936597824,0.2539164125919342,0.9996440972222222,0.06401070952415466,-0.06393411755561829,7688,0.05701231211423874,-0.056938204914331436,222712
TRI_J__perm_S_within_p01,TRI_J,S_within,01,-0.059160251170396805,0.059230465441942215,0.2662698030471802,0.9997786458333333,0.06803134828805923,-0.06792856752872467,7688,0.058926668018102646,-0.05885756388306618,222712
TRI_J__perm_S_within_p02,TRI_J,S_within,02,-0.061685189604759216,0.061737243086099625,0.29030728340148926,0.9981553819444444,0.07398056983947754,-0.07392129302024841,7688,0.06131460890173912,-0.06126280128955841,222712
