config,base,permuted_branch,permutation_index,mean_delta,mean_abs_delta,max_abs_delta,frac_changed_gt_1e-6,defect_mean_abs_delta,defect_mean_delta,defect_n_patches,normal_mean_abs_delta,normal_mean_delta,normal_n_patches
A1_J__perm_C_cross_p00,A1_J,C_cross,00,-0.0021143490448594093,0.006747125647962093,0.1467987596988678,0.9997608113279755,0.010554683394730091,-0.003033906454220414,3401,0.006694794166833162,-0.0021017102990299463,247447
A1_J__perm_C_cross_p01,A1_J,C_cross,01,-0.00293569709174335,0.007397294044494629,0.14411824941635132,0.9998485138410511,0.01152532733976841,-0.004311250988394022,3401,0.007340557407587767,-0.002916790544986725,247447
A1_J__perm_C_cross_p02,A1_J,C_cross,02,-0.0026029248256236315,0.007127693854272366,0.14117968082427979,0.9998086490623804,0.010564594529569149,-0.0040655662305653095,3401,0.007080455776304007,-0.0025828219950199127,247447
A1_J__perm_C_within_p00,A1_J,C_within,00,-0.01628297008574009,0.017840662971138954,0.17855346202850342,0.998237976782753,0.030403565615415573,-0.02937410958111286,3401,0.017667992040514946,-0.016103042289614677,247447
A1_J__perm_C_within_p01,A1_J,C_within,01,-0.016225261613726616,0.01782016083598137,0.16830343008041382,0.999784730195178,0.029840409755706787,-0.028101187199354172,3401,0.01765494979918003,-0.016062036156654358,247447
A1_J__perm_C_within_p02,A1_J,C_within,02,-0.016003936529159546,0.01759651117026806,0.15890800952911377,0.9994100012756729,0.029230080544948578,-0.027929145842790604,3401,0.017436616122722626,-0.01584003120660782,247447
BAL_J__perm_C_cross_p00,BAL_J,C_cross,00,-0.0020774181466549635,0.006353703327476978,0.15777820348739624,0.9998564867967853,0.00994073785841465,-0.0028818838763982058,3401,0.006304401904344559,-0.002066361252218485,247447
BAL_J__perm_C_cross_p01,BAL_J,C_cross,01,-0.00295934802852571,0.007028161082416773,0.1627965122461319,0.9998245949738487,0.010924238711595535,-0.004233123734593391,3401,0.006974613294005394,-0.0029418407939374447,247447
BAL_J__perm_C_cross_p02,BAL_J,C_cross,02,-0.0026341865304857492,0.006750794127583504,0.14237497746944427,0.999788716673045,0.009980039671063423,-0.0039697918109595776,3401,0.006706410553306341,-0.00261582899838686,247447
BAL_J__perm_C_within_p00,BAL_J,C_within,00,-0.01586306467652321,0.017227988690137863,0.17855346202850342,0.997974869243526,0.02923625335097313,-0.0282299667596817,3401,0.017062943428754807,-0.015693088993430138,247447
BAL_J__perm_C_within_p01,BAL_J,C_within,01,-0.01566215418279171,0.01706784777343273,0.16508394479751587,0.9998086490623804,0.027437599375844002,-0.02581651136279106,3401,0.016925321891903877,-0.015522586181759834,247447
BAL_J__perm_C_within_p02,BAL_J,C_within,02,-0.015471866354346275,0.016848206520080566,0.15793642401695251,0.9993422311519327,0.02732454240322113,-0.02607540413737297,3401,0.016704218462109566,-0.015326127409934998,247447
BAL_J__perm_S_cross_p00,BAL_J,S_cross,00,-0.009302342310547829,0.010640989057719707,0.1421680748462677,0.9998843921418549,0.012537115253508091,-0.011033904738724232,3401,0.010614928789436817,-0.009278540499508381,247447
BAL_J__perm_S_cross_p01,BAL_J,S_cross,01,-0.011897452175617218,0.013128490187227726,0.14097142219543457,0.9999202704426585,0.01705983281135559,-0.015920601785182953,3401,0.01307445764541626,-0.011842155829071999,247447
