config,base,permuted_branch,permutation_index,mean_delta,mean_abs_delta,max_abs_delta,frac_changed_gt_1e-6,defect_mean_abs_delta,defect_mean_delta,defect_n_patches,normal_mean_abs_delta,normal_mean_delta,normal_n_patches
A1_J__perm_C_cross_p00,A1_J,C_cross,00,-0.00231441343203187,0.006357922218739986,0.09714663028717041,0.9998321759259259,0.01290025282651186,-0.008145386353135109,3172,0.006235581822693348,-0.0022053758148103952,169628
A1_J__perm_C_cross_p01,A1_J,C_cross,01,-0.002158363815397024,0.006148143205791712,0.09678396582603455,0.999837962962963,0.012475992552936077,-0.007615257985889912,3172,0.006029814016073942,-0.0020563218276947737,169628
A1_J__perm_C_cross_p02,A1_J,C_cross,02,-0.002001759596168995,0.00605928897857666,0.09678396582603455,0.999849537037037,0.013203360140323639,-0.008138546720147133,3172,0.005925696808844805,-0.0018870033090934157,169628
A1_J__perm_C_within_p00,A1_J,C_within,00,-0.011246825568377972,0.012974655255675316,0.16757193207740784,0.9977546296296296,0.030505191534757614,-0.02694849856197834,3172,0.012646838091313839,-0.010953209362924099,169628
A1_J__perm_C_within_p01,A1_J,C_within,01,-0.010830613784492016,0.012650683522224426,0.15066638588905334,0.9979918981481481,0.02826758101582527,-0.02467302978038788,3172,0.012358651496469975,-0.010571764782071114,169628
A1_J__perm_C_within_p02,A1_J,C_within,02,-0.011285421438515186,0.013018233701586723,0.15184593200683594,0.9992592592592593,0.028855379670858383,-0.02540053427219391,3172,0.012722083367407322,-0.01102147251367569,169628
BAL_J__perm_C_cross_p00,BAL_J,C_cross,00,-0.0021793150808662176,0.00584978936240077,0.08382761478424072,0.99984375,0.01199315581470728,-0.00706449942663312,3172,0.005734909325838089,-0.002087963977828622,169628
BAL_J__perm_C_cross_p01,BAL_J,C_cross,01,-0.002025604946538806,0.005661363713443279,0.07935300469398499,0.9998263888888889,0.012215681374073029,-0.0070478045381605625,3172,0.005538799334317446,-0.001931691193021834,169628
BAL_J__perm_C_cross_p02,BAL_J,C_cross,02,-0.0019324850291013718,0.005581974051892757,0.08145971596240997,0.9998090277777778,0.012874227948486805,-0.008351298049092293,3172,0.005445610731840134,-0.001812454778701067,169628
BAL_J__perm_C_within_p00,BAL_J,C_within,00,-0.01073515322059393,0.012205990962684155,0.1576501876115799,0.9977141203703703,0.0276075080037117,-0.024771247059106827,3172,0.011917986907064915,-0.010472682304680347,169628
BAL_J__perm_C_within_p01,BAL_J,C_within,01,-0.01050231046974659,0.012058221735060215,0.14188708364963531,0.9976678240740741,0.02687472105026245,-0.02461673878133297,3172,0.011781157925724983,-0.010238375514745712,169628
BAL_J__perm_C_within_p02,BAL_J,C_within,02,-0.010819460265338421,0.012295443564653397,0.149808868765831,0.9993518518518518,0.028169861063361168,-0.02595324069261551,3172,0.011998595669865608,-0.01053646206855774,169628
BAL_J__perm_S_cross_p00,BAL_J,S_cross,00,-0.00855226255953312,0.010017141699790955,0.1575404554605484,0.9998958333333333,0.01866951771080494,-0.01759493723511696,3172,0.009855343960225582,-0.00838316511362791,169628
BAL_J__perm_S_cross_p01,BAL_J,S_cross,01,-0.008587075397372246,0.010057872161269188,0.15170058608055115,0.9999131944444445,0.01737666130065918,-0.016008395701646805,3172,0.00992101151496172,-0.008448299020528793,169628
BAL_J__perm_S_cross_p02,BAL_J,S_cross,02,-0.007747143507003784,0.009285995736718178,0.13874191045761108,0.9999131944444445,0.01790042407810688,-0.0166337750852108,3172,0.009124908596277237,-0.007580965757369995,169628
BAL_J__perm_S_within_p00,BAL_J,S_within,00,-0.03885592892765999,0.038906291127204895,0.18626607954502106,0.9976157407407408,0.04679953306913376,-0.04676549509167671,3172,0.038758695125579834,-0.038708023726940155,169628
BAL_J__perm_S_within_p01,BAL_J,S_within,01,-0.03935041278600693,0.03940218314528465,0.2005896419286728,0.9975057870370371,0.04798978194594383,-0.04795500263571739,3172,0.03924160078167915,-0.03918951749801636,169628
BAL_J__perm_S_within_p02,BAL_J,S_within,02,-0.040005575865507126,0.04006094112992287,0.20099017024040222,0.9993518518518518,0.04730107635259628,-0.04708077386021614,3172,0.03992554917931557,-0.039873264729976654,169628
TRI_J__perm_C_cross_p00,TRI_J,C_cross,00,-0.0019051518756896257,0.005423083435744047,0.07434839010238647,0.9997916666666666,0.010327309370040894,-0.0058596013113856316,3172,0.005331375170499086,-0.0018312043976038694,169628
TRI_J__perm_C_cross_p01,TRI_J,C_cross,01,-0.0017685735365375876,0.005250817630439997,0.07766148447990417,0.9998032407407408,0.010800989344716072,-0.006106638349592686,3172,0.0051470305770635605,-0.001687452895566821,169628
TRI_J__perm_C_cross_p02,TRI_J,C_cross,02,-0.001705109840258956,0.005202623549848795,0.07438528537750244,0.9997395833333333,0.011393103748559952,-0.007230942603200674,3172,0.005086863879114389,-0.0016017784364521503,169628
TRI_J__perm_C_within_p00,TRI_J,C_within,00,-0.009518535807728767,0.01122920960187912,0.1347522735595703,0.9976967592592593,0.02648048847913742,-0.023587388917803764,3172,0.01094401441514492,-0.009255451150238514,169628
TRI_J__perm_C_within_p01,TRI_J,C_within,01,-0.009160572662949562,0.010928812436759472,0.11878708004951477,0.9976215277777778,0.02517016790807247,-0.022506382316350937,3172,0.010662502609193325,-0.008911010809242725,169628
TRI_J__perm_C_within_p02,TRI_J,C_within,02,-0.009374975226819515,0.01106780581176281,0.13237549364566803,0.9993344907407408,0.025915874168276787,-0.02334093488752842,3172,0.010790149681270123,-0.009113815613090992,169628
TRI_J__perm_S_cross_p00,TRI_J,S_cross,00,-0.010918748565018177,0.012648134492337704,0.2100539356470108,0.9999421296296296,0.023554572835564613,-0.022448353469371796,3172,0.01244418602436781,-0.010703148320317268,169628
TRI_J__perm_S_cross_p01,TRI_J,S_cross,01,-0.010983959771692753,0.012722684070467949,0.19544711709022522,0.9999363425925926,0.021625934168696404,-0.020146209746599197,3172,0.012556194327771664,-0.010812629945576191,169628
TRI_J__perm_S_cross_p02,TRI_J,S_cross,02,-0.009891122579574585,0.01169915497303009,0.18052181601524353,0.9999247685185185,0.021916871890425682,-0.020623061805963516,3172,0.011508086696267128,-0.009690438397228718,169628
TRI_J__perm_S_within_p00,TRI_J,S_within,00,-0.048980746418237686,0.04904055967926979,0.24562737345695496,0.9975752314814815,0.0586114339530468,-0.05857568234205246,3172,0.048861585557460785,-0.048801321536302567,169628
TRI_J__perm_S_within_p01,TRI_J,S_within,01,-0.049411237239837646,0.04947444051504135,0.26081231236457825,0.9975231481481481,0.059032127261161804,-0.058998484164476395,3172,0.04929571598768234,-0.04923197254538536,169628
TRI_J__perm_S_within_p02,TRI_J,S_within,02,-0.05024178326129913,0.0503082200884819,0.23093059659004211,0.999375,0.05746283754706383,-0.057240430265665054,3172,0.05017443001270294,-0.050110913813114166,169628
